
[00:00:00.000 --> 00:00:04.680]  那我們在上個星期的誠導的當中
[00:00:04.680 --> 00:00:08.400]  我們進入了馬太福音的第八章、第九章
[00:00:08.400 --> 00:00:12.800]  在這兩章的經文的當中
[00:00:12.800 --> 00:00:17.800]  馬太祂記錄了耶穌祂所行的十個神機
[00:00:17.800 --> 00:00:22.400]  以彰顯耶穌祂屬天的祂的權柄、能力
[00:00:22.400 --> 00:00:23.680]  還有祂的大愛
[00:00:23.680 --> 00:00:27.680]  在馬太福音最後的這一段
[00:00:27.800 --> 00:00:31.640]  我們可以看到一個我們都熟悉的故事
[00:00:31.640 --> 00:00:34.680]  有一個被鬼附的很厲害的人
[00:00:34.680 --> 00:00:35.640]  他很兇猛
[00:00:35.640 --> 00:00:37.000]  他力大無窮
[00:00:37.000 --> 00:00:40.440]  沒有任何的鐵鏈、腳鳥可以拴住他
[00:00:40.440 --> 00:00:42.880]  他住在墳墓堆的裏面
[00:00:42.880 --> 00:00:45.600]  他不時發出一個淒厲的叫聲
[00:00:45.600 --> 00:00:47.280]  其實他是很可憐的
[00:00:47.280 --> 00:00:48.800]  因爲他身不由己
[00:00:48.800 --> 00:00:52.200]  那後來耶穌遇見了他
[00:00:52.200 --> 00:00:56.000]  把羣鬼從他的身上趕出來
[00:00:56.000 --> 00:00:59.280]  這些的鬼我們都知道進入了豬羣
[00:00:59.280 --> 00:01:03.800]  那有兩千頭豬就跳到懸崖裏面死了
[00:01:03.800 --> 00:01:07.400]  那這個人他的結局是怎麼樣呢
[00:01:07.400 --> 00:01:10.800]  他之後他做了什麼的事情
[00:01:10.800 --> 00:01:12.400]  他成了什麼樣的人
[00:01:12.400 --> 00:01:13.880]  在馬太這裏呢
[00:01:13.880 --> 00:01:16.200]  馬太福音沒有交代
[00:01:16.200 --> 00:01:20.080]  那我們就來看看對觀福音怎麼的記載
[00:01:20.080 --> 00:01:22.680]  那剛纔我們的經文的當中
[00:01:22.680 --> 00:01:26.400]  我們可以看到平行的經文
[00:01:26.400 --> 00:01:30.480]  《路加福音》和《馬可福音》都有記載
[00:01:30.480 --> 00:01:32.600]  在《路加福音》的第八章
[00:01:32.600 --> 00:01:35.800]  其實它是從二十六到四十節
[00:01:35.800 --> 00:01:37.600]  還有《馬可福音》呢
[00:01:37.600 --> 00:01:40.080]  它是從一章到十七節呢
[00:01:40.080 --> 00:01:43.080]  都把這個原來被鬼附
[00:01:43.080 --> 00:01:46.600]  後來被耶穌醫治好的人
[00:01:46.600 --> 00:01:50.000]  他後來做了什麼事情
[00:01:50.000 --> 00:01:52.880]  這個結尾有很好的記錄
[00:01:52.880 --> 00:01:55.600]  那《路加》和《馬可》都記載
[00:01:55.600 --> 00:01:57.680]  這一位曾經被鬼附
[00:01:57.680 --> 00:02:00.080]  但是被主醫好的人
[00:02:00.080 --> 00:02:01.600]  他其實呢
[00:02:01.600 --> 00:02:03.680]  他想要跟隨耶穌
[00:02:03.680 --> 00:02:05.480]  他想要跟從耶穌
[00:02:05.480 --> 00:02:09.080]  那在《路加福音》的第八章三十九到四十節呢
[00:02:09.080 --> 00:02:10.480]  就說耶穌呢
[00:02:10.480 --> 00:02:13.080]  卻打發他回家
[00:02:13.080 --> 00:02:14.680]  打發他回家去
[00:02:14.680 --> 00:02:16.880]  到他的親屬
[00:02:16.880 --> 00:02:18.800]  到他的家人那裏呢
[00:02:18.800 --> 00:02:23.080]  把主向他做何等大的事
[00:02:23.080 --> 00:02:24.680]  要傳揚出來
[00:02:24.680 --> 00:02:25.880]  要傳揚出來
[00:02:25.880 --> 00:02:27.480]  告訴他們
[00:02:27.480 --> 00:02:29.880]  那在《馬可福音》呢
[00:02:29.880 --> 00:02:33.280]  這裏五章十九到二十節呢
[00:02:33.280 --> 00:02:36.280]  耶穌不容許他跟從他
[00:02:36.280 --> 00:02:37.480]  卻對他說你
[00:02:37.480 --> 00:02:39.480]  同樣的說你回家去
[00:02:39.480 --> 00:02:40.680]  you return home
[00:02:40.680 --> 00:02:43.080]  到你的親屬那裏去
[00:02:43.080 --> 00:02:44.480]  到你的家人那裏
[00:02:44.480 --> 00:02:47.280]  將主爲你做何等大的事
[00:02:47.280 --> 00:02:49.280]  他是怎麼樣的憐憫你
[00:02:49.280 --> 00:02:50.480]  告訴他們
[00:02:50.480 --> 00:02:51.680]  這人就走了
[00:02:51.680 --> 00:02:53.880]  他在迪加波里這個地方呢
[00:02:53.880 --> 00:02:56.880]  傳揚耶穌爲他做何等大的事
[00:02:56.880 --> 00:02:58.480]  衆人就都稀奇
[00:02:58.480 --> 00:03:00.080]  所以我們可以看到
[00:03:00.080 --> 00:03:01.480]  《路加福音》記載
[00:03:01.480 --> 00:03:03.080]  衆人等候他
[00:03:03.080 --> 00:03:04.880]  《馬可福音》衆人都稀奇
[00:03:04.880 --> 00:03:07.280]  可以看到他在那裏做見證
[00:03:07.280 --> 00:03:08.680]  他傳福音呢
[00:03:08.680 --> 00:03:10.280]  是有果效的
[00:03:10.280 --> 00:03:11.680]  那迪加波里呢
[00:03:11.680 --> 00:03:13.280]  這個地方呢
[00:03:13.280 --> 00:03:17.480]  是在加利利湖的東南邊
[00:03:17.480 --> 00:03:20.280]  約旦河東邊的一個十個
[00:03:20.280 --> 00:03:23.280]  希臘化城市的一個Metropolitan
[00:03:23.280 --> 00:03:24.680]  它是一個大都會
[00:03:24.680 --> 00:03:26.080]  一個廣大的地區
[00:03:26.080 --> 00:03:27.280]  所以我們可以看到
[00:03:27.280 --> 00:03:30.680]  這位被烏鬼所附
[00:03:30.680 --> 00:03:32.080]  得到醫治
[00:03:32.080 --> 00:03:34.480]  身心靈恢復健康的人呢
[00:03:34.480 --> 00:03:36.080]  他想要跟隨耶穌
[00:03:36.080 --> 00:03:37.280]  和其他的門徒呢
[00:03:37.280 --> 00:03:39.280]  一起去旅行步道
[00:03:39.280 --> 00:03:41.480]  但是耶穌沒有
[00:03:41.480 --> 00:03:43.080]  讓他這樣子的做
[00:03:43.080 --> 00:03:44.080]  他沒有同意
[00:03:44.080 --> 00:03:46.280]  卻差派他回家
[00:03:46.280 --> 00:03:49.080]  回到他的家鄉傳揚救恩
[00:03:49.080 --> 00:03:50.480]  我們可以看到耶穌呢
[00:03:50.480 --> 00:03:51.680]  我們在這裏看到
[00:03:51.680 --> 00:03:53.280]  耶穌並沒有呼召
[00:03:53.280 --> 00:03:55.680]  每一位屬他的兒女
[00:03:55.680 --> 00:03:57.480]  放下生活的全部
[00:03:57.480 --> 00:04:00.080]  做全世間的宣教士
[00:04:00.080 --> 00:04:02.680]  耶穌只有揀選十二個門徒
[00:04:02.680 --> 00:04:04.480]  來跟從他
[00:04:04.480 --> 00:04:06.080]  那對於其他被他醫治
[00:04:06.080 --> 00:04:08.080]  得盟救恩的人呢
[00:04:08.080 --> 00:04:11.880]  其實耶穌他更願意
[00:04:11.880 --> 00:04:13.680]  他們先成爲
[00:04:13.680 --> 00:04:16.080]  他們本鄉本族
[00:04:16.080 --> 00:04:19.880]  本地的宣教士
[00:04:19.880 --> 00:04:21.080]  帶領自己的家人
[00:04:21.080 --> 00:04:22.080]  親戚
[00:04:22.080 --> 00:04:25.080]  鄰居
[00:04:25.080 --> 00:04:27.880]  來認識來轉向他
[00:04:27.880 --> 00:04:29.080]  好下一頁
[00:04:29.080 --> 00:04:30.080]  我們來看另外一個
[00:04:30.080 --> 00:04:33.280]  熟悉的故事
[00:04:33.280 --> 00:04:35.280]  在約翰福音第十章
[00:04:35.280 --> 00:04:37.480]  一個撒瑪利亞
[00:04:37.480 --> 00:04:38.280]  井邊的婦人
[00:04:38.280 --> 00:04:40.880]  耶穌和她的對話
[00:04:40.880 --> 00:04:43.080]  在這談話的結尾
[00:04:43.080 --> 00:04:45.680]  在四章二十八到三十節
[00:04:45.680 --> 00:04:48.280]  說這婦人她就留下了罐子
[00:04:48.280 --> 00:04:50.680]  往鎮裏去
[00:04:50.680 --> 00:04:52.680]  她對衆人說你們來看
[00:04:52.680 --> 00:04:54.880]  有一個人把我的生平
[00:04:54.880 --> 00:04:57.080]  所做的都說出來了
[00:04:57.080 --> 00:04:59.080]  這個人他就是基督
[00:04:59.080 --> 00:05:01.880]  難道他就是基督嗎
[00:05:01.880 --> 00:05:04.880]  衆人就出城到耶穌那裏
[00:05:04.880 --> 00:05:07.280]  因爲這個婦人的見證
[00:05:07.280 --> 00:05:11.480]  就有好多人相信了耶穌
[00:05:11.480 --> 00:05:13.680]  耶穌在那裏住了兩天
[00:05:13.680 --> 00:05:15.080]  因爲耶穌的話
[00:05:15.080 --> 00:05:17.280]  信的人就更多了
[00:05:17.280 --> 00:05:18.680]  所以同樣的這位
[00:05:18.680 --> 00:05:19.880]  撒瑪利亞的婦人
[00:05:19.880 --> 00:05:22.080]  她認識她相信主之後
