
[00:00:00.000 --> 00:00:01.020]  凌辱之爭
[00:00:01.020 --> 00:00:05.380]  在我心裏面一個
[00:00:05.380 --> 00:00:07.680]  很重負擔的一個題目
[00:00:07.680 --> 00:00:11.520]  很多年前在美國讀書的時間
[00:00:11.520 --> 00:00:15.620]  我記得一個電視廣告,我還很深印象
[00:00:15.620 --> 00:00:18.180]  那個電視廣告就賣
[00:00:18.180 --> 00:00:22.520]  大概好像是一些汽油的東西
[00:00:22.520 --> 00:00:24.840]  實在買什麼我都不太記得了
[00:00:25.340 --> 00:00:28.420]  廣告內容就講一個明星出來講
[00:00:28.420 --> 00:00:30.980]  他說這個汽油很好的等等
[00:00:30.980 --> 00:00:33.540]  講完之後他結束就說
[00:00:33.540 --> 00:00:35.080]  我怎麼知道汽油好呢
[00:00:35.080 --> 00:00:37.380]  因爲我都開車的
[00:00:37.380 --> 00:00:39.940]  就結束了這個廣告
[00:00:39.940 --> 00:00:42.760]  這句話經常在我心裏面
[00:00:42.760 --> 00:00:46.600]  爲什麼我知道基督徒會有凌辱之爭呢
[00:00:46.600 --> 00:00:49.400]  因爲我也是
[00:00:49.400 --> 00:00:53.000]  我只是很想將自己的掙扎
[00:00:54.780 --> 00:00:56.320]  和弟兄姊妹一起分享
[00:00:56.320 --> 00:00:58.120]  特別是透過神的說話
[00:00:58.120 --> 00:01:00.160]  讓我們在這個掙扎裏面
[00:01:00.160 --> 00:01:01.440]  有正確
[00:01:01.440 --> 00:01:03.240]  和有把握的出路
[00:01:03.240 --> 00:01:05.540]  我相信
[00:01:05.540 --> 00:01:07.580]  如果保羅今天在我當中的時候
[00:01:07.580 --> 00:01:09.120]  他同樣會講
[00:01:09.120 --> 00:01:11.160]  基督徒有凌辱之爭
[00:01:11.160 --> 00:01:13.480]  這個信息我傳給你知道
[00:01:13.480 --> 00:01:14.760]  原因是
[00:01:14.760 --> 00:01:16.040]  因爲我也是
[00:01:16.040 --> 00:01:19.880]  請大家一起看羅馬書第七章
[00:01:19.880 --> 00:01:22.940]  第1到25節,一段相當長
[00:01:23.200 --> 00:01:24.980]  和相當複雜的經文
[00:01:24.980 --> 00:01:26.520]  我今天和大家
[00:01:26.520 --> 00:01:28.320]  提綱揭領的
[00:01:28.320 --> 00:01:30.880]  幾個重點
[00:01:30.880 --> 00:01:41.620]  經文分爲三個段落,第一段落是第七章的第1到第6節,這個比較明顯的分段
[00:01:41.620 --> 00:01:45.460]  第七章第1到第6節
[00:01:45.460 --> 00:01:47.780]  第二個段落就是
[00:01:47.780 --> 00:01:49.300]  第7節
[00:01:49.300 --> 00:01:51.100]  到第12節
[00:01:52.120 --> 00:01:54.420]  講到律法的好處
[00:01:54.420 --> 00:01:58.520]  同樣律法有限制,第7到第12節
[00:01:58.520 --> 00:02:00.820]  然後第13節
[00:02:00.820 --> 00:02:03.380]  開始的時間,那幾節的字是這樣寫的
[00:02:03.380 --> 00:02:06.460]  既然如此,很明顯就進入另一個分段
[00:02:06.460 --> 00:02:07.480]  13節
[00:02:07.480 --> 00:02:12.340]  我們就比較沒有再分得仔細一點,一路去到這一章的結束,第25節
[00:02:12.340 --> 00:02:13.620]  第三個段落
[00:02:13.620 --> 00:02:14.640]  就是律法
