
[00:00:00.000 --> 00:00:01.720]  好 各位親愛的領袖 你們好
[00:00:01.720 --> 00:00:05.180]  我們很開心又來到星期三晚的《查經》
[00:00:05.180 --> 00:00:06.900]  我們正在查《十誡》
[00:00:06.900 --> 00:00:10.200]  上個星期我們會看第一誡
[00:00:10.200 --> 00:00:12.280]  但是其實我們看第一誡之前
[00:00:12.280 --> 00:00:13.820]  我們已經有很多次了
[00:00:13.820 --> 00:00:15.660]  這次我們是第16次了
[00:00:15.660 --> 00:00:17.920]  有14次我們已經查了
[00:00:17.920 --> 00:00:20.040]  《生命記》裡面一些的信息
[00:00:20.040 --> 00:00:23.820]  第一誡講到我們除了神之外
[00:00:23.820 --> 00:00:25.340]  不可以有別的神
[00:00:25.340 --> 00:00:28.800]  我們要敬拜的神是一位怎樣的神呢?
[00:00:28.800 --> 00:00:31.240]  今天我們會看第二誡
[00:00:31.240 --> 00:00:32.860]  很多時候我們以為第二誡就是
[00:00:32.860 --> 00:00:35.520]  我們不要去拜那些假神
[00:00:35.520 --> 00:00:38.900]  某個程度我們的解釋上是錯誤的
[00:00:38.900 --> 00:00:40.240]  可以應用在這裡
[00:00:40.240 --> 00:00:41.560]  但是解釋上是錯誤的
[00:00:41.560 --> 00:00:44.580]  但是總之我們是要專一的敬拜神
[00:00:44.580 --> 00:00:46.320]  今天我們有沒有好一點的
[00:00:46.320 --> 00:00:49.080]  專心去敬拜我們的神呢?
[00:00:49.080 --> 00:00:51.580]  這個是值得我們去反思的
[00:00:51.580 --> 00:00:53.580]  都夠神來幫助我們
[00:00:53.580 --> 00:00:57.540]  好 今天我們會去看第二誡
[00:00:57.540 --> 00:01:01.760]  很想大家留意一下這個畫面
[00:01:01.760 --> 00:01:06.140]  這個畫面 特別留意我這張圖
[00:01:06.140 --> 00:01:08.620]  其實這張圖是有些問題的
[00:01:08.620 --> 00:01:12.060]  我特意放了一張有問題的圖在大家當中
[00:01:12.060 --> 00:01:13.940]  讓大家可以看一下
[00:01:13.940 --> 00:01:17.900]  究竟有些什麼問題產生
[00:01:17.900 --> 00:01:22.660]  我會在今天和大家查經最後的一部分的時候
[00:01:22.660 --> 00:01:24.920]  就會講一講這張圖
[00:01:24.920 --> 00:01:28.440]  那十誡裡面究竟出現了什麼問題
