
[00:00:00.000 --> 00:00:04.480]  我來讀詩篇一百一十九篇
[00:00:04.480 --> 00:00:08.600]  一百三十七節到一百四個四節
[00:00:08.600 --> 00:00:12.320]  我們一起讀
[00:00:12.320 --> 00:00:17.360]  耶華,祢是公義的,祢的叛徒也是聖神
[00:00:17.360 --> 00:00:22.040]  祢所訂定的法度,是平公義和聖神
[00:00:22.040 --> 00:00:28.720]  我心交替如同火燒,因我敵人忘記祢的言語
[00:00:28.720 --> 00:00:33.640]  祢的法激起精煉,所以祢的骨頭仁愛
[00:00:33.640 --> 00:00:39.040]  我微笑被人藐視,卻不忘記祢的信誌
[00:00:39.040 --> 00:00:44.720]  祢的公義永遠長存,祢的律法盡都真實
[00:00:44.720 --> 00:00:50.880]  我遭遇萬難酬苦,祢的命運卻是我所喜愛的
[00:00:50.880 --> 00:00:58.120]  祢的法度永遠是公義的,求祢賜我復興,我就活了
[00:00:58.120 --> 00:01:01.040]  我們先讀了這八節聖經
[00:01:01.040 --> 00:01:06.960]  我們看到這一段的話就講到神的公義和祂的話
[00:01:06.960 --> 00:01:09.400]  我們都喜歡有公義
[00:01:09.400 --> 00:01:15.000]  不管我們是在這個一個社會中間,在一個國家中間
[00:01:15.000 --> 00:01:18.000]  我們都是盼望有公義
[00:01:18.000 --> 00:01:21.440]  對於不公義的事情,那好多人要起來
[00:01:21.440 --> 00:01:30.720]  就要來要求更正,要主張社會公義
[00:01:30.720 --> 00:01:36.760]  但是我們看見世界上哪個地方有公義呢?
[00:01:36.760 --> 00:01:39.320]  不是說沒有,但是很少
[00:01:39.320 --> 00:01:43.640]  有的時候就是弄得很不公義的事情出來的
[00:01:43.640 --> 00:01:48.240]  但是在這裡告訴我們,是講到神的公義
[00:01:48.240 --> 00:01:52.520]  真正的絕對的公義的話,不是從人來的
[00:01:52.520 --> 00:01:54.640]  那是從神來的
[00:01:54.640 --> 00:01:59.800]  這個神接著祂的話,告訴我們祂是公義的
