
[00:00:00.000 --> 00:00:04.360]  我們要繼續思想,在約翰福音裏主是蘇基督
[00:00:04.360 --> 00:00:10.520]  他充滿着權威
[00:00:10.520 --> 00:00:14.680]  也帶着無比的英許,告訴我們世人
[00:00:14.680 --> 00:00:16.760]  他就是那位
[00:00:16.760 --> 00:00:19.720]  他就是那位能夠幫助我們
[00:00:19.720 --> 00:00:24.240]  在生命當中有真正的答案的那位主
[00:00:24.240 --> 00:00:28.920]  他就是連接着舊約的耶和華神
[00:00:29.360 --> 00:00:32.960]  自我介紹,他說"I am that I am"
[00:00:32.960 --> 00:00:36.280]  那位"我是即我是"
[00:00:36.280 --> 00:00:40.560]  所以他是一切生命的豐富
[00:00:40.560 --> 00:00:42.840]  是我們真正的滿足
[00:00:42.840 --> 00:00:44.920]  是我們隨時的幫助
[00:00:44.920 --> 00:00:46.760]  是我們一生的依靠
[00:00:46.760 --> 00:00:49.760]  主耶穌是你我生命的答案
[00:00:49.760 --> 00:00:51.360]  今天來到第四講
[00:00:51.360 --> 00:00:53.040]  在約翰福音
[00:00:53.040 --> 00:00:56.280]  我們看過前面那幾章
[00:00:56.280 --> 00:00:58.040]  十四章、十一章
[00:00:59.480 --> 00:01:01.560]  今天我們看第十章
[00:01:01.560 --> 00:01:04.920]  我們一路來倒數
[00:01:04.920 --> 00:01:08.760]  好像我們來到2022年一路去到結尾
[00:01:08.760 --> 00:01:10.880]  這個第四章
[00:01:10.880 --> 00:01:14.240]  這個第四講是講到約翰福音第十章
[00:01:14.240 --> 00:01:15.360]  一到第十節
[00:01:15.360 --> 00:01:18.120]  這裏是講到他就是救恩之門
[00:01:18.120 --> 00:01:21.360]  並且是契封聖生命
[00:01:21.360 --> 00:01:24.160]  人生很需要救恩
[00:01:24.160 --> 00:01:26.640]  更加需要一個封聖的生命
[00:01:26.640 --> 00:01:28.680]  耶穌基督說"我就是"
[00:01:29.280 --> 00:01:31.960]  我們來看看約翰福音第十章的一到十節
[00:01:31.960 --> 00:01:34.080]  我們應該不會太陌生的一段經文
[00:01:34.080 --> 00:01:37.520]  我們一起讀出這十節的聖經
[00:01:37.520 --> 00:01:41.440]  在約翰福音十章第一節請讀
[00:01:41.440 --> 00:01:45.040]  我實實在在地告訴你們
[00:01:45.040 --> 00:01:47.200]  人盡陽圈
[00:01:47.200 --> 00:01:49.360]  不從門進去
[00:01:49.360 --> 00:01:52.160]  倒從別處爬進去
[00:01:52.160 --> 00:01:54.040]  那人就是賊
[00:01:54.040 --> 00:01:55.960]  就是強盜
[00:01:55.960 --> 00:01:57.920]  從門進去的
[00:01:58.400 --> 00:02:00.600]  纔是羊的牧人
[00:02:00.600 --> 00:02:02.080]  開門的
[00:02:02.080 --> 00:02:03.880]  就給他開門
[00:02:03.880 --> 00:02:06.640]  羊也聽他的聲音
[00:02:06.640 --> 00:02:08.640]  他按着名
[00:02:08.640 --> 00:02:10.200]  叫自己的羊
[00:02:10.200 --> 00:02:12.400]  把羊領出來
[00:02:12.400 --> 00:02:16.800]  既放在出自己的羊來
[00:02:16.800 --> 00:02:19.240]  就在前途走
[00:02:19.240 --> 00:02:21.520]  羊也跟着他
