
[00:00:00.000 --> 00:00:03.600]  麻煩讚美小組 我們一起低頭祈禱
[00:00:03.600 --> 00:00:06.500]  天父我們多謝祢給我們的說話
[00:00:06.500 --> 00:00:08.400]  願祢的說話今天都是
[00:00:08.400 --> 00:00:11.200]  讓我們明白到怎樣可以連於祢
[00:00:11.200 --> 00:00:13.100]  因為祢是真葡萄樹
[00:00:13.100 --> 00:00:14.800]  我們是祢的枝子
[00:00:14.800 --> 00:00:16.500]  願祢與我們同在
[00:00:16.500 --> 00:00:18.000]  奉耶穌基督的名其求
[00:00:18.000 --> 00:00:19.000]  阿們
[00:00:19.000 --> 00:00:23.200]  好了 今天就到《約翰福音》第十五章
[00:00:23.200 --> 00:00:25.600]  一段都很出名的一段經文
[00:00:25.600 --> 00:00:27.600]  可能很多人看過這段經文
[00:00:27.600 --> 00:00:29.600]  都是非常之深刻
[00:00:29.600 --> 00:00:34.000]  也都有很多的提醒和勸勉
[00:00:34.000 --> 00:00:35.400]  一開始的時候
[00:00:35.400 --> 00:00:38.200]  主席蘇就說我是真葡萄樹
[00:00:38.200 --> 00:00:40.200]  我父是栽培的人
[00:00:40.200 --> 00:00:42.200]  在《約翰福音》其實就有
[00:00:42.200 --> 00:00:44.200]  七個「我就是」
[00:00:44.200 --> 00:00:46.200]  他就說我就是
[00:00:46.200 --> 00:00:48.200]  我就是好木人
[00:00:48.200 --> 00:00:50.200]  我就是羊的門
[00:00:50.200 --> 00:00:52.800]  我就是道路真理生命
[00:00:52.800 --> 00:00:54.200]  有七個的
[00:00:54.200 --> 00:00:55.800]  這個就是其中一個
[00:00:55.800 --> 00:00:58.400]  我就是真葡萄樹
[00:00:58.400 --> 00:01:00.400]  那麼就
[00:01:00.400 --> 00:01:02.400]  一開始說的時候
[00:01:02.400 --> 00:01:04.400]  我們首先就要明白
[00:01:04.400 --> 00:01:06.400]  在這個比喻當中
[00:01:06.400 --> 00:01:09.400]  為什麼主席蘇會用葡萄樹
[00:01:09.400 --> 00:01:11.400]  做這個比喻呢
[00:01:11.400 --> 00:01:13.400]  特別他在這裡說到
[00:01:13.400 --> 00:01:15.400]  我就是真葡萄樹
[00:01:15.400 --> 00:01:20.400]  那意思其實就是有假葡萄樹
[00:01:20.400 --> 00:01:22.400]  即是如果你說
[00:01:22.400 --> 00:01:24.400]  這是真的一百塊美金
[00:01:24.400 --> 00:01:28.400]  那意思有些假的一百塊美金的鈔票
[00:01:28.400 --> 00:01:30.400]  那你才要說
[00:01:30.400 --> 00:01:32.400]  這個是真的
[00:01:32.400 --> 00:01:34.400]  如果沒有假就不需要說真的
[00:01:34.400 --> 00:01:36.400]  所以其實
