
[00:00:00.000 --> 00:00:03.840]  大兄姐妹早晨,很高興在這裡分享神話語
[00:00:03.840 --> 00:00:07.040]  記不記得上星期道牧師講到二世傑書
[00:00:07.040 --> 00:00:12.540]  他就用了AI的圖去展示書卷的異象的圖畫
[00:00:12.540 --> 00:00:16.320]  很漂亮、很精彩的輪子和活物
[00:00:16.320 --> 00:00:17.040]  很不同的事
[00:00:17.040 --> 00:00:19.580]  我也最近用了一個AI App
[00:00:19.580 --> 00:00:21.120]  不知道大家有沒有用過
[00:00:21.120 --> 00:00:25.800]  通常AI…就是AI,沒有中文
[00:00:25.800 --> 00:00:29.620]  AI…就是令照片很華麗
[00:00:29.620 --> 00:00:31.540]  就像上星期的牧師
[00:00:31.540 --> 00:00:34.280]  但這個AI App的特別之處就是
[00:00:34.280 --> 00:00:37.160]  它反方向,將照片降級
[00:00:37.160 --> 00:00:40.240]  即是由一個很高解像度變成很低解像度
[00:00:40.240 --> 00:00:44.000]  我覺得這件事很有趣,很反智,很特別
[00:00:44.000 --> 00:00:47.240]  它的意思是想懷舊回到以前
[00:00:47.240 --> 00:00:51.200]  二十年前的遊戲機是怎樣呈現出來的
[00:00:51.200 --> 00:00:53.320]  所以這幅照片,不知道大家有沒有看到
[00:00:53.320 --> 00:00:55.120]  就是我們的童工大合照
[00:00:55.120 --> 00:00:57.660]  變成起格的人,我覺得很可愛
[00:00:57.660 --> 00:00:59.080]  下一幅更加特別的
[00:00:59.080 --> 00:01:00.820]  你認不認得它們,是嗎?
[00:01:00.820 --> 00:01:05.000]  這個AI App就是令我們將明明是很細緻的東西
[00:01:05.000 --> 00:01:10.120]  去到解像度去到360p、240p
[00:01:10.120 --> 00:01:14.320]  令到桌面的炸雞也變成了墨落雞,很搞笑
[00:01:14.320 --> 00:01:18.040]  我覺得這個AI App給我有一個新的眼光
[00:01:18.040 --> 00:01:20.780]  其實人們是全部一樣的
[00:01:20.780 --> 00:01:23.240]  這個AI App就是…中文是濾鏡
[00:01:23.240 --> 00:01:25.040]  即是一個 filter,一個濾鏡
[00:01:25.040 --> 00:01:28.200]  就是令我們看的明明是同一樣的事物
[00:01:28.200 --> 00:01:30.360]  沒有改變過,都是這五個人
[00:01:30.360 --> 00:01:32.000]  都是挺帥的
[00:01:32.000 --> 00:01:35.320]  但它令我們用新的眼光去看它們
[00:01:35.320 --> 00:01:37.160]  所以我今天去分享
[00:01:37.160 --> 00:01:39.200]  《聖經》裡面有一個人
[00:01:39.200 --> 00:01:41.540]  他短短三章的經文裡面
[00:01:41.540 --> 00:01:43.960]  記載了一個很大的轉變
[00:01:43.960 --> 00:01:46.700]  環境、事實其實沒有分別的
[00:01:46.700 --> 00:01:49.780]  正在發生的事是如同正在發生
[00:01:49.780 --> 00:01:52.700]  但是神就好像幫他戴了一個濾鏡
[00:01:52.700 --> 00:01:55.000]  戴了一個 filter,一個新的眼鏡
[00:01:55.000 --> 00:01:58.200]  他用一個新的角度去看那件事的時候
[00:01:58.200 --> 00:02:00.620]  他就有一個很大的轉變
[00:02:00.620 --> 00:02:04.040]  所以我們開始前一起有一個禱告
[00:02:04.040 --> 00:02:05.740]  就是祝我們去禱告
[00:02:05.740 --> 00:02:08.040]  願你今天與我們同在
[00:02:08.040 --> 00:02:09.900]  神你親自對我們每一個說話
[00:02:09.900 --> 00:02:13.320]  並且幫我們戴上一個你的眼光
[00:02:13.320 --> 00:02:14.400]  你的濾鏡
[00:02:14.400 --> 00:02:16.080]  讓我們再看這個世界
[00:02:16.080 --> 00:02:18.200]  看身邊發生的事的時候
[00:02:18.200 --> 00:02:20.160]  我們用神你的眼光去看
[00:02:20.160 --> 00:02:22.540]  我們用神你的心腸去感受
[00:02:22.540 --> 00:02:25.160]  幫助我們好像哈巴谷先師那樣
[00:02:25.160 --> 00:02:27.080]  我們有一個新的項鍵
