
[00:00:00.000 --> 00:00:06.220]  我昨天看新聞,丹麥的郵政將會結束
[00:00:06.220 --> 00:00:11.560]  丹麥的郵政在2000年後開始
[00:00:11.560 --> 00:00:16.320]  郵政的使用量下跌了九成
[00:00:16.320 --> 00:00:20.300]  因為現在互聯網的世界大家都很少寄信
[00:00:20.300 --> 00:00:23.060]  我不知道大家多不多寄信寄卡
[00:00:23.060 --> 00:00:26.660]  因為下跌了九成也是很自然的事
[00:00:26.660 --> 00:00:32.920]  新聞說在丹麥的郵筒要開始拆了
[00:00:32.920 --> 00:00:38.220]  但原來郵政服務在丹麥已經四百年了
[00:00:38.220 --> 00:00:44.960]  終於在互聯網的時代要結束
[00:00:44.960 --> 00:00:47.260]  英國幸好好像不是
[00:00:47.260 --> 00:00:51.060]  英國人都很喜歡寄信寄卡
[00:00:51.060 --> 00:00:54.060]  聖誕的時候郵輪是很忙碌的
[00:00:54.060 --> 00:00:56.160]  很多生意
[00:00:56.160 --> 00:01:03.660]  在丹麥標誌著一個郵政時代的結束
[00:01:03.660 --> 00:01:08.160]  你會發覺每件事都有自己的一個時代
[00:01:08.160 --> 00:01:10.160]  有開始就有終結
[00:01:10.160 --> 00:01:14.660]  有一本很出名的小說《雙城記》
[00:01:14.660 --> 00:01:17.160]  狄更斯·查爾斯·迪肯斯寫的
[00:01:17.160 --> 00:01:21.660]  背景是說法國大革命
[00:01:21.660 --> 00:01:25.660]  當然是一個大時代,是一個很動盪的時代
[00:01:25.660 --> 00:01:30.160]  小說裡面有一句名句經常被引用
[00:01:30.160 --> 00:01:35.660]  就是「這是最好的時代,也是最壞的時代」
[00:01:35.660 --> 00:01:39.660]  最壞是因為時勢很惡,很凶險
[00:01:39.660 --> 00:01:44.660]  最好是因為仍然看到人性那種的美善
[00:01:44.660 --> 00:01:47.160]  當然對我們信耶穌的人來說
[00:01:47.160 --> 00:01:51.660]  我們更加看見美善是從上帝而來
[00:01:51.660 --> 00:01:56.160]  不單止小說裡面背景是這樣
[00:01:56.160 --> 00:01:58.160]  法國大革命的背景
