
[00:00:00.000 --> 00:00:03.000]  我們一起思想主的話語
[00:00:03.000 --> 00:00:05.000]  我們先一起有個祈禱
[00:00:05.000 --> 00:00:29.000]  最近我們一直都在思想希伯來書
[00:00:29.000 --> 00:00:32.000]  今日已經來到第十二章
[00:00:32.000 --> 00:00:34.000]  接近尾聲
[00:00:34.000 --> 00:00:38.000]  下個禮拜是我們英文王傅牧師最後一個禮拜
[00:00:38.000 --> 00:00:40.000]  在我們這個教會講道
[00:00:40.000 --> 00:00:42.000]  我都請了他來
[00:00:42.000 --> 00:00:45.000]  跟我們道別和分享訊息
[00:00:45.000 --> 00:00:50.000]  今日我預備了一張希伯來書的圖示給大家
[00:00:50.000 --> 00:00:54.000]  有兩邊
[00:00:54.000 --> 00:00:57.000]  幫助大家容易了解希伯來書
[00:00:57.000 --> 00:01:02.000]  希伯來書裏面其實有一個很重要的概念
[00:01:02.000 --> 00:01:05.000]  就是在第十章一節裏說
[00:01:05.000 --> 00:01:09.000]  法律並不是真事物的完整和確實的模型
[00:01:09.000 --> 00:01:13.000]  只是將來美好事物的影子
[00:01:13.000 --> 00:01:17.000]  法律在這裏就是指摩西五經
[00:01:17.000 --> 00:01:21.000]  舊約聖經的頭五卷書
[00:01:21.000 --> 00:01:25.000]  裏面有很多關於猶太教的規條
[00:01:25.000 --> 00:01:29.000]  包括獻祭、祭司、節旗、敬拜場所等等
[00:01:29.000 --> 00:01:35.000]  作者認為那些規條只是將來美好事物的影子
[00:01:35.000 --> 00:01:39.000]  而將來美好事物就是由主耶穌實現的
[00:01:39.000 --> 00:01:43.000]  所以作者在第一章至十二章裏面
[00:01:43.000 --> 00:01:46.000]  講到耶穌是超越天使、超越摩西
[00:01:46.000 --> 00:01:51.000]  作為大祭司、超越亞倫、超越默基西德和利美的祭司
[00:01:51.000 --> 00:01:55.000]  耶穌所獻的祭也是更加完全的祭
[00:01:55.000 --> 00:02:01.000]  耶穌為我們所立的新約比舊約更好
[00:02:01.000 --> 00:02:08.000]  耶穌也是我們信心的創始者和完成者
[00:02:08.000 --> 00:02:12.000]  這個圖示就是這樣表達的
[00:02:12.000 --> 00:02:16.000]  舊約的影子然後新約的實體
