
[00:00:00.000 --> 00:00:03.640]  我想我們剛剛過了一個不一樣的感恩節
[00:00:03.640 --> 00:00:05.640]  一個戴口罩的感恩節
[00:00:05.640 --> 00:00:07.640]  我想這件事情
[00:00:07.640 --> 00:00:09.640]  我們可以
[00:00:09.640 --> 00:00:11.640]  放在我們的心裡面
[00:00:11.640 --> 00:00:13.640]  等到疫情過後
[00:00:13.640 --> 00:00:15.640]  我們回過頭來想
[00:00:15.640 --> 00:00:17.640]  我們感謝我們的主
[00:00:17.640 --> 00:00:19.640]  他保守我們在這一段時間裡面
[00:00:19.640 --> 00:00:21.640]  所面對的
[00:00:21.640 --> 00:00:23.640]  這種疫情
[00:00:23.640 --> 00:00:25.640]  所以我們今天
[00:00:25.640 --> 00:00:27.640]  我們帶著感恩的心
[00:00:27.640 --> 00:00:29.640]  我們來到主的面前
[00:00:29.640 --> 00:00:31.640]  我們有一點禱告
[00:00:31.640 --> 00:00:33.640]  主我們滿心的感謝你
[00:00:33.640 --> 00:00:37.640]  主求你安靜我們的心
[00:00:37.640 --> 00:00:39.640]  讓我在你的面前
[00:00:39.640 --> 00:00:41.640]  主讓我們說的
[00:00:41.640 --> 00:00:43.640]  聽的都同感應您
[00:00:43.640 --> 00:00:45.640]  求你自己的話
[00:00:45.640 --> 00:00:47.640]  彰顯在你兒女們的心中
[00:00:47.640 --> 00:00:49.640]  謝謝你
[00:00:49.640 --> 00:00:51.640]  感謝禱告祈求
[00:00:51.640 --> 00:00:53.640]  豐祖耶穌基督寶貴的人
[00:00:53.640 --> 00:00:55.640]  Amen
[00:00:55.640 --> 00:00:57.640]  我今天要跟弟兄姊妹
[00:00:57.640 --> 00:00:59.640]  分享的經文
[00:00:59.640 --> 00:01:01.640]  剛剛打出來
[00:01:01.640 --> 00:01:03.640]  就是竭力
[00:01:03.640 --> 00:01:05.640]  進入了安息
[00:01:05.640 --> 00:01:07.640]  在
[00:01:07.640 --> 00:01:09.640]  希伯來書
[00:01:09.640 --> 00:01:11.640]  第四章
[00:01:11.640 --> 00:01:13.640]  這裡說到
[00:01:13.640 --> 00:01:15.640]  因為那
[00:01:15.640 --> 00:01:17.640]  進入安息的
[00:01:17.640 --> 00:01:19.640]  乃是卸了自己的功
[00:01:19.640 --> 00:01:21.640]  正如
[00:01:21.640 --> 00:01:23.640]  誰卸了他的功一樣
[00:01:23.640 --> 00:01:25.640]  所以
[00:01:25.640 --> 00:01:27.640]  我們務必竭力進入
[00:01:27.640 --> 00:01:29.640]  那安息
[00:01:29.640 --> 00:01:31.640]  免得有人學那不信從
[00:01:31.640 --> 00:01:33.640]  的樣子跌倒了
[00:01:33.640 --> 00:01:35.640]  這節經文給我們
[00:01:35.640 --> 00:01:39.640]  一點點
[00:01:39.640 --> 00:01:41.640]  他的意思
[00:01:41.640 --> 00:01:43.640]  如果我們只是從字面上來看
[00:01:43.640 --> 00:01:45.640]  我們要
[00:01:45.640 --> 00:01:47.640]  竭力進入那安息
[00:01:47.640 --> 00:01:49.640]  我們要注意那安息
[00:01:49.640 --> 00:01:51.640]  那個那是意有所指的一個安息
[00:01:53.640 --> 00:01:55.640]  乃是卸了
[00:01:55.640 --> 00:01:57.640]  自己的功
[00:01:57.640 --> 00:01:59.640]  我們注意這裡有一個功
[00:01:59.640 --> 00:02:01.640]  什麼樣的功呢
