
[00:00:00.000 --> 00:00:02.000]  代言姐妹早晨
[00:00:02.000 --> 00:00:04.000]  讓我們先一齊低頭禱告
[00:00:04.000 --> 00:00:09.000]  親愛的天父感謝你招聚我們在教會裏面
[00:00:09.000 --> 00:00:11.000]  一齊仰望你的恩典
[00:00:11.000 --> 00:00:13.000]  求你開我們的心
[00:00:13.000 --> 00:00:16.000]  讓你的道在我們心裏面扎根
[00:00:16.000 --> 00:00:19.000]  禱告是奉主耶穌基督名字祈求
[00:00:19.000 --> 00:00:21.000]  阿們
[00:00:21.000 --> 00:00:23.000]  先問大家一個問題
[00:00:23.000 --> 00:00:26.000]  不知道大家如果去買廚具
[00:00:26.000 --> 00:00:28.000]  或者去買電器
[00:00:28.000 --> 00:00:30.000]  或者去買其他東西
[00:00:30.000 --> 00:00:33.000]  如果你看到這產品是德國製造
[00:00:33.000 --> 00:00:35.000]  不知道你有什麼感覺呢
[00:00:35.000 --> 00:00:37.000]  我想你聽到德國製造
[00:00:37.000 --> 00:00:40.000]  你大概會覺得這產品應該有差不多的質素
[00:00:40.000 --> 00:00:42.000]  因為這幾個字
[00:00:42.000 --> 00:00:44.000]  通常給人的感覺就是
[00:00:44.000 --> 00:00:47.000]  耐用 嚴謹 注重細節
[00:00:47.000 --> 00:00:49.000]  反正你覺得這產品
[00:00:49.000 --> 00:00:51.000]  應該不會差極有限的
[00:00:51.000 --> 00:00:53.000]  不會太伏的
[00:00:53.000 --> 00:00:56.000]  不過不知道大家又知不知道
[00:00:56.000 --> 00:00:58.000]  原來德國製造這幾個字
[00:00:58.000 --> 00:01:00.000]  曾幾何時
[00:01:00.000 --> 00:01:02.000]  其實不是給人這樣的感覺
[00:01:02.000 --> 00:01:04.000]  曾經有一段時間
[00:01:04.000 --> 00:01:06.000]  德國製造這幾個字
[00:01:06.000 --> 00:01:09.000]  反而是劣質貨的代表
[00:01:09.000 --> 00:01:11.000]  為什麼會這樣呢
[00:01:11.000 --> 00:01:14.000]  可能有些人都聽過這個緣由
[00:01:14.000 --> 00:01:16.000]  這件事就由
[00:01:16.000 --> 00:01:18.000]  德國製造這幾個字
[00:01:18.000 --> 00:01:20.000]  自己的製造
[00:01:20.000 --> 00:01:22.000]  開始說起
[00:01:22.000 --> 00:01:24.000]  原來德國製造這幾個字
[00:01:24.000 --> 00:01:26.000]  並不是德國製造
