
[00:00:00.000 --> 00:00:04.960]  今日我們研究民訴記第33章51到56節
[00:00:04.960 --> 00:00:08.880]  摩西提出一個以色列人在征服英許之地時
[00:00:08.880 --> 00:00:12.120]  必須遵從的建國原則
[00:00:12.120 --> 00:00:14.000]  斬草除根
[00:00:14.000 --> 00:00:18.840]  如果以色列人趕盡殺絕那些拜外邦偶像的迦南人
[00:00:18.840 --> 00:00:23.080]  他們就可以在英許之地平平安安的繼續生活
[00:00:23.080 --> 00:00:25.600]  但是如果他們縱虎歸山
[00:00:25.600 --> 00:00:27.920]  就只會後患無窮
[00:00:27.920 --> 00:00:32.280]  耶和華會像處置愛邦一樣處置以色列人
[00:00:32.280 --> 00:00:35.720]  將他們從迦南地趕出去
[00:00:35.720 --> 00:00:39.160]  摩西的建國原則可以用三個部份來描述
[00:00:39.160 --> 00:00:41.960]  趕盡殺絕 玉石俱焚
[00:00:41.960 --> 00:00:44.720]  土地平分 人人有份
[00:00:44.720 --> 00:00:48.360]  免除後患 斬草除根
[00:00:48.360 --> 00:00:51.240]  首先 趕盡殺絕 玉石俱焚
[00:00:51.240 --> 00:00:53.400]  第51和22節說
[00:00:53.400 --> 00:00:55.400]  你要吩咐以色列人說
[00:00:55.400 --> 00:00:58.520]  你們過約旦河進迦南地的時候
[00:00:58.520 --> 00:01:02.000]  要從你們面前趕出那地所有的居民
[00:01:02.000 --> 00:01:06.320]  摧毀他們一切的石像和鑄成的偶像
[00:01:06.320 --> 00:01:10.000]  也要拆毀他們一切的幽壇
[00:01:10.000 --> 00:01:13.200]  第二 土地平分 人人有份
[00:01:13.200 --> 00:01:15.640]  第53和54節說
[00:01:15.640 --> 00:01:18.720]  你們要佔領那地 住在那裡
[00:01:18.720 --> 00:01:21.680]  因我以把那地賜給你們為業
[00:01:21.680 --> 00:01:25.600]  你們要按照宗族抽籤承受土地
[00:01:25.600 --> 00:01:28.400]  人多的要多給他們產業
[00:01:28.400 --> 00:01:31.320]  人少的要少給他們產業
[00:01:31.320 --> 00:01:33.480]  抽到何地給何人
[00:01:33.480 --> 00:01:35.560]  那地就歸於他
[00:01:35.560 --> 00:01:40.160]  你們要按照父系的支派承受產業
[00:01:40.160 --> 00:01:43.800]  第三 免除後患 斬草除根
[00:01:43.800 --> 00:01:45.960]  第55和56節說
[00:01:45.960 --> 00:01:50.520]  倘若你們不把那地的居民從你們面前趕出去
[00:01:50.520 --> 00:01:54.080]  那樓下的居民就必成為你們眼中的刺
[00:01:54.080 --> 00:01:55.520]  勒下的荊棘
[00:01:55.520 --> 00:01:59.000]  也必在你們所住的地上擾亂你們
[00:01:59.000 --> 00:02:00.880]  我想要怎樣待他們
[00:02:00.880 --> 00:02:04.240]  也必怎樣待你們
[00:02:04.240 --> 00:02:05.600]  《聖經》之後的描述
[00:02:05.600 --> 00:02:09.800]  以色列人成功地走過約旦河征服應許之地
[00:02:09.800 --> 00:02:12.240]  但是他們沒有聽摩西的吩咐
[00:02:12.240 --> 00:02:14.800]  將拜偶像的迦南人殲滅
[00:02:14.800 --> 00:02:18.320]  為了以後歷史種下種種禍根
[00:02:18.320 --> 00:02:23.720]  以色列人的歷史驗證了摩西這個建國原則
[00:02:23.720 --> 00:02:25.600]  摩西提出這個建國原則
[00:02:25.600 --> 00:02:27.640]  當然是得到神的啟示
[00:02:27.640 --> 00:02:31.400]  但也是從他人生當中攝取的功課
[00:02:31.400 --> 00:02:35.600]  以色列人在對付摩亞人和米澱人士
[00:02:35.600 --> 00:02:37.600]  學到的慘痛教訓
[00:02:37.600 --> 00:02:40.320]  是這番說話重要的背景
