
[00:00:00.000 --> 00:00:02.000]  祝禮弟兄姊妹平安
[00:00:02.000 --> 00:00:08.000]  感謝神我們再次可以回到神的殿中去敬拜讚美我們天父
[00:00:08.000 --> 00:00:09.300]  天上的包袱
[00:00:09.300 --> 00:00:17.300]  歡迎在網上直播收看的弟兄姊妹
[00:00:17.300 --> 00:00:20.300]  我們今天會繼續從約書亞記
[00:00:20.300 --> 00:00:25.300]  去看約書亞記的主題是如何同心跟隨神
[00:00:25.300 --> 00:00:27.800]  尤其是從13章至19章
[00:00:27.800 --> 00:00:30.100]  我們看到一個合一的見證
[00:00:30.100 --> 00:00:33.100]  過去的一個星期當中
[00:00:33.100 --> 00:00:38.100]  我們在明州都知道有很多的新聞
[00:00:38.100 --> 00:00:45.100]  新聞就說警民的對事
[00:00:45.100 --> 00:00:47.100]  因為有警民的衝突
[00:00:47.100 --> 00:00:50.100]  還有種族的糾紛
[00:00:50.100 --> 00:00:55.100]  我們也看到美國的不同的新聞
[00:00:55.100 --> 00:01:01.100]  各處的新聞都有些感覺上可能會有被針對的時候
[00:01:01.100 --> 00:01:07.100]  我們在這個社會裏面有很多不同的背景的人
[00:01:07.100 --> 00:01:11.100]  我們有不同的職業
[00:01:11.100 --> 00:01:13.100]  在社會上有不同的職份
[00:01:13.100 --> 00:01:16.100]  我們在教會裏面或者社會裏面
[00:01:16.100 --> 00:01:20.100]  對於各個群體當中的相處
[00:01:20.100 --> 00:01:23.100]  我們群體當中有不同的時候
[00:01:23.100 --> 00:01:26.100]  我們怎樣可以在不同群體的背景當中
[00:01:26.100 --> 00:01:31.100]  我們又可以存著合一的心而不是分化呢
[00:01:31.100 --> 00:01:33.100]  關鍵是什麼呢
[00:01:33.100 --> 00:01:36.100]  我們看到約書亞記的時候
[00:01:36.100 --> 00:01:42.100]  我們看到約書亞在大領導以色列過了約旦河的時候
[00:01:42.100 --> 00:01:46.100]  他就攻佔了耶利哥城
[00:01:46.100 --> 00:01:51.100]  耶利撒冷王帶領南方的諸王去對抗以色列民
[00:01:51.100 --> 00:01:59.100]  由北方的夏所王帶領北方的諸王一同進攻以色列的選民
[00:01:59.100 --> 00:02:01.100]  他們抗拒進入迦南地
[00:02:01.100 --> 00:02:05.100]  之後約書亞在十三章看到的時候
[00:02:05.100 --> 00:02:13.100]  開始將英許之地的產業慢慢地按著宗族分給以色列民
[00:02:13.100 --> 00:02:15.100]  這種是分配的事情
[00:02:15.100 --> 00:02:17.100]  分配了給以色列民
[00:02:17.100 --> 00:02:19.100]  當中我們所學到的
[00:02:19.100 --> 00:02:23.100]  會不會是在宗族之間的關係
[00:02:23.100 --> 00:02:26.100]  和合一的一個社群當中
[00:02:26.100 --> 00:02:29.100]  一個國民當中的關係
[00:02:29.100 --> 00:02:34.100]  究竟我們在各種分歧當中
[00:02:34.100 --> 00:02:36.100]  我們今天學到的第一道問題
[00:02:36.100 --> 00:02:38.100]  分歧當中我們有不同
[00:02:38.100 --> 00:02:40.100]  但是怎樣可以在這個
[00:02:40.100 --> 00:02:44.100]  我們可以活出一個合一的生活見證呢
