
[00:00:00.000 --> 00:00:02.100]  大家新年快樂
[00:00:02.100 --> 00:00:05.260]  無論是實體這裏的弟兄姊妹
[00:00:05.260 --> 00:00:07.940]  和網上的Explorer
[00:00:07.940 --> 00:00:11.240]  我們再一次歡迎大家來到我們的網上崇拜
[00:00:11.240 --> 00:00:14.340]  我相信即使我們隔著螢幕
[00:00:14.340 --> 00:00:16.780]  相信上帝都是和我們在一起的
[00:00:16.780 --> 00:00:20.180]  我們沒有東西是能夠隔絕和上帝的愛
[00:00:20.180 --> 00:00:23.180]  這裡弄一弄
[00:00:23.180 --> 00:00:26.220]  真的動也比較難一點
[00:00:26.220 --> 00:00:36.020]  今天是年初六
[00:00:36.020 --> 00:00:41.140]  我們再一次經歷一個不一樣的新年
[00:00:41.140 --> 00:00:44.640]  這個農曆新年我們鬥少了利是
[00:00:44.640 --> 00:00:48.140]  是不是仍然有PayMe
[00:00:48.140 --> 00:00:52.840]  有Online怎樣付款
[00:00:52.840 --> 00:00:54.640]  網上過數
[00:00:54.640 --> 00:00:57.440]  我不知道有沒有這樣的利是
[00:00:57.440 --> 00:00:58.720]  大家有沒有鬥到
[00:00:58.720 --> 00:01:01.720]  也不知道大家有沒有去拜年
[00:01:01.720 --> 00:01:06.120]  最近我們在網上平台或新聞
[00:01:06.120 --> 00:01:10.360]  都看到不少有關新一年
[00:01:10.360 --> 00:01:13.560]  有關老虎虎字的祝福語
[00:01:13.560 --> 00:01:17.200]  例如很正常有虎年快樂
[00:01:17.200 --> 00:01:18.900]  剛才大家看到的影片
[00:01:18.900 --> 00:01:20.980]  祝你虎虎生威
[00:01:20.980 --> 00:01:22.740]  龍精虎猛
[00:01:22.740 --> 00:01:26.380]  或者好像我們這班Explore的團隊
[00:01:26.380 --> 00:01:29.620]  龍精虎猛好像我們這麼生猛
[00:01:29.620 --> 00:01:31.720]  有一個也挺正的
[00:01:31.720 --> 00:01:37.820]  不知道大家知不知道這個說什麼
[00:01:37.820 --> 00:01:39.220]  大家試試猜
[00:01:39.220 --> 00:01:42.060]  讀快一點
[00:01:42.060 --> 00:01:44.900]  沒錯就是I love you
[00:01:44.900 --> 00:01:46.000]  愛老虎尤
