
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹,早晨,請我們同心在一個禱告
[00:00:05.000 --> 00:00:09.000]  天父,我們多謝你,讓我們一起去敬拜你
[00:00:09.000 --> 00:00:13.000]  我們透過詩歌,我們透過今天有獻詩
[00:00:13.000 --> 00:00:18.000]  讓我們去聆聽透過詩歌,你榮耀的國度的訊息
[00:00:18.000 --> 00:00:24.000]  也都給我們有禱告,有讀經,有講道的時間
[00:00:24.000 --> 00:00:26.000]  由弟兄姊妹相交
[00:00:26.000 --> 00:00:31.000]  這一切都是將我們帶到主的面前
[00:00:31.000 --> 00:00:34.000]  因為我們知道教會不是一棟建築物
[00:00:34.000 --> 00:00:36.000]  那是教會的頂紙媒
[00:00:36.000 --> 00:00:39.000]  我們透過你教導我們要做的
[00:00:39.000 --> 00:00:43.000]  每一個禮拜去守這個主日的時候
[00:00:43.000 --> 00:00:47.000]  我們能夠有一個很好的相交
[00:00:47.000 --> 00:00:52.000]  在你的話語裡彼此鼓勵、提醒、教訓、督促
[00:00:52.000 --> 00:00:56.000]  求主與我們今天每一位同在,包括孩子
[00:00:56.000 --> 00:00:59.000]  成為你的出口,求主潔淨
[00:00:59.000 --> 00:01:07.000]  求主幫助領子妹,也能夠和孩子自己一同聆聽你話語的訊息
[00:01:07.000 --> 00:01:10.000]  我們多謝主,求你聖靈在我們當中
[00:01:10.000 --> 00:01:13.000]  祈禱奉耶穌,基督明治,阿們
[00:01:13.000 --> 00:01:18.000]  我講這個系列已經講了很多堂
[00:01:18.000 --> 00:01:22.000]  面向困境走出安書區
[00:01:22.000 --> 00:01:25.000]  講一下什麼是安書區
[00:01:25.000 --> 00:01:27.000]  不知道大家有沒有去思考
[00:01:27.000 --> 00:01:30.000]  講了這麼久究竟什麼是安書區呢
[00:01:30.000 --> 00:01:35.000]  我們看看什麼是安書區
[00:01:35.000 --> 00:01:39.000]  我們找了一個心理學的定義
[00:01:39.000 --> 00:01:42.000]  究竟安書區是什麼
[00:01:42.000 --> 00:01:45.000]  從這個角度去思想這段經文
[00:01:45.000 --> 00:01:49.000]  和我們一起去看這個題目更加深入
[00:01:49.000 --> 00:01:54.000]  其實這些資料都是open source
[00:01:54.000 --> 00:01:55.000]  很容易找到的
[00:01:55.000 --> 00:01:57.000]  大家可以看看
[00:01:57.000 --> 00:02:01.000]  原來安書區可以有另外一個說法
[00:02:01.000 --> 00:02:04.000]  就是你在一個現狀
[00:02:04.000 --> 00:02:06.000]  但是在這個現狀裡面
[00:02:06.000 --> 00:02:09.000]  其實那個現狀未必是好
[00:02:09.000 --> 00:02:11.000]  如果你離開這個現狀
[00:02:11.000 --> 00:02:14.000]  是會比你不離開好
[00:02:14.000 --> 00:02:16.000]  但是在這個判斷裡面
[00:02:16.000 --> 00:02:17.000]  我繼續在這裡
[00:02:17.000 --> 00:02:20.000]  這是一個現狀的謬誤
[00:02:20.000 --> 00:02:23.000]  現狀謬誤指出
[00:02:23.000 --> 00:02:26.000]  人普遍對維持現狀有強烈的偏好
[00:02:26.000 --> 00:02:28.000]  我們每一個人都是這樣
[00:02:28.000 --> 00:02:32.000]  這種偏好不一定基於現狀比較好
[00:02:32.000 --> 00:02:35.000]  或者是對其他選項的未知
[00:02:35.000 --> 00:02:39.000]  而是對現狀本身有一種鍾愛
[00:02:39.000 --> 00:02:42.000]  我們很喜歡安書區
[00:02:42.000 --> 00:02:45.000]  維持現狀是好一點的
[00:02:45.000 --> 00:02:49.000]  而有兩個認知謬誤
[00:02:49.000 --> 00:02:50.000]  什麼叫認知謬誤呢
[00:02:50.000 --> 00:02:55.000]  其實你看很多認知謬誤
[00:02:55.000 --> 00:02:58.000]  或者一些心理學的說明
[00:02:58.000 --> 00:03:01.000]  人其實不是真的那麼理性
[00:03:01.000 --> 00:03:02.000]  我們做了很多決定
[00:03:02.000 --> 00:03:05.000]  其實是有謬誤的
[00:03:05.000 --> 00:03:07.000]  其中兩個今天說
[00:03:07.000 --> 00:03:11.000]  其實就是和這個現狀謬誤有關係
[00:03:11.000 --> 00:03:13.000]  這兩個認知謬誤
[00:03:13.000 --> 00:03:16.000]  原來在這個現狀謬誤的背後
[00:03:16.000 --> 00:03:20.000]  使我們更加繼續維持現狀謬誤
[00:03:20.000 --> 00:03:22.000]  很難突破安書區
[00:03:22.000 --> 00:03:25.000]  一個叫損失的規避
[00:03:25.000 --> 00:03:28.000]  一個叫貧富的效應
[00:03:28.000 --> 00:03:29.000]  是什麼呢
[00:03:29.000 --> 00:03:31.000]  損失規避
[00:03:31.000 --> 00:03:32.000]  舉個例子
[00:03:32.000 --> 00:03:33.000]  譬如有個小朋友
[00:03:33.000 --> 00:03:35.000]  他拿著一件東西
[00:03:35.000 --> 00:03:40.000]  可能是一個玩具
[00:03:40.000 --> 00:03:42.000]  家人就跟他說
[00:03:42.000 --> 00:03:44.000]  你放下這玩具
[00:03:44.000 --> 00:03:46.000]  我給你一個大一點的
[00:03:46.000 --> 00:03:47.000]  類似高達
[00:03:47.000 --> 00:03:48.000]  小高達
[00:03:48.000 --> 00:03:49.000]  我給你一個大高達
[00:03:49.000 --> 00:03:54.000]  但是他就會繼續拿著
[00:03:54.000 --> 00:03:56.000]  他不願意放手
[00:03:56.000 --> 00:03:58.000]  這個叫損失規避
[00:03:58.000 --> 00:03:59.000]  其實可能他的損失
[00:03:59.000 --> 00:04:00.000]  他放手
[00:04:00.000 --> 00:04:01.000]  放下這個小高達
[00:04:01.000 --> 00:04:04.000]  他接著就會拿到大高達
[00:04:04.000 --> 00:04:07.000]  但是就不願意放手
[00:04:07.000 --> 00:04:09.000]  他判斷這個損失
