
[00:00:00.000 --> 00:00:05.000]  最近有一齣電影故事描述一位小男孩
[00:00:05.000 --> 00:00:07.440]  他天生因為基因遺傳
[00:00:07.440 --> 00:00:11.080]  而臉和頭部有殘缺
[00:00:11.080 --> 00:00:13.440]  即使做了二十多次手術
[00:00:13.440 --> 00:00:15.360]  仍然相當扭曲
[00:00:15.360 --> 00:00:19.080]  在這部電影的宣傳單章裏面是這樣寫
[00:00:19.080 --> 00:00:22.040]  人生或有殘酷的時候
[00:00:22.040 --> 00:00:27.400]  但是愛能夠行出超乎意料的奇蹟
[00:00:27.400 --> 00:00:30.920]  這個小男孩患了一個症
[00:00:30.920 --> 00:00:36.080]  叫勞顏缺陷症
[00:00:36.080 --> 00:00:38.080]  所以當他上學的時候
[00:00:38.080 --> 00:00:44.680]  他要戴著一個好像太空人的頭盔上學
[00:00:44.680 --> 00:00:50.160]  德蘭修女當她去收容被遺棄的臨終者
[00:00:50.160 --> 00:00:51.800]  街頭的露宿者
[00:00:51.800 --> 00:00:53.080]  病患者
[00:00:53.080 --> 00:00:54.680]  被遺棄的婦女
[00:00:54.680 --> 00:01:01.160]  還有她去服侍一些全身長瘡的小孩子的時候
[00:01:01.160 --> 00:01:01.960]  她說
[00:01:01.960 --> 00:01:05.400]  我在服務這些人士的時候
[00:01:05.400 --> 00:01:09.840]  我從他們身上看到耶穌基督
[00:01:09.840 --> 00:01:16.880]  她視這些服侍為對耶穌基督的服務
[00:01:16.880 --> 00:01:23.520]  愛人和愛神之間的關係是密不可分的
[00:01:23.520 --> 00:01:29.400]  透過服侍我們可以展現對神的愛
[00:01:29.400 --> 00:01:33.360]  所以在《約翰福音》13章35節講到
[00:01:33.360 --> 00:01:36.000]  「你們若有彼此相愛的心
[00:01:36.000 --> 00:01:41.400]  眾人因此就認出你們是我的門徒」
[00:01:41.400 --> 00:01:44.960]  在2017年今年全年講壇的訊息
[00:01:44.960 --> 00:01:49.840]  我們都聚焦在「門徒使命」這個主題上
