
[00:00:00.000 --> 00:00:04.000]  今日和大家思想的是八福裡面的第一福
[00:00:04.000 --> 00:00:09.000]  如果你有聖經 歡迎你打開馬太福音第五章
[00:00:09.000 --> 00:00:16.000]  優牧師給了我一個很大挑戰的任務
[00:00:16.000 --> 00:00:21.000]  就是在2017年 和大家一起學習怎樣做天國人
[00:00:21.000 --> 00:00:26.000]  做天國人最基本是做八福人
[00:00:26.000 --> 00:00:29.000]  八福每一福到底是怎樣的一回事
[00:00:29.000 --> 00:00:35.000]  馬太寫給第一代的猶太基督徒
[00:00:35.000 --> 00:00:40.000]  是讓他們能夠肯定自己所得到的新的信仰
[00:00:40.000 --> 00:00:42.000]  其實並不是新的
[00:00:42.000 --> 00:00:49.000]  那是根據他們祖先列祖所有的那個應許
[00:00:49.000 --> 00:00:53.000]  在耶穌基督身上一脈相承的
[00:00:53.000 --> 00:00:58.000]  是見到上帝實現他的應許
[00:00:58.000 --> 00:01:02.000]  亦都是實現這個以色列的盼望
[00:01:02.000 --> 00:01:08.000]  揭開了人類最終極的新天新地
[00:01:08.000 --> 00:01:13.000]  那個天國的實現這個序幕
[00:01:13.000 --> 00:01:20.000]  亦都讓教會真的理解到耶穌基督到底是哪一位
[00:01:20.000 --> 00:01:22.000]  他所為何事
[00:01:22.000 --> 00:01:25.000]  並且使這一班跟從耶穌基督的人
[00:01:25.000 --> 00:01:28.000]  無論是當代的猶太基督徒
[00:01:28.000 --> 00:01:30.000]  和後世的基督徒
[00:01:30.000 --> 00:01:35.000]  都在信仰和生活上得到指引
[00:01:35.000 --> 00:01:39.000]  所以福音書的作者最重要的
[00:01:39.000 --> 00:01:43.000]  就是要讓教會能夠去理解到
[00:01:43.000 --> 00:01:47.000]  耶穌基督並他所成就的事
[00:01:47.000 --> 00:01:55.000]  然後讓他們世世代代懂得來遵循上帝的心意
[00:01:55.000 --> 00:01:57.000]  馬太福音一共有28章
[00:01:57.000 --> 00:02:01.000]  這28章裏面是很清楚的結構
[00:02:01.000 --> 00:02:04.000]  是分成述事
[00:02:04.000 --> 00:02:07.000]  然後講論
[00:02:07.000 --> 00:02:10.000]  述事講論述事講論
