
[00:00:00.000 --> 00:00:04.000]  還有幾天就過農曆新年了
[00:00:04.000 --> 00:00:06.640]  很有意思,我們一到農曆新年就會計
[00:00:06.640 --> 00:00:09.360]  今天是初幾,就不會計西曆了
[00:00:09.360 --> 00:00:13.800]  我慣常都會按照那一年的生肖
[00:00:13.800 --> 00:00:15.320]  講一篇道的
[00:00:15.320 --> 00:00:18.720]  那些人就說,喂,不是哦,那些生肖是迷信的東西來的
[00:00:18.720 --> 00:00:22.240]  我就說,我只是掛狗頭賣羊肉而已
[00:00:22.240 --> 00:00:24.520]  我沒理由被玲玲講完的,對不對
[00:00:24.520 --> 00:00:26.520]  那麼下一年是什麼年啊?
[00:00:26.520 --> 00:00:28.040]  是蛇年啊
[00:00:28.040 --> 00:00:32.760]  所以我就會講蛇年,說是蛇
[00:00:32.760 --> 00:00:35.160]  跟大家一起分享
[00:00:35.160 --> 00:00:38.360]  聖經裏面說到蛇的時候,詞類很多的
[00:00:38.360 --> 00:00:41.000]  希伯來文裏面有九個字是說蛇的
[00:00:41.000 --> 00:00:43.000]  在希麗文裏面有四個
[00:00:43.000 --> 00:00:45.800]  但是你知不知道蛇是爬蟲類的動物裏面
[00:00:45.800 --> 00:00:49.480]  是分佈得最廣的一種動物來的
[00:00:49.480 --> 00:00:53.720]  全世界只有一個地方是沒有蛇的
[00:00:53.720 --> 00:00:57.480]  其他地方都有蛇的,知不知道是哪個地方
[00:00:57.480 --> 00:00:58.760]  是南極
[00:00:58.760 --> 00:01:02.280]  除了南極沒有蛇之外,很多地方都有蛇的
[00:01:02.280 --> 00:01:06.120]  在巴勒斯坦地裏面有三十三種的蛇
[00:01:06.120 --> 00:01:10.120]  其中的二十種都是毒蛇來的
[00:01:10.120 --> 00:01:11.480]  是很厲害的
[00:01:11.480 --> 00:01:14.760]  但是蛇是很會隱藏
[00:01:14.760 --> 00:01:17.720]  而且它會行動的時候是沒有聲音的
[00:01:17.720 --> 00:01:19.400]  你是察覺不到的
[00:01:19.400 --> 00:01:23.880]  在迦南地的宗教裏面,它們是會拜蛇來的
[00:01:23.880 --> 00:01:29.480]  特別有些的挑戰就是蛇身,但是人頭的
[00:01:29.480 --> 00:01:32.200]  不知道大家有沒有機會去過土耳其
[00:01:32.200 --> 00:01:35.480]  在伊斯坦堡,接着南表對出有個廣場
[00:01:35.480 --> 00:01:39.720]  其中一個的銅像,是用銅做的,就是蛇身
[00:01:39.720 --> 00:01:41.320]  不過頭已經斷了
[00:01:41.320 --> 00:01:43.880]  當日那些人來是去敬拜的
[00:01:43.880 --> 00:01:47.720]  在小亞細亞地裏面有四個神他們要拜的
[00:01:47.720 --> 00:01:49.560]  有兩個神大家很熟悉的
[00:01:49.560 --> 00:01:53.560]  就是宙斯神,掌管宇宙和阿典娜
[00:01:53.560 --> 00:01:55.880]  還有一個神是誰呢?
[00:01:55.880 --> 00:01:58.440]  就叫戴安尼索
[00:01:58.440 --> 00:02:01.400]  它就是酒神和生殖之神
[00:02:01.400 --> 00:02:03.160]  拜它有兒子生的
[00:02:03.160 --> 00:02:06.120]  還有一個神,大家可能會少去聽的
[00:02:06.120 --> 00:02:08.120]  就叫阿克里比亞
[00:02:08.120 --> 00:02:11.000]  這個神是什麼呢?就是以蛇做代表
[00:02:11.000 --> 00:02:13.000]  是一個"伊"字的神
[00:02:13.000 --> 00:02:15.800]  所以大家有沒有留意到,不是"伊"神
[00:02:15.800 --> 00:02:17.080]  是"伊"字的神
[00:02:17.080 --> 00:02:21.240]  就是很多的救護的機構
[00:02:21.240 --> 00:02:22.920]  甚至世衛組織
[00:02:22.920 --> 00:02:26.680]  都是以蛇作爲一個標誌
[00:02:26.680 --> 00:02:29.320]  很多人就說,這個會不會是說聖經裏面
[00:02:29.320 --> 00:02:32.760]  就是摩西舉堂蛇,所以人們看到它就得救了
[00:02:32.760 --> 00:02:35.800]  絕對不是就是拜這個假神
[00:02:35.800 --> 00:02:39.320]  中國人對蛇有什麼看法呢?
[00:02:39.320 --> 00:02:41.480]  你留意到都是很負面的
[00:02:41.480 --> 00:02:44.600]  所以一到新年有什麼靈蛇出洞
[00:02:44.600 --> 00:02:46.600]  金蛇賀年這樣
[00:02:46.600 --> 00:02:48.280]  都是騙你的
