
[00:00:00.000 --> 00:00:02.000]  看節目我們一同低頭有個禱告
[00:00:02.000 --> 00:00:06.000]  天父上帝我們一同聚集
[00:00:06.000 --> 00:00:08.000]  在祢的面前
[00:00:08.000 --> 00:00:10.000]  當祢是
[00:00:10.000 --> 00:00:12.000]  佩德我們敬拜讚美
[00:00:12.000 --> 00:00:14.000]  讓我們用心靈誠實
[00:00:14.000 --> 00:00:16.000]  到祢面前來敬拜祢
[00:00:16.000 --> 00:00:18.000]  求主讓我們心裏面的意念
[00:00:18.000 --> 00:00:20.000]  口裏的言語
[00:00:20.000 --> 00:00:22.000]  在祢面前都蒙月立
[00:00:22.000 --> 00:00:24.000]  順著我們的禱告
[00:00:24.000 --> 00:00:26.000]  向耶穌明志祈求
[00:00:26.000 --> 00:00:28.000]  永遠
[00:00:28.000 --> 00:00:30.000]  與主同在的聖徒
[00:00:30.000 --> 00:00:32.000]  這個聖字
[00:00:32.000 --> 00:00:34.000]  就給大家一點解釋
[00:00:34.000 --> 00:00:36.000]  因為一般
[00:00:36.000 --> 00:00:38.000]  我們在宗教裏面
[00:00:38.000 --> 00:00:40.000]  都聽到
[00:00:40.000 --> 00:00:42.000]  聖約翰 聖彼得
[00:00:42.000 --> 00:00:44.000]  有些宗教
[00:00:44.000 --> 00:00:46.000]  都會將一些人在地上
[00:00:46.000 --> 00:00:48.000]  行得好
[00:00:48.000 --> 00:00:50.000]  站得好 做得好
[00:00:50.000 --> 00:00:52.000]  於是就
[00:00:52.000 --> 00:00:54.000]  追封他叫聖XX
[00:00:54.000 --> 00:00:56.000]  但這裡聖經所說的
[00:00:56.000 --> 00:00:58.000]  聖就不是指那一類
[00:00:58.000 --> 00:01:00.000]  因為那些是
[00:01:00.000 --> 00:01:02.000]  尊敬一種稱謂
[00:01:02.000 --> 00:01:04.000]  但聖經裏面提到
[00:01:04.000 --> 00:01:06.000]  這個聖徒的時候
[00:01:06.000 --> 00:01:08.000]  是指每一個重生得救的人
[00:01:08.000 --> 00:01:10.000]  他們都可以被
[00:01:10.000 --> 00:01:12.000]  稱為聖徒
[00:01:12.000 --> 00:01:14.000]  在聖經裏面的記載
[00:01:14.000 --> 00:01:16.000]  是很清楚 特別是寶羅書信裏面
[00:01:16.000 --> 00:01:18.000]  提到這個聖徒的時候
[00:01:18.000 --> 00:01:20.000]  是指凡是蒙恩得救
[00:01:20.000 --> 00:01:22.000]  蒙恩得救
[00:01:22.000 --> 00:01:24.000]  上帝稱為義的人
[00:01:24.000 --> 00:01:26.000]  都可以被
[00:01:26.000 --> 00:01:28.000]  稱為聖徒
[00:01:28.000 --> 00:01:30.000]  所以永遠與主在聖徒
[00:01:30.000 --> 00:01:32.000]  是指每一個
[00:01:32.000 --> 00:01:34.000]  重生得救
[00:01:34.000 --> 00:01:36.000]  在神面前被稱為義的人
[00:01:36.000 --> 00:01:38.000]  但至於說永遠
[00:01:38.000 --> 00:01:40.000]  與主一起
[00:01:40.000 --> 00:01:42.000]  就不只是意識上我們今天想
[00:01:42.000 --> 00:01:44.000]  永遠就是永遠
[00:01:44.000 --> 00:01:46.000]  我們這個身體
[00:01:46.000 --> 00:01:48.000]  與主在一起
[00:01:48.000 --> 00:01:50.000]  我們以馬來尼
[00:01:50.000 --> 00:01:52.000]  上主與我們同在
[00:01:52.000 --> 00:01:54.000]  因為主與我們同在
[00:01:54.000 --> 00:01:56.000]  我們有平安有喜樂
[00:01:56.000 --> 00:01:58.000]  有保障有神所賜的恩典
[00:01:58.000 --> 00:02:00.000]  有教訓有督促
[00:02:00.000 --> 00:02:02.000]  但這個身體
[00:02:02.000 --> 00:02:04.000]  有一天
[00:02:04.000 --> 00:02:06.000]  有一天 不知道哪一天
[00:02:06.000 --> 00:02:08.000]  都會離開
[00:02:08.000 --> 00:02:10.000]  身體離開之後
[00:02:10.000 --> 00:02:12.000]  我們人也是靈魂體
[00:02:12.000 --> 00:02:14.000]  那我們的靈魂得救嗎
[00:02:14.000 --> 00:02:16.000]  No 當然不會
[00:02:16.000 --> 00:02:18.000]  這個身體有一天經過死亡
[00:02:18.000 --> 00:02:20.000]  會轉變成為一個
[00:02:20.000 --> 00:02:22.000]  榮耀的身體
[00:02:22.000 --> 00:02:24.000]  那是我們現在
[00:02:24.000 --> 00:02:26.000]  用這個腦海
[00:02:26.000 --> 00:02:28.000]  未必想得通
[00:02:28.000 --> 00:02:30.000]  你說這個身體有沒有頭髮
[00:02:30.000 --> 00:02:32.000]  有沒有骨頭有沒有血液
[00:02:32.000 --> 00:02:34.000]  我不知道
[00:02:34.000 --> 00:02:36.000]  但聖經所記載耶穌基督
[00:02:36.000 --> 00:02:38.000]  在地上的時候
[00:02:38.000 --> 00:02:40.000]  他從死裡復活之後
[00:02:40.000 --> 00:02:42.000]  聖經記載他在地上
[00:02:42.000 --> 00:02:44.000]  在這個世界中間能夠活過
[00:02:44.000 --> 00:02:46.000]  那這個身體是甚麼身體呢
[00:02:46.000 --> 00:02:48.000]  肯定是一個榮耀的身體
[00:02:48.000 --> 00:02:50.000]  而這個榮耀的身體
[00:02:50.000 --> 00:02:52.000]  在耶穌還沒受死之前
[00:02:52.000 --> 00:02:54.000]  曾經在登山變茅的時候
[00:02:54.000 --> 00:02:56.000]  與
[00:02:56.000 --> 00:02:58.000]  以利亞 與摩西
[00:02:58.000 --> 00:03:00.000]  顯現過在彼得的眼前
[00:03:00.000 --> 00:03:02.000]  被門徒們
[00:03:02.000 --> 00:03:04.000]  記錄下來
[00:03:04.000 --> 00:03:06.000]  所以弟兄姊妹
[00:03:06.000 --> 00:03:08.000]  對每一個神的現象來說
[00:03:08.000 --> 00:03:10.000]  必須要信有一個這樣
[00:03:10.000 --> 00:03:12.000]  叫榮耀的身體
[00:03:12.000 --> 00:03:14.000]  我們只能用這個名詞去講
[00:03:14.000 --> 00:03:16.000]  因為你說榮耀之體都可以
[00:03:16.000 --> 00:03:18.000]  但榮耀之體是甚麼體呢 不知道
[00:03:18.000 --> 00:03:20.000]  但將來我們與神同在的時候
[00:03:20.000 --> 00:03:22.000]  不是單單我們的靈魂 意識
[00:03:22.000 --> 00:03:24.000]  與神同在
[00:03:24.000 --> 00:03:26.000]  No 經過死亡
[00:03:26.000 --> 00:03:28.000]  一粒墨紙落在地裡
[00:03:28.000 --> 00:03:30.000]  死了 結出很多枝粒來
[00:03:30.000 --> 00:03:32.000]  一個蟲
[00:03:32.000 --> 00:03:34.000]  結了繭之後 就變了一隻蝴蝶
[00:03:34.000 --> 00:03:36.000]  即是飛蛾的蝴蝶
[00:03:36.000 --> 00:03:38.000]  這個過程中間
[00:03:38.000 --> 00:03:40.000]  讓我們看到大自然中間
[00:03:40.000 --> 00:03:42.000]  都可以有這樣的變化
[00:03:42.000 --> 00:03:44.000]  何況在全人神的手中
[00:03:44.000 --> 00:03:46.000]  因此這裡講到
[00:03:46.000 --> 00:03:48.000]  永遠寓著一程的聖徒的時候
[00:03:48.000 --> 00:03:50.000]  就不單單我們想想
[00:03:50.000 --> 00:03:52.000]  是就是啦 你不信就沒有啦
[00:03:52.000 --> 00:03:54.000]  你無論信與不信
[00:03:54.000 --> 00:03:56.000]  不是你想不想問題
[00:03:56.000 --> 00:03:58.000]  在你
[00:03:58.000 --> 00:04:00.000]  或者在我和你
[00:04:00.000 --> 00:04:02.000]  經過死亡之後
[00:04:02.000 --> 00:04:04.000]  一定面對的啦
[00:04:04.000 --> 00:04:06.000]  沒得走的啦
[00:04:06.000 --> 00:04:08.000]  那怎樣 既然我們說信耶穌
[00:04:08.000 --> 00:04:10.000]  得到永生的人 得到永生是甚麼來的
[00:04:10.000 --> 00:04:12.000]  兩個字 抽象的名詞
[00:04:12.000 --> 00:04:14.000]  一個意識
[00:04:14.000 --> 00:04:16.000]  永遠寓著在一起
[00:04:16.000 --> 00:04:18.000]  所以
[00:04:18.000 --> 00:04:20.000]  弟兄姊妹 當我們去看聖經的時候
[00:04:20.000 --> 00:04:22.000]  我們會
[00:04:22.000 --> 00:04:24.000]  有這樣的看法
[00:04:24.000 --> 00:04:26.000]  信耶穌
