
[00:00:00.000 --> 00:00:07.800]  今天和大家分享的其中一卷很特別的書卷
[00:00:07.800 --> 00:00:10.700]  尼希米是一個時代的僕人
[00:00:10.700 --> 00:00:18.200]  在這段經文裏面提到他是一個很特別的人物
[00:00:18.200 --> 00:00:20.400]  活在一個很特別的時代
[00:00:20.400 --> 00:00:24.300]  可以幫我找一下我的powerpoint嗎
[00:00:24.300 --> 00:00:38.100]  其實在以色列的歷史上有很多起起伏伏的時間
[00:00:38.100 --> 00:00:43.200]  令人很驚訝有時候很讚嘆
[00:00:43.200 --> 00:00:45.100]  但有時候也令人很惋惜
[00:00:45.100 --> 00:00:49.100]  因為這個國家經歷了很輝煌的時代
[00:00:49.100 --> 00:00:53.500]  大家知道在大衛·索羅門的時候是最為輝煌
[00:00:53.500 --> 00:00:56.900]  吸引了列伯萬邦的人
[00:00:56.900 --> 00:01:00.700]  都來看看神在這個國家做了什麼
[00:01:00.700 --> 00:01:04.400]  居然可以建立一個這樣的聖殿
[00:01:04.400 --> 00:01:08.500]  索羅門王所擁有的智慧是從神而來
[00:01:08.500 --> 00:01:10.800]  並不是他個人的能力
[00:01:10.800 --> 00:01:14.700]  這種榮耀史無前例
[00:01:14.700 --> 00:01:16.400]  但是在歷史上
[00:01:16.400 --> 00:01:22.700]  以色列也邁望到一個地方令人不值一看
[00:01:22.700 --> 00:01:28.100]  好像被咒詛一個國家一個民一樣
[00:01:28.100 --> 00:01:31.700]  在以色列裡面有很多起伏的年代
[00:01:31.700 --> 00:01:34.000]  我相信大家有一點點的重溫
[00:01:34.000 --> 00:01:38.800]  在建國亡國大概一千年前左右
[00:01:38.800 --> 00:01:41.300]  建國第一位的君王是索羅
[00:01:41.300 --> 00:01:43.100]  接著是大衛·索羅門
[00:01:43.100 --> 00:01:46.000]  當時是一個很繁盛的時代
[00:01:46.000 --> 00:01:50.100]  很多的金銀多到不可勝數
[00:01:50.100 --> 00:01:51.300]  有人奉獻出來
[00:01:51.300 --> 00:01:55.900]  自己願意擺上很多的軍事實力
[00:01:55.900 --> 00:01:58.100]  很多的智慧建築
[00:01:58.100 --> 00:02:01.700]  吸引了列伯萬邦
[00:02:01.700 --> 00:02:04.500]  但是這個歷史不算是很長遠
[00:02:04.500 --> 00:02:07.400]  只是過了大概一百年左右
[00:02:07.400 --> 00:02:12.200]  就因為索羅門的兒子羅伯安的愚拙
[00:02:12.200 --> 00:02:14.200]  就造成了一種分裂
[00:02:14.200 --> 00:02:17.700]  十個支派和兩個支派分開了南國和北國
[00:02:17.700 --> 00:02:19.200]  很多的戰爭
[00:02:19.200 --> 00:02:21.800]  很多的王是一個此起彼落
[00:02:21.800 --> 00:02:23.900]  有些是很邪惡的
[00:02:23.900 --> 00:02:26.200]  有些是比較敬虔
[00:02:26.200 --> 00:02:27.100]  但是兩個國
[00:02:27.100 --> 00:02:30.400]  南國和北國分開了很多的爭戰
[00:02:30.400 --> 00:02:32.600]  兩個爭戰和外邦的爭戰
[00:02:32.600 --> 00:02:36.600]  很多的王很大部分都是不好的
[00:02:36.600 --> 00:02:40.200]  最終去到在早前722年
[00:02:40.200 --> 00:02:43.200]  以色列國反過來寫
[00:02:43.200 --> 00:02:49.600]  亡在亞述裡面,猶大南國被巴比倫所毀滅
[00:02:49.600 --> 00:02:53.500]  聖殿被毀,子民被擄去
[00:02:53.500 --> 00:02:56.600]  有些軍王甚至被人挖瞎眼睛
[00:02:56.600 --> 00:02:58.700]  用鎖鏈把他拖回去
[00:02:58.700 --> 00:03:01.300]  送到巴比倫的地方
[00:03:01.300 --> 00:03:02.600]  短短幾百年裡面
[00:03:02.600 --> 00:03:04.000]  從一個很輝煌的歷史
