
[00:00:00.000 --> 00:00:09.520]  我們現在在11月來到我們今年要看的書卷《史萊姆傳》差不多到結尾的部分
[00:00:09.520 --> 00:00:12.560]  在《史萊姆傳》我想和大家有少許的溫習
[00:00:12.560 --> 00:00:17.840]  我們之前都講過其實《史萊姆傳》很多時候被人叫做聖靈的行傳
[00:00:17.840 --> 00:00:20.400]  所以在《史萊姆傳》第十九章的時候我提過
[00:00:20.400 --> 00:00:26.440]  我們在當中要學習一個功課就是我們要領受聖靈
[00:00:26.440 --> 00:00:28.800]  教會需要領受聖靈
[00:00:28.800 --> 00:00:33.120]  我們每一個基督徒同樣更加需要就是領受聖靈
[00:00:33.120 --> 00:00:38.160]  我們的生命願意來到被聖靈來到去掌管
[00:00:38.160 --> 00:00:40.800]  我上次提到我們怎樣可以領受聖靈呢?
[00:00:40.800 --> 00:00:43.480]  其中一個就是我們要問一下自己
[00:00:43.480 --> 00:00:47.560]  我有沒有生命被聖靈來到去掌管?
[00:00:47.560 --> 00:00:51.880]  我的生命有沒有結出聖靈的果子呢?
[00:00:51.880 --> 00:00:56.040]  這個就是幫助我們其中一個可以檢視我們的生命
[00:00:56.040 --> 00:00:59.800]  讓我們能夠有一個被聖靈掌管的生命
[00:00:59.800 --> 00:01:03.760]  更加讓教會都是信著安著聖靈的心意
[00:01:03.760 --> 00:01:05.760]  安著神的心意而行
[00:01:05.760 --> 00:01:09.920]  所以聖靈是在《史萊姆傳》裏面其中一個很重要的訊息
[00:01:09.920 --> 00:01:12.680]  另外一個我相信也是《史萊姆傳》裏面很重要的訊息
[00:01:12.680 --> 00:01:15.160]  成為教會今天的提醒是什麼呢?
[00:01:15.160 --> 00:01:21.280]  我們是不是一個講論信基督耶穌的道的教會呢?
[00:01:21.280 --> 00:01:24.400]  簡單來說這個就是問一下自己問一下教會
[00:01:24.400 --> 00:01:27.720]  我們是不是一間全福音的教會?
[00:01:27.720 --> 00:01:30.560]  我想城鎮可能在過往的日子
[00:01:30.560 --> 00:01:32.760]  其實不單單是我們自己
[00:01:32.760 --> 00:01:37.120]  尤其給人的印象都是城鎮有很多福音的工作
[00:01:37.120 --> 00:01:39.200]  有很多的報道會、很多的聚會
[00:01:39.200 --> 00:01:41.680]  城鎮都是一個全福音的教會
[00:01:41.680 --> 00:01:44.600]  但是今天我想都成為一個我們的挑戰
[00:01:44.600 --> 00:01:47.560]  我們是不是真的一個全福音的教會?
[00:01:47.560 --> 00:01:51.880]  我們願不願意跟人去分享我們的信仰?
[00:01:51.880 --> 00:01:53.960]  我們有沒有做到呢?
[00:01:53.960 --> 00:01:57.920]  因為我們想過可能我們今天到這個階段
[00:01:57.920 --> 00:02:00.560]  我們不是很知道怎麼做
[00:02:00.560 --> 00:02:06.000]  所以今天直覺保羅他經歷了一些受審問的時候
[00:02:06.000 --> 00:02:09.640]  他的提醒就是從初期教會
[00:02:09.640 --> 00:02:11.960]  從這一班的使徒身上
[00:02:11.960 --> 00:02:13.040]  我們都要問一下自己
