
[00:00:00.000 --> 00:00:03.580]  好開心能夠同大家一齊來敬拜神
[00:00:03.580 --> 00:00:06.640]  我看過一本書的作者講過一句話
[00:00:06.640 --> 00:00:08.160]  我覺得很有意思
[00:00:08.160 --> 00:00:09.400]  他說
[00:00:09.400 --> 00:00:12.720]  面對人生困難最好的辦法
[00:00:12.720 --> 00:00:14.720]  就是來敬拜神
[00:00:14.720 --> 00:00:19.360]  面對人生問題最好的辦法
[00:00:19.360 --> 00:00:21.360]  就是來敬拜神
[00:00:21.360 --> 00:00:22.860]  各位頂姐妹
[00:00:22.860 --> 00:00:24.240]  今日你們來敬拜神
[00:00:24.240 --> 00:00:26.240]  或者你心裏面有重擔
[00:00:26.240 --> 00:00:27.480]  有些掛慮
[00:00:27.480 --> 00:00:29.480]  面對一些逆境
[00:00:29.480 --> 00:00:33.080]  你可以將這些困難重擔放下
[00:00:33.080 --> 00:00:34.400]  在神的面前
[00:00:34.400 --> 00:00:36.400]  願今日神的話語
[00:00:36.400 --> 00:00:38.040]  能夠激勵你
[00:00:38.040 --> 00:00:39.600]  能夠安慰你
[00:00:39.600 --> 00:00:41.600]  加你力量
[00:00:41.600 --> 00:00:43.600]  兩個星期前
[00:00:43.600 --> 00:00:46.960]  香港的中學文憑試放榜
[00:00:46.960 --> 00:00:53.560]  報道了一個很令人感動的故事
[00:00:53.560 --> 00:00:56.680]  有一個女孩叫曾志君
[00:00:56.680 --> 00:00:58.680]  她失明
[00:00:58.680 --> 00:01:01.440]  聽覺也不好
[00:01:01.440 --> 00:01:03.800]  而且手指觸覺也不行
[00:01:03.800 --> 00:01:05.800]  那怎樣讀書呢
[00:01:05.800 --> 00:01:07.800]  但她不怕困難
[00:01:07.800 --> 00:01:09.800]  用口唇來讀書
[00:01:09.800 --> 00:01:12.680]  結果考到三科優
[00:01:12.680 --> 00:01:15.800]  曾志君的勇氣和毅力
[00:01:15.800 --> 00:01:17.800]  很值得我們敬佩
[00:01:17.800 --> 00:01:22.200]  但這種個案其實少之又少
[00:01:22.200 --> 00:01:26.280]  大部份的人都不懂得怎樣面對逆境
[00:01:26.280 --> 00:01:29.720]  尤其是過去十多年香港社會
[00:01:29.720 --> 00:01:32.200]  經歷過很多的轉變
[00:01:32.200 --> 00:01:36.760]  出現很多的困難
[00:01:36.760 --> 00:01:38.760]  以致我們很多人
[00:01:38.760 --> 00:01:42.200]  在職場上、關係上、經濟上
[00:01:42.200 --> 00:01:44.200]  都受到很多壓力
[00:01:44.200 --> 00:01:47.480]  所以有不少人有情緒病
[00:01:47.480 --> 00:01:50.680]  自殺的個案都很多
[00:01:50.680 --> 00:01:55.000]  有些是因為經濟困難令他們有情緒病
[00:01:55.000 --> 00:01:57.240]  有些是因為關係上的困難
[00:01:57.240 --> 00:01:59.800]  或者有些是健康上的困難
[00:01:59.800 --> 00:02:03.080]  今天我要和大家來看看
[00:02:03.080 --> 00:02:07.160]  我們怎樣有效地去面對人生的逆境
[00:02:07.160 --> 00:02:11.800]  我要從保羅身上學習他怎樣面對人生的逆境
[00:02:11.800 --> 00:02:15.560]  我們要在裏面學一些很切實的功夫
[00:02:15.560 --> 00:02:18.600]  首先我要和大家講
[00:02:18.600 --> 00:02:22.920]  剛才張惠華姐妹和我一起讀這段經文的背景
[00:02:22.920 --> 00:02:30.600]  這段經文是記載保羅第一次來到哥倫多這個城市的經歷
[00:02:30.600 --> 00:02:34.040]  保羅第一次來到哥倫多
[00:02:34.040 --> 00:02:38.840]  是在他第二次宣教旅程的時候發生的
[00:02:38.840 --> 00:02:44.200]  有人說保羅有三次宣教旅程
[00:02:44.200 --> 00:02:45.800]  有人說他有四次
[00:02:45.800 --> 00:02:51.480]  其實第四次就是他以一個囚犯的身份被遞解
[00:02:51.480 --> 00:02:53.720]  從耶路撒冷到羅馬
[00:02:53.720 --> 00:02:56.280]  都有機會宣教
[00:02:56.280 --> 00:02:58.280]  但不是自由的宣教
[00:02:58.280 --> 00:03:00.760]  如果自由的就是三次
[00:03:00.760 --> 00:03:03.000]  如果你看保羅一生
[00:03:03.000 --> 00:03:04.920]  他大約三十歲信主
[00:03:04.920 --> 00:03:08.040]  四十歲就開始第一次的宣教
[00:03:08.040 --> 00:03:11.320]  平均每一次的宣教旅程
[00:03:11.320 --> 00:03:13.800]  大約維持四年到五年
[00:03:13.800 --> 00:03:17.960]  這段經文講到他去哥倫多
[00:03:17.960 --> 00:03:20.440]  就是他在第二次宣教的後期
[00:03:20.440 --> 00:03:22.440]  即是說他已經四十幾歲
[00:03:22.440 --> 00:03:23.960]  接近五十歲
[00:03:23.960 --> 00:03:27.560]  很多時候我們讀保羅的書信
[00:03:27.560 --> 00:03:29.000]  有一種感覺
[00:03:29.000 --> 00:03:31.160]  保羅是一個很偉大的使徒
[00:03:31.160 --> 00:03:32.440]  剛強無比
[00:03:32.440 --> 00:03:34.360]  他全福音向所披靡
[00:03:34.360 --> 00:03:35.640]  百毒不侵
[00:03:35.640 --> 00:03:38.120]  但這段經文給你看到
[00:03:38.120 --> 00:03:42.200]  其實保羅有柔軟脆弱的一面
[00:03:42.200 --> 00:03:45.080]  記得有一次在一個小組裏面
[00:03:45.080 --> 00:03:46.600]  我問幾位弟兄姊妹
[00:03:46.600 --> 00:03:50.760]  究竟你比較喜歡保羅還是彼得?
[00:03:50.760 --> 00:03:53.080]  每個人都說我比較喜歡彼得
[00:03:53.080 --> 00:03:53.800]  為什麼呢?
[00:03:53.800 --> 00:03:55.000]  因為彼得比較親切
[00:03:55.000 --> 00:03:56.920]  彼得有很多的困難
[00:03:56.920 --> 00:03:58.120]  很多的弱點我都有
[00:03:58.120 --> 00:03:59.480]  我可以跟他認同
[00:03:59.480 --> 00:04:01.560]  但保羅就高高在上
[00:04:01.560 --> 00:04:03.320]  整個神聖完美的人
[00:04:03.320 --> 00:04:05.480]  我根本就遠不可及
[00:04:05.480 --> 00:04:07.000]  沒有辦法跟他比較
[00:04:07.000 --> 00:04:09.960]  所以離開我好像幾個等級
[00:04:09.960 --> 00:04:14.120]  但其實這段經文會給你看到
[00:04:14.120 --> 00:04:18.040]  保羅跟你不是差得那麼遠
[00:04:18.040 --> 00:04:19.400]  他有他的困難
[00:04:19.400 --> 00:04:21.160]  他有他的重擔
[00:04:21.160 --> 00:04:29.000]  我們今天一齊來看看這件事
[00:04:29.000 --> 00:04:30.840]  保羅來到哥倫多的時候
[00:04:30.840 --> 00:04:32.360]  其實他很辛苦
[00:04:32.360 --> 00:04:34.360]  他帶著一個疲累的身軀
[00:04:34.360 --> 00:04:36.360]  一個戰驚的心情
[00:04:36.360 --> 00:04:38.520]  所以過了五年
[00:04:38.520 --> 00:04:41.800]  過了五年他在以弗所的城市
[00:04:41.800 --> 00:04:44.040]  寫信給哥倫多的教會
[00:04:44.040 --> 00:04:45.320]  他離開了哥倫多
[00:04:45.320 --> 00:04:47.400]  過了五年在第三次的宣教旅程
[00:04:47.400 --> 00:04:49.400]  他寫信給哥倫多的教會
[00:04:49.400 --> 00:04:50.680]  你知不知道他怎麼說的
[00:04:50.680 --> 00:04:54.280]  他說當初我來到你那裡的時候
