
[00:00:00.000 --> 00:00:02.240]  使命之神 使命之盟
[00:00:02.240 --> 00:00:07.520]  是我們教會2019年和2020年的全年總題
[00:00:07.520 --> 00:00:10.400]  今早我會通過彼得前書第二章
[00:00:10.400 --> 00:00:14.800]  和大家一起去反思使命教會的本質
[00:00:14.800 --> 00:00:21.200]  顧名思義 彼得前書是仕途彼得所寫的一封書信
[00:00:21.200 --> 00:00:26.120]  寫信的時候大概是公元62至63年左右
[00:00:26.120 --> 00:00:29.480]  當時的彼得已經過了60歲
[00:00:29.480 --> 00:00:32.760]  你想起三十年前的那一幕
[00:00:32.760 --> 00:00:36.360]  在加利利的海邊 耶穌突然間出現
[00:00:36.360 --> 00:00:40.400]  呼召了正在打魚的彼得和他的弟弟
[00:00:40.400 --> 00:00:42.680]  馬可夫音第一章第十七節這樣說
[00:00:42.680 --> 00:00:45.760]  耶穌對他們說來 跟從我
[00:00:45.760 --> 00:00:49.000]  我要叫你們得人如得魚
[00:00:49.000 --> 00:00:51.680]  就是這樣他們就跟隨了耶穌
[00:00:51.680 --> 00:00:54.880]  回望六十載的漁夫人生
[00:00:54.880 --> 00:00:58.360]  頭三十年彼得努力的去得魚
[00:00:58.360 --> 00:01:02.120]  後三十年彼得得人如得魚
[00:01:02.120 --> 00:01:06.920]  如果彼得不做漁夫 你猜他還可以做哪一行呢
[00:01:06.920 --> 00:01:10.320]  思考者告訴我們 如果彼得沒有去做漁夫
[00:01:10.320 --> 00:01:13.920]  他很有可能去做一個建築師
[00:01:13.920 --> 00:01:17.960]  而且他是專攻教會建築的設計
[00:01:17.960 --> 00:01:19.360]  可能又會有人問
[00:01:19.360 --> 00:01:24.240]  林牧師 聖經學者真的會研究這麼假設性的問題嗎
[00:01:24.240 --> 00:01:28.520]  其實所謂聖經學者不就是我
[00:01:28.520 --> 00:01:32.360]  不過我這樣說其實是絕對有道理的
[00:01:32.360 --> 00:01:35.200]  今天是改正中的主日
[00:01:35.200 --> 00:01:39.760]  很多改正中的教會都有一個拉丁文的座右銘
[00:01:39.760 --> 00:01:42.960]  叫做Semper Reformanda
[00:01:42.960 --> 00:01:47.200]  它的意思是教會總是在改革的當中
[00:01:47.200 --> 00:01:49.920]  無論你的教會多漂亮也好
[00:01:49.920 --> 00:01:53.800]  你需要不斷持續的去裝修
[00:01:53.800 --> 00:01:54.920]  去改進
[00:01:54.920 --> 00:01:58.240]  當然我們的改革不是為了改革而改革
[00:01:58.240 --> 00:02:01.040]  我們的改革是為了基督而改革
[00:02:01.040 --> 00:02:02.760]  為了天國而改革
