
[00:00:00.000 --> 00:00:05.960]  我想在座當中有不少弟兄姊妹仍然會記得
[00:00:05.960 --> 00:00:08.560]  你是在什麼情況之下
[00:00:08.560 --> 00:00:12.680]  來返教會信耶穌
[00:00:12.680 --> 00:00:16.120]  對於那些信主不是很久的弟兄姊妹
[00:00:16.120 --> 00:00:20.080]  這個印象應該是比較深刻的
[00:00:20.080 --> 00:00:22.280]  你會很容易想起
[00:00:22.280 --> 00:00:26.200]  為什麼你會有機會認識這個信仰
[00:00:26.200 --> 00:00:29.640]  怎樣踏進這個教會裡面
[00:00:29.640 --> 00:00:31.880]  有一些很特別的事情
[00:00:31.880 --> 00:00:35.880]  是和你的信仰有關的
[00:00:35.880 --> 00:00:38.360]  也有一些很特別的人物
[00:00:38.360 --> 00:00:42.280]  去幫助你認識這個信仰
[00:00:42.280 --> 00:00:46.480]  不過如果你信主的年日比較久一點
[00:00:46.480 --> 00:00:49.280]  可能已經是幾十年前的事了
[00:00:49.280 --> 00:00:52.480]  這些印象可能很無悔
[00:00:52.480 --> 00:00:55.440]  就算你知道有些事情是發生過
[00:00:55.440 --> 00:00:58.480]  但那些事情的細節可能不太記得
[00:00:58.480 --> 00:01:03.280]  不過如果有人去幫助你認識這個信仰
[00:01:03.280 --> 00:01:06.120]  我相信這個印象是很深刻的
[00:01:06.120 --> 00:01:09.920]  到今時今日你仍然記得是誰
[00:01:09.920 --> 00:01:14.320]  帶領你來認識耶穌基督
[00:01:14.320 --> 00:01:17.040]  由從前不認識
[00:01:17.040 --> 00:01:20.200]  到今天你已經認識了
[00:01:20.200 --> 00:01:25.880]  也是按照著信仰的提示來生活
[00:01:25.880 --> 00:01:30.480]  如果我們能夠每隔一段時間再去想一想
[00:01:30.480 --> 00:01:35.960]  幫助我們想起我們信主的初衷
[00:01:35.960 --> 00:01:40.160]  為什麼我會成為一個基督徒呢?
[00:01:40.160 --> 00:01:44.600]  這不僅是幫助我們的信仰繼續成長
[00:01:44.600 --> 00:01:48.520]  更加可以幫助我們去見到一些
[00:01:48.520 --> 00:01:52.080]  可能和我們昔日有類似經歷的人
[00:01:52.080 --> 00:01:58.880]  我們也可以去幫助他們認識基督的信仰
[00:01:58.880 --> 00:02:03.320]  今天我們所讀的《紹行傳》第十七章這段經文
[00:02:03.320 --> 00:02:06.800]  就是保羅去到雅典當中
[00:02:06.800 --> 00:02:09.640]  他看到那裡有很多人
[00:02:09.640 --> 00:02:11.760]  他們去尋求學問
[00:02:11.760 --> 00:02:16.120]  但同樣他們也去尋求一個宗教信仰
[00:02:16.120 --> 00:02:22.240]  或者未必是一個很有體系的宗教信仰
[00:02:22.240 --> 00:02:24.720]  可能是一種民間的信仰
[00:02:24.720 --> 00:02:26.720]  一種民間的宗教
[00:02:26.720 --> 00:02:28.440]  但是在雅典裡面
[00:02:28.440 --> 00:02:31.320]  就是充滿著這些人
[00:02:31.320 --> 00:02:36.560]  雅典就是在當時希羅文化裡面
[00:02:36.560 --> 00:02:40.320]  一個象徵著學問的寶庫
