
[00:00:00.000 --> 00:00:02.000]  請問平安
[00:00:02.000 --> 00:00:06.240]  我想今天都沒有什麼人不用電腦的了
[00:00:06.240 --> 00:00:10.520]  我不知道大家有沒有試過你的電腦中了毒
[00:00:10.520 --> 00:00:12.520]  中了電腦病毒
[00:00:12.520 --> 00:00:14.520]  有沒有人試過 我想看看
[00:00:14.520 --> 00:00:17.620]  都蠻多的
[00:00:17.620 --> 00:00:21.880]  我不知道你第一次電腦中了毒你的反應是怎樣
[00:00:21.880 --> 00:00:24.120]  我第一次是很多年前
[00:00:24.120 --> 00:00:26.120]  二十多年前那時候還在用那些
[00:00:26.120 --> 00:00:29.240]  幾吋小的那些膠的霍皮
[00:00:29.240 --> 00:00:31.240]  一突進去 嘩
[00:00:31.240 --> 00:00:33.240]  一開檔案 嘩 有virus
[00:00:33.240 --> 00:00:35.240]  嚇到我馬上彈出來
[00:00:35.240 --> 00:00:38.240]  然後扔開 想找火災插一下
[00:00:38.240 --> 00:00:43.240]  然後很怕它會傳染我其他的4BD
[00:00:43.240 --> 00:00:46.240]  我想一想 真是很傻
[00:00:46.240 --> 00:00:49.240]  電腦病毒不是這樣傳染的
[00:00:49.240 --> 00:00:54.240]  我用人 病毒那種傳染這樣去反應
[00:00:54.240 --> 00:00:57.240]  有些叫做過度反應
[00:00:57.240 --> 00:01:02.240]  但我想現在有時我們又是太過大安主義
[00:01:02.240 --> 00:01:06.240]  好像到處都有病毒的
[00:01:06.240 --> 00:01:10.240]  安個病毒軟件就可以了
[00:01:10.240 --> 00:01:14.240]  有人send東西給你 你又開
[00:01:14.240 --> 00:01:16.240]  有時都不知道是誰你都開
[00:01:16.240 --> 00:01:19.240]  這樣又中毒 有沒有人試過這樣
[00:01:19.240 --> 00:01:21.240]  有時開了一些電郵
[00:01:21.240 --> 00:01:24.240]  我想我們可能又去到另一個極端
[00:01:24.240 --> 00:01:29.240]  有時太過將那東西不當一回事
[00:01:29.240 --> 00:01:32.240]  很容易又中招
[00:01:32.240 --> 00:01:35.240]  看看那個是甚麼病毒
[00:01:35.240 --> 00:01:37.240]  有時那個後果很嚴重
[00:01:37.240 --> 00:01:41.240]  整個電腦所有的資料可能沒有了
[00:01:41.240 --> 00:01:47.240]  我想有時我們對零因這東西都有類似的反應
[00:01:47.240 --> 00:01:49.240]  一是太敏感
[00:01:49.240 --> 00:01:55.240]  一是好似零因 或者人家說零因是這樣我們都會彈開
[00:01:55.240 --> 00:01:59.240]  有些人敬拜打鼓
[00:01:59.240 --> 00:02:02.240]  我們今天都頗零因
[00:02:02.240 --> 00:02:06.240]  不零因 舉手才是零因
[00:02:06.240 --> 00:02:08.240]  我們都沒有人舉手
[00:02:08.240 --> 00:02:11.240]  是不是這樣叫做零因呢
[00:02:11.240 --> 00:02:15.240]  但有些又說很多零因教會很興旺
[00:02:15.240 --> 00:02:20.240]  我們就學他那套
[00:02:20.240 --> 00:02:26.240]  會不會又是將一些零因 負面的效果
[00:02:26.240 --> 00:02:29.240]  或者負面的後果
[00:02:29.240 --> 00:02:31.240]  我們沒有去想清楚
[00:02:31.240 --> 00:02:35.240]  我們就隨便去學習其他人的做法呢
[00:02:35.240 --> 00:02:40.240]  我想重要的一樣東西就好似電腦病毒
[00:02:40.240 --> 00:02:42.240]  你要知道那東西是甚麼
[00:02:42.240 --> 00:02:44.240]  你要知道後果是怎樣
[00:02:44.240 --> 00:02:50.240]  然後你要有合適的步驟去防禦
[00:02:50.240 --> 00:02:53.240]  究竟零因是甚麼呢
[00:02:53.240 --> 00:02:56.240]  我想和大家看一看
[00:02:56.240 --> 00:02:58.240]  第一張 麻煩你
[00:02:58.240 --> 00:03:02.240]  現在我們經常說的零因教會
[00:03:02.240 --> 00:03:06.240]  其實是一個叫做零因運動而來的
[00:03:06.240 --> 00:03:09.240]  零因運動是甚麼呢
[00:03:09.240 --> 00:03:16.240]  其實在零因運動的英文字我們可以理解多一點
