
[00:00:00.000 --> 00:00:04.000]  我想問問大家,你認不認同我這樣說法呢?
[00:00:04.000 --> 00:00:10.000]  譬如說,管理人生,就要管理你的錢財,你認不認同?
[00:00:10.000 --> 00:00:12.000]  認同你舉手吧!
[00:00:12.000 --> 00:00:17.000]  人生這麼多東西,當然要管理,錢財是一部份的管理
[00:00:17.000 --> 00:00:25.000]  但如果我反過來這樣說,管理你的錢財,就是管理你的人生,你認不認同呢?
[00:00:25.000 --> 00:00:27.000]  如果你認同,你就舉起你的手吧!
[00:00:27.000 --> 00:00:33.000]  嘩!不是很多而已,我自己很大程度都認為是的
[00:00:33.000 --> 00:00:37.000]  我覺得如果你錢財管理得不好,你人生可能都很悲哀的
[00:00:37.000 --> 00:00:44.000]  剛才我們看那個浪子比喻的小兒子,其實是其中一個個案的反映
[00:00:44.000 --> 00:00:47.000]  前陣子有一套電視劇,不知道大家有沒有看呢?
[00:00:47.000 --> 00:00:52.000]  《BB來了》,我也有看的,覺得挺好笑,挺有趣
[00:00:52.000 --> 00:00:57.000]  講述一些新手爸爸,新手媽媽,有個嬰兒來到的時候
[00:00:57.000 --> 00:01:02.000]  裡面帶給家庭的反應,表現等等,都很受歡迎
[00:01:02.000 --> 00:01:05.000]  我看一些報章說,這個劇集這麼受歡迎
[00:01:05.000 --> 00:01:11.000]  其中它裡面的題材很貼地,即是貼地反映生活
[00:01:11.000 --> 00:01:15.000]  當小朋友來到的時候,原來家庭真的要這麼上下的情況
[00:01:15.000 --> 00:01:20.000]  但其實我們都知道這個電視劇是創作出來的
[00:01:20.000 --> 00:01:23.000]  裡面的男女主角其實都不是一個有真實的人物
[00:01:23.000 --> 00:01:29.000]  不過它因為取材於生活,也反映了生活裡面就有一些這麼上下的人
[00:01:29.000 --> 00:01:33.000]  這麼上下的新手爸爸,這麼上下的新手媽媽那種表演
[00:01:33.000 --> 00:01:38.000]  當我們看聖經的時候,我們也會發現,耶穌講了很多的比喻
[00:01:38.000 --> 00:01:40.000]  其實每一個比喻都是耶穌創作出來的
[00:01:40.000 --> 00:01:47.000]  裡面的東西其實都是取材於生活,也都反映於生活的情況
[00:01:47.000 --> 00:01:55.000]  不過耶穌會再進一步透過這個比喻,帶出多一層的屬靈的,深入的屬靈的教訓
[00:01:55.000 --> 00:02:00.000]  有時候我們聽過殺種比喻,耶穌講的種子殺在不同的地方裡面
[00:02:00.000 --> 00:02:04.000]  就反映當時殺農夫耕種的情況
[00:02:04.000 --> 00:02:11.000]  祂叫我們不要憂慮的時候,叫你看天上的雀仔飛鳥,這個就是社會生活
[00:02:11.000 --> 00:02:17.000]  有時候講到葡萄園主的比喻,講到園主在早上下午分別不同時段去請人
[00:02:17.000 --> 00:02:22.000]  這就反映當時工作裡面會請人,來進入葡萄園裡面工作的背景
[00:02:22.000 --> 00:02:30.000]  講十童女的比喻,就是講當時的婚姻的背景,來講述一些屬靈的道理在裡面
[00:02:30.000 --> 00:02:34.000]  今天我想和大家看一段經文,叫做浪子的比喻
[00:02:34.000 --> 00:02:38.000]  大家相當熟悉在當中,其實都是取材於生活
[00:02:38.000 --> 00:02:45.000]  即是說當中的小兒子,雖然是創作,也都反映當時有些人就是這樣的理財
[00:02:45.000 --> 00:02:50.000]  或者理財得好不好,而導致一個很悲劇的人生
[00:02:50.000 --> 00:02:58.000]  浪子比喻,耶穌是想透過這個比喻,講出多一層的屬靈的訊息
[00:02:58.000 --> 00:03:02.000]  不過今天我就不會看這方面了,因為過往大家都聽過不少
[00:03:02.000 --> 00:03:09.000]  反而我想落實一點,字面一點,就看看這個浪子比喻的小兒子,他怎樣管理他的前財
[00:03:09.000 --> 00:03:15.000]  而導致他的悲劇的人生,從中我們可以去學習
[00:03:15.000 --> 00:03:19.000]  這個小兒子有什麼問題呢?問題就很多
[00:03:19.000 --> 00:03:22.000]  首先,如果你說這個兒子是好兒子還是壞兒子?
[00:03:22.000 --> 00:03:24.000]  你說是壞兒子還是好兒子?
[00:03:24.000 --> 00:03:28.000]  壞兒子你舉錯了,一定是壞兒子
[00:03:28.000 --> 00:03:35.000]  怎樣壞呢?第一個壞的地方就是,爸爸還沒死的時候要求分家產
[00:03:35.000 --> 00:03:39.000]  遺產通常是死後才做的,才分的
[00:03:39.000 --> 00:03:45.000]  現在他還沒死的時候跟爸爸說,分了那份我應得的,我應得的
