
[00:00:00.000 --> 00:00:07.760]  今日開始和大家講約伯記
[00:00:07.760 --> 00:00:10.160]  當我想講約伯記的時候
[00:00:10.160 --> 00:00:11.680]  或者我開始看的時候
[00:00:11.680 --> 00:00:14.000]  我覺得真是感謝神
[00:00:14.000 --> 00:00:17.760]  因為去年講完這個全道書
[00:00:17.760 --> 00:00:21.680]  我發覺好像有全道書打了底之後
[00:00:21.680 --> 00:00:26.240]  講約伯記似乎就好像有些順理成章
[00:00:26.240 --> 00:00:33.520]  會容易讓大家明白一些
[00:00:33.520 --> 00:00:40.880]  全道書約伯記有類似相同的題目
[00:00:40.880 --> 00:00:43.200]  就是講到苦難的問題
[00:00:43.200 --> 00:00:46.560]  講到苦難或者困難、禍患、遭遇
[00:00:46.560 --> 00:00:50.720]  我們是沒法子預測
[00:00:50.720 --> 00:00:57.680]  全道書集中講一個普遍性的現象
[00:00:57.680 --> 00:00:58.880]  整個世界都是這樣
[00:00:58.880 --> 00:01:04.960]  或者各時代都會有這些苦難、不幸發生
[00:01:04.960 --> 00:01:09.360]  你沒法子避、沒法子預測
[00:01:09.360 --> 00:01:12.960]  約伯記將它修繫範圍
[00:01:12.960 --> 00:01:20.480]  去講這些苦難、禍患發生在一個人身上
[00:01:20.480 --> 00:01:22.400]  這樣就很不一樣了
[00:01:22.400 --> 00:01:28.800]  那個感受就很不一樣了
[00:01:28.800 --> 00:01:35.920]  約伯記究竟是真正最終
[00:01:35.920 --> 00:01:44.480]  這本書最終的教導的目的、目標是什麼呢?
[00:01:44.480 --> 00:01:48.240]  最多人最直接的回答就是
[00:01:48.240 --> 00:01:53.280]  約伯記是一本講苦難的書
[00:01:53.280 --> 00:01:55.680]  如果再講得清楚一點
[00:01:55.680 --> 00:02:04.400]  就會說約伯記是一本講二人都會受苦的書
[00:02:04.400 --> 00:02:09.040]  如果我們再加些火氣下去講
[00:02:09.040 --> 00:02:14.800]  就會說約伯記是一本講神竟然容許撒旦
[00:02:14.800 --> 00:02:21.360]  去攻擊一個二人、好人、敬虔的人
[00:02:21.360 --> 00:02:25.920]  是一本這樣的書
[00:02:25.920 --> 00:02:28.320]  如果這樣講
[00:02:28.320 --> 00:02:34.480]  相信會有很多人心裡已經開始怒氣沖沖、不忿
[00:02:34.480 --> 00:02:40.240]  覺得約伯記這本書真的很難明白、很難接受
[00:02:40.240 --> 00:02:44.160]  因為很難相信一個慈愛的神
[00:02:44.160 --> 00:03:00.640]  竟然容許撒旦這麼殘忍地去攻擊、傷害一個敬虔的約伯
[00:03:00.640 --> 00:03:03.840]  如果我們講到這個地步
[00:03:03.840 --> 00:03:05.200]  或者想到這個地步
[00:03:05.200 --> 00:03:08.320]  我們就會生氣到不想再講、不想再聽
[00:03:08.320 --> 00:03:12.480]  又不想再想這本書究竟想講什麼
[00:03:12.480 --> 00:03:23.120]  我們就會錯過了這本書最終的目的是講什麼
[00:03:23.120 --> 00:03:29.920]  約伯記這本書不單是介紹約伯這個人
[00:03:29.920 --> 00:03:38.640]  也不單是讓我們看到撒旦對人的攻擊是絕不手軟的
[00:03:38.640 --> 00:03:49.200]  但是這本書最終的目的是教導我們要有深一層的悔改
[00:03:49.200 --> 00:03:53.760]  是悔改,深一層的悔改
[00:03:53.760 --> 00:03:56.080]  這是什麼意思呢?
[00:03:56.080 --> 00:04:00.400]  深一層的悔改
[00:04:00.400 --> 00:04:02.960]  反過來去解釋就是
[00:04:02.960 --> 00:04:08.240]  不要就這樣很膚淺、隨便的悔改
[00:04:08.240 --> 00:04:11.360]  我們很多時候信耶穌的時候也是這樣
[00:04:11.360 --> 00:04:15.120]  難怪因為我們初初未認識這麼深的道理
[00:04:15.120 --> 00:04:16.400]  沒有問題的
[00:04:16.400 --> 00:04:19.120]  你初初信耶穌很膚淺地信
[00:04:19.120 --> 00:04:21.280]  沒有問題的,很多人都是這樣開始的
[00:04:21.280 --> 00:04:24.880]  但是最重要的是你繼續盡心下去
[00:04:24.880 --> 00:04:26.720]  不斷反省的時候
[00:04:26.720 --> 00:04:29.520]  不斷感受神的公義和愛的時候
[00:04:29.520 --> 00:04:33.520]  你不斷會作更深的悔改
[00:04:33.520 --> 00:04:36.560]  這個就是正途
[00:04:36.560 --> 00:04:42.480]  說到這裡,為什麼要有更深層的悔改呢?
[00:04:42.480 --> 00:04:51.120]  就是說這本書是要我們知道神的智慧和祂的作為是深不可測的
[00:04:51.120 --> 00:04:56.560]  神在每一個人身上的獨特計劃是一個極大的奧秘
[00:04:56.560 --> 00:05:01.200]  是我們人無法完全明白的
[00:05:01.200 --> 00:05:08.080]  就算神解釋和我們說也好,我們也無法完全明白
[00:05:08.080 --> 00:05:17.440]  因此只是要求我們去認定神有最高的主權在我們的生命上
[00:05:17.440 --> 00:05:24.480]  要我們認識到神如果祂容許撒旦攻擊我們
[00:05:24.480 --> 00:05:27.520]  我們是不知道的,其實我們不知道撒旦是否攻擊我們
[00:05:27.520 --> 00:05:32.640]  如果神容許災難、困難發生在我們身上的時候
[00:05:32.640 --> 00:05:38.400]  我們要知道這樣神是有原因的
[00:05:38.400 --> 00:05:43.360]  所謂神有祂特別獨特的計劃
[00:05:43.360 --> 00:05:52.160]  因此叫我們放心繼續去依靠神、敬畏神
[00:05:52.160 --> 00:05:55.120]  這個就是所謂深層的信
[00:05:55.120 --> 00:06:00.640]  如果我們以往不是這樣去信耶穌的時候
[00:06:00.640 --> 00:06:07.440]  我們就需要在神面前去悔改、去認罪悔改
[00:06:07.440 --> 00:06:12.880]  為我們的膚淺來悔改
[00:06:12.880 --> 00:06:19.600]  重新校正我們對神的認識和依靠的心
[00:06:19.600 --> 00:06:28.240]  這是很多學者對《約伯基》這本書最終想教的東西
[00:06:28.240 --> 00:06:38.160]  是藉著苦難讓我們反省到我們對神的認識是膚淺還是深一層
[00:06:38.160 --> 00:06:45.120]  今天這個訊息是說無論是神賜福給我們
[00:06:45.120 --> 00:06:50.560]  抑或祂將我們所擁有的收回
[00:06:50.560 --> 00:06:58.640]  我們仍然決定信靠神、繼續依靠祂、敬畏祂
[00:06:58.640 --> 00:07:02.800]  這就是我今天想跟大家講的訊息
