
[00:00:00.000 --> 00:00:02.000]  奉主明問候,弟兄姊妹平安。
[00:00:02.000 --> 00:00:04.000]  奉主問候,弟兄姊妹平安。
[00:00:04.000 --> 00:00:07.000]  今天是母親節。
[00:00:07.000 --> 00:00:08.000]  今天是母親節。
[00:00:08.000 --> 00:00:14.000]  我們今天讀的經文是有一個很壞的媽媽。
[00:00:14.000 --> 00:00:18.000]  今天我們讀的經文裡面有一個很壞的媽媽。
[00:00:18.000 --> 00:00:20.000]  很壞的祖母。
[00:00:20.000 --> 00:00:22.000]  就是很壞的祖母。
[00:00:22.000 --> 00:00:26.000]  她搶了她的孫的王位來坐。
[00:00:26.000 --> 00:00:29.000]  她搶了孫兒的王位來坐。
[00:00:30.000 --> 00:00:34.000]  大家在母親節多數聽到有關好的媽媽。
[00:00:34.000 --> 00:00:37.000]  在母親節的時候,大家都聽到有很好的媽媽。
[00:00:37.000 --> 00:00:42.000]  我們這個聖經也都是講一個媽媽兼祖母。
[00:00:42.000 --> 00:00:45.000]  我們的聖經裡面這裡講的是一個媽媽兼祖母。
[00:00:45.000 --> 00:00:48.000]  剛剛fit into今天是母親節。
[00:00:48.000 --> 00:00:53.000]  這麼巧,正好和今天的母親節是重疊了。
[00:00:53.000 --> 00:00:56.000]  你說母親節當然講好的媽媽。
[00:00:56.000 --> 00:00:58.000]  母親節當然應該講好的媽媽。
[00:00:59.000 --> 00:01:01.000]  但是我覺得如果聖經講得這個人物的話呢?
[00:01:01.000 --> 00:01:04.000]  我覺得聖經如果能夠講這個文物的話,
[00:01:04.000 --> 00:01:05.000]  我們就要講了。
[00:01:05.000 --> 00:01:06.000]  我們就要講。
[00:01:06.000 --> 00:01:09.000]  反而我們看到一個不好的媽媽,
[00:01:09.000 --> 00:01:11.000]  我們反而可以看到一個不好的媽媽,
[00:01:11.000 --> 00:01:13.000]  一個心中沒有上帝的媽媽,
[00:01:13.000 --> 00:01:15.000]  一個心中沒有上帝的母親,
[00:01:15.000 --> 00:01:17.000]  是怎麼樣的收場?
[00:01:17.000 --> 00:01:18.000]  是一個怎麼樣的下場?
[00:01:18.000 --> 00:01:21.000]  所以各位兄弟姐妹,
[00:01:21.000 --> 00:01:25.000]  如果你在聖經裡面,你希望找到一個完全的人呢?
[00:01:25.000 --> 00:01:29.000]  如果你在聖經裡面想找到一個完全的人,你會很失望。
[00:01:29.000 --> 00:01:30.000]  你會很失望。
[00:01:30.000 --> 00:01:32.000]  因為世界上沒有一個完全的人。
[00:01:32.000 --> 00:01:34.000]  因為世界上沒有一個完全的人。
[00:01:34.000 --> 00:01:35.000]  不是我講的。
[00:01:35.000 --> 00:01:36.000]  不是我講的。
[00:01:36.000 --> 00:01:41.000]  使徒保羅說,世人都犯了罪。
[00:01:41.000 --> 00:01:42.000]  世人都犯了罪。
[00:01:42.000 --> 00:01:45.000]  虧缺了上帝的榮耀。
[00:01:45.000 --> 00:01:46.000]  虧缺了上帝的榮耀。
[00:01:46.000 --> 00:01:49.000]  這句話包括你和我在內。
[00:01:49.000 --> 00:01:51.000]  這句話包括你和我在內。
[00:01:51.000 --> 00:01:53.000]  如果世界上有一個好人的話,
[00:01:53.000 --> 00:01:55.000]  如果世界上有一個好人的話,
[00:01:55.000 --> 00:01:56.000]  耶穌不用再來。
[00:01:56.000 --> 00:01:58.000]  耶穌不用再來。
[00:01:58.000 --> 00:02:01.000]  人們經常覺得自己多好。
[00:02:01.000 --> 00:02:02.000]  人們經常覺得自己多好。
[00:02:02.000 --> 00:02:03.000]  人們經常覺得自己多好。
[00:02:03.000 --> 00:02:04.000]  人們經常覺得自己多好。
[00:02:04.000 --> 00:02:05.000]  那我多好,我就不用耶穌了。
[00:02:05.000 --> 00:02:06.000]  那我多好,我就不用耶穌了。
[00:02:06.000 --> 00:02:07.000]  那我多好,我就不用耶穌了。
[00:02:07.000 --> 00:02:08.000]  那我多好,我就不用耶穌了。
[00:02:08.000 --> 00:02:09.000]  但是我告訴你,
[00:02:09.000 --> 00:02:10.000]  但是我告訴你,
[00:02:10.000 --> 00:02:11.000]  不需要耶穌的人呢?
[00:02:11.000 --> 00:02:12.000]  不需要耶穌的人呢?
[00:02:12.000 --> 00:02:13.000]  不需要耶穌的人呢?
[00:02:13.000 --> 00:02:14.000]  去哪裡?
[00:02:14.000 --> 00:02:15.000]  去哪裡?
[00:02:15.000 --> 00:02:16.000]  將來會去哪裡?
[00:02:16.000 --> 00:02:17.000]  將來會去哪裡?
[00:02:17.000 --> 00:02:18.000]  將來會去什麼地方?
[00:02:18.000 --> 00:02:19.000]  將來會去什麼地方?
[00:02:19.000 --> 00:02:23.000]  將來會去什麼地方?
[00:02:23.000 --> 00:02:24.000]  將來會去什麼地方?
[00:02:24.000 --> 00:02:25.000]  將來會去什麼地方?
[00:02:25.000 --> 00:02:26.000]  將來會去什麼地方?
[00:02:26.000 --> 00:02:27.000]  將來會去什麼地方?
[00:02:27.000 --> 00:02:28.000]  將來會去什麼地方?
[00:02:28.000 --> 00:02:29.000]  將來會去什麼地方?
[00:02:29.000 --> 00:02:30.000]  將來會去什麼地方?
[00:02:30.000 --> 00:02:31.000]  將來會去什麼地方?
[00:02:31.000 --> 00:02:32.000]  將來會去什麼地方?
[00:02:32.000 --> 00:02:33.000]  將來會去什麼地方?
[00:02:33.000 --> 00:02:34.000]  將來會去什麼地方?
[00:02:34.000 --> 00:02:35.000]  將來會去什麼地方?
