
[00:00:00.000 --> 00:00:01.680]  各位艇姐妹早晨
[00:00:01.680 --> 00:00:05.960]  在這個疫症裏面祝願國人平安
[00:00:05.960 --> 00:00:10.980]  今日我講到的經文是在文素記
[00:00:10.980 --> 00:00:13.460]  但是今天是復活節
[00:00:13.460 --> 00:00:18.100]  我不得不講幾句關於主耶穌復活的說話
[00:00:18.100 --> 00:00:24.000]  主耶穌復活是宇宙的頭等大事
[00:00:24.000 --> 00:00:29.800]  復活節紀念的是新的世界的誕生
[00:00:30.880 --> 00:00:34.280]  祂的重要性猶如宇宙大爆炸
[00:00:34.280 --> 00:00:39.580]  大爆炸之後出現的是一個全新的世界
[00:00:39.580 --> 00:00:44.020]  主耶穌復活不只是這樣說
[00:00:44.020 --> 00:00:48.720]  就是有個人死了又復活了
[00:00:48.720 --> 00:00:54.600]  然後世界又如常地繼續運作下去
[00:00:57.240 --> 00:01:03.860]  我們有時都會聽到這種古怪新奇的新聞
[00:01:03.860 --> 00:01:10.500]  譬如有個人醫生已經斷定了他死了
[00:01:10.500 --> 00:01:16.280]  但是又過了一陣子他又忽然間復甦起來
[00:01:16.280 --> 00:01:19.840]  聽到這一類這樣的新聞
[00:01:19.840 --> 00:01:21.960]  我們都擇擇清奇
[00:01:21.960 --> 00:01:27.040]  然後就會繼續吃飯、喝酒、打麻雀
[00:01:28.240 --> 00:01:34.920]  主耶穌復活不是這種無傷大雅的新聞
[00:01:34.920 --> 00:01:38.640]  而是宇宙的頭等大事
[00:01:38.640 --> 00:01:45.360]  主耶穌的復活克服了人類最大的恐懼和敵人
[00:01:45.360 --> 00:01:46.960]  就是死亡
[00:01:46.960 --> 00:01:52.560]  死亡將人的存有化為虛無
[00:01:53.840 --> 00:01:57.400]  死亡比任何人都強大
[00:01:57.400 --> 00:01:59.600]  無論你是哪一個
[00:01:59.600 --> 00:02:02.880]  都要在死亡的面前低頭
[00:02:02.880 --> 00:02:08.800]  他嘲笑你、戲弄你、刪除你
[00:02:08.800 --> 00:02:13.840]  死亡的背後是罪的權勢
[00:02:13.840 --> 00:02:17.400]  羅馬書六章第23節這樣說
[00:02:17.400 --> 00:02:20.560]  罪的公價乃是死
[00:02:21.600 --> 00:02:26.840]  死亡是罪的後果和代價
[00:02:26.840 --> 00:02:30.960]  死亡的背後是罪的力量
[00:02:30.960 --> 00:02:34.880]  而罪的背後是魔鬼
[00:02:34.880 --> 00:02:38.480]  它是一切邪惡的總匯
[00:02:38.480 --> 00:02:45.480]  主耶穌的復活是克服了死亡、罪惡、魔鬼
[00:02:45.480 --> 00:02:50.520]  是克服了一連串取消生命的力量
[00:02:51.480 --> 00:02:54.400]  主耶穌復活的那一刻
[00:02:54.400 --> 00:02:59.000]  是神的光明驅散一切的黑暗
[00:02:59.000 --> 00:03:04.480]  猶如天地初開時那個神聖的一刻
[00:03:04.480 --> 00:03:07.880]  在那個神聖的一刻
[00:03:07.880 --> 00:03:10.840]  神說要有光
[00:03:10.840 --> 00:03:14.080]  就有了光
[00:03:14.080 --> 00:03:18.240]  然後就將黑暗驅散了
[00:03:20.040 --> 00:03:21.840]  主耶穌復活之後
[00:03:21.840 --> 00:03:25.120]  整個宇宙已經不再是一樣了
[00:03:25.120 --> 00:03:28.280]  你和我也不再一樣
[00:03:28.280 --> 00:03:33.240]  死亡、罪惡、魔鬼
[00:03:33.240 --> 00:03:36.360]  已經失去了祂們終極的力量
[00:03:36.360 --> 00:03:42.360]  祂們的鎖鏈已經被主的復活打碎了
[00:03:42.360 --> 00:03:44.360]  我們自由了
[00:03:44.360 --> 00:03:47.640]  我們是新的創造
[00:03:48.720 --> 00:03:51.440]  果林多後書第五章第十七節說
[00:03:51.440 --> 00:03:56.160]  「若有人在基督裡,他就是新造的人」
[00:03:56.160 --> 00:03:58.600]  其實也可以翻譯為
[00:03:58.600 --> 00:04:01.120]  是一個新的創造
[00:04:01.120 --> 00:04:02.640]  New Creation
[00:04:02.640 --> 00:04:07.360]  舊事已過,都變成新的了
[00:04:07.360 --> 00:04:10.480]  在復活的基督裡
