
[00:00:00.000 --> 00:00:01.480]  各位同工
[00:00:01.480 --> 00:00:06.520]  各位在網絡上收看的影子們 平安
[00:00:06.520 --> 00:00:12.000]  轉眼一月真的過得很快
[00:00:12.000 --> 00:00:15.000]  今天已經是一月多少號?
[00:00:15.000 --> 00:00:17.760]  一月三十一號了
[00:00:17.760 --> 00:00:19.160]  眨眼
[00:00:19.160 --> 00:00:22.000]  還有多少天是我們的農曆新年?
[00:00:22.000 --> 00:00:24.960]  嘩 很厲害
[00:00:24.960 --> 00:00:30.640]  王梅尼穆斯在背後已經答得很清楚
[00:00:30.640 --> 00:00:34.960]  十二日就很快又到新的一年了
[00:00:34.960 --> 00:00:38.760]  所以我們中國人
[00:00:38.760 --> 00:00:41.800]  比起其他的民族
[00:00:41.800 --> 00:00:46.160]  我們有多一次立志的機會
[00:00:46.160 --> 00:00:48.560]  所以我們在一月一號
[00:00:48.560 --> 00:00:51.560]  我們可能十二、三十一號跨年的時候
[00:00:51.560 --> 00:00:54.360]  我們有些的立志不知道還記不記得了
[00:00:54.360 --> 00:00:55.680]  不記得不要緊
[00:00:55.680 --> 00:00:59.360]  我們很快又進入另一個新年的時候
[00:00:59.360 --> 00:01:03.480]  讓我們都懷著那份盼望
[00:01:03.480 --> 00:01:06.880]  特別我們知道因為疫情
[00:01:06.880 --> 00:01:09.160]  今年我都在考慮
[00:01:09.160 --> 00:01:10.680]  需不需要買那些全盒呢?
[00:01:10.680 --> 00:01:12.880]  大家有沒有買那些全盒?
[00:01:12.880 --> 00:01:14.480]  即是我們都要拜年
[00:01:14.480 --> 00:01:15.960]  所以現在好像說網上
[00:01:15.960 --> 00:01:19.080]  不如網上給利是
[00:01:19.080 --> 00:01:21.280]  不知道會不會網上送全盒
[00:01:21.280 --> 00:01:24.080]  我最近都在猶豫
[00:01:24.080 --> 00:01:27.680]  當然是又不要太多的聚集
[00:01:27.680 --> 00:01:30.680]  所以真是求主幫助我們
[00:01:30.680 --> 00:01:35.680]  但願這個疫情能夠快點過去
[00:01:35.680 --> 00:01:38.280]  讓我們能夠可以在實體之中
[00:01:38.280 --> 00:01:40.080]  我們一起來敬拜
[00:01:40.080 --> 00:01:43.080]  一起來侍奉
[00:01:43.080 --> 00:01:49.080]  我們同心祈禱
