
[00:00:00.000 --> 00:00:02.640]  我不知道如果你在街上
[00:00:02.640 --> 00:00:05.200]  突然間你聽見後面有人跟你說
[00:00:05.200 --> 00:00:08.120]  叫你全名
[00:00:08.120 --> 00:00:09.920]  我覺得有點俗俗的
[00:00:09.920 --> 00:00:10.920]  (笑)
[00:00:10.920 --> 00:00:13.560]  就是後面聽見林威臻
[00:00:13.560 --> 00:00:14.200]  嘩
[00:00:14.200 --> 00:00:16.320]  是誰叫我這麼有膽量
[00:00:16.320 --> 00:00:17.320]  當然不是
[00:00:17.320 --> 00:00:19.280]  因為在我們中學的階段
[00:00:19.280 --> 00:00:23.480]  通常我們叫同學互相稱呼都是全名的
[00:00:23.480 --> 00:00:25.680]  姓名一起說的
[00:00:25.680 --> 00:00:29.440]  老師點名也是姓名全名
[00:00:29.440 --> 00:00:32.240]  響了我們的名字
[00:00:32.240 --> 00:00:34.760]  我們大概知道這個人
[00:00:34.760 --> 00:00:39.160]  一定是在某個階段認識我們的時候
[00:00:39.160 --> 00:00:42.840]  才會這樣稱呼我們
[00:00:42.840 --> 00:00:50.320]  我在十多歲的時候
[00:00:50.320 --> 00:00:52.920]  我第一個外甥女出生的時候
[00:00:52.920 --> 00:00:55.080]  當時我都沒有一個英文名字
[00:00:55.080 --> 00:00:57.040]  一直很想找一個好的英文名字
[00:00:57.040 --> 00:01:00.200]  當時我姊姊生了嬰兒
[00:01:00.200 --> 00:01:04.480]  在母嬰健康院拿了一本照顧小朋友的手冊
[00:01:04.480 --> 00:01:06.000]  我在那裏翻看
[00:01:06.000 --> 00:01:10.280]  原來有男生名字和女生名字
[00:01:10.280 --> 00:01:10.880]  英文名字
[00:01:10.880 --> 00:01:12.200]  所以我在那裏找找
[00:01:12.200 --> 00:01:14.200]  找一個適合的名字
[00:01:14.200 --> 00:01:16.360]  為自己選一個英文名字
[00:01:16.360 --> 00:01:18.840]  我選了一個意思非常之好
[00:01:18.840 --> 00:01:21.920]  就是Healed by God
[00:01:21.920 --> 00:01:23.720]  給神所醫治的
[00:01:23.720 --> 00:01:26.360]  但是那個英文名字我不懂得讀
[00:01:26.360 --> 00:01:29.920]  勉勉強強用自己當時認識的拼音
[00:01:29.920 --> 00:01:32.720]  拼著拼著就變成了Refuel
[00:01:32.720 --> 00:01:36.320]  自此之後我就稱自己為Refuel
[00:01:36.320 --> 00:01:39.120]  到我在一個教育機構侍奉的時候
[00:01:39.120 --> 00:01:40.320]  我都是這樣介紹自己
[00:01:40.320 --> 00:01:43.640]  所以如果在街上有人叫我Refuel
[00:01:43.640 --> 00:01:46.800]  我知道他大概就是在那些年間
[00:01:46.800 --> 00:01:51.120]  八九年的時候認識我的人
[00:01:51.120 --> 00:01:53.480]  他就是用這個名稱稱呼我
[00:01:53.480 --> 00:01:55.280]  但是後來當我讀多一點書
[00:01:55.280 --> 00:02:00.200]  發覺原來這個名字應該讀Rafael
[00:02:00.200 --> 00:02:03.160]  非常之非常之法國
[00:02:03.160 --> 00:02:04.640]  我以為是法文
[00:02:04.640 --> 00:02:06.480]  但是讀完書之後
[00:02:06.480 --> 00:02:08.320]  老師說這個不是法文名字
[00:02:08.320 --> 00:02:10.440]  這個是希伯來名
[00:02:10.440 --> 00:02:11.720]  希伯來名這麼好
[00:02:11.720 --> 00:02:12.800]  我相信耶穌
[00:02:12.800 --> 00:02:13.640]  實在是的
[00:02:13.640 --> 00:02:15.120]  因為我選的時候
[00:02:15.120 --> 00:02:17.840]  都是一個很有特別的意思
[00:02:17.840 --> 00:02:19.880]  是給神所醫治的一個意思
[00:02:19.880 --> 00:02:21.400]  我才選這個名字
[00:02:21.400 --> 00:02:24.920]  後來發覺原來這個字是希伯來文
[00:02:24.920 --> 00:02:26.200]  有兩個部份
[00:02:26.200 --> 00:02:27.760]  Rafa
[00:02:27.760 --> 00:02:30.400]  Rafa就是醫治的意思
[00:02:30.400 --> 00:02:32.840]  El就是神的意思
[00:02:32.840 --> 00:02:35.280]  所以合起來就是神所醫治
[00:02:35.280 --> 00:02:38.400]  原來是讀一個這麼難讀的名字
[00:02:38.400 --> 00:02:40.280]  所以經過一段時間
[00:02:40.280 --> 00:02:44.480]  我就很巧合地終於讀到了
[00:02:44.480 --> 00:02:47.280]  所以自此之後
[00:02:47.280 --> 00:02:49.760]  頂姐妹我介紹自己的英文名的時候
[00:02:49.760 --> 00:02:50.560]  其實不是英文名
[00:02:50.560 --> 00:02:54.320]  我的希伯來名叫Rafael
[00:02:54.320 --> 00:02:57.400]  每個名字背後都有一個重要的意義
[00:02:57.400 --> 00:02:58.600]  當我們讀聖經的時候
[00:02:58.600 --> 00:03:00.640]  我們都發覺原來
[00:03:00.640 --> 00:03:03.280]  當以色列人或者信耶穌的人
[00:03:03.280 --> 00:03:07.000]  他們經歷跟上帝的一些相遇當中
[00:03:07.000 --> 00:03:10.160]  他們會明白上帝某些屬性
[00:03:10.160 --> 00:03:12.440]  他們知道神是怎麼樣的
[00:03:12.440 --> 00:03:14.360]  就在那個處境當中
[00:03:14.360 --> 00:03:15.960]  在那個經驗之下
