
[00:00:00.000 --> 00:00:04.000]  我的題目就是「門徒退而不休的生活」
[00:00:04.000 --> 00:00:06.000]  我為什麼要退休呢?
[00:00:06.000 --> 00:00:08.000]  或者進一步說
[00:00:08.000 --> 00:00:11.000]  為什麼人是要有退休?
[00:00:11.000 --> 00:00:14.000]  就是我今天想和大家分享的
[00:00:14.000 --> 00:00:17.000]  我們先來看兩段經文
[00:00:17.000 --> 00:00:21.000]  一段經文是在全道書的第三章
[00:00:21.000 --> 00:00:28.000]  另外一段經文是在文數記的第八章
[00:00:28.000 --> 00:00:36.000]  我想請弟兄為我們讀全道書這一段
[00:00:58.000 --> 00:01:01.000]  天地大同始始終為各位
[00:01:01.000 --> 00:01:03.000]  人不可參透
[00:01:03.000 --> 00:01:05.000]  生命是一個歷程
[00:01:05.000 --> 00:01:08.000]  歷程的意思就是有不同的階段
[00:01:08.000 --> 00:01:10.000]  心理學家有人說
[00:01:10.000 --> 00:01:13.000]  分人生有八個重要的階段
[00:01:13.000 --> 00:01:14.000]  不同的階段
[00:01:14.000 --> 00:01:16.000]  每個階段裏面
[00:01:16.000 --> 00:01:18.000]  我們的身心靈
[00:01:18.000 --> 00:01:21.000]  是有些東西需要學習發展到
[00:01:21.000 --> 00:01:23.000]  在每個階段裏面
[00:01:23.000 --> 00:01:27.000]  有些東西我們是要成就到
[00:01:27.000 --> 00:01:29.000]  假如你年輕的時候
[00:01:29.000 --> 00:01:31.000]  失去了光陰
[00:01:31.000 --> 00:01:33.000]  在你年長的時候
[00:01:33.000 --> 00:01:35.000]  你就很想去保屬
[00:01:35.000 --> 00:01:39.000]  或者去替代
[00:01:39.000 --> 00:01:44.000]  所以萬物各按其時成為美好
[00:01:44.000 --> 00:01:47.000]  工作有時退休有時
[00:01:47.000 --> 00:01:50.000]  就職有時離任有時
[00:01:50.000 --> 00:01:53.000]  這都是我們一種寫照
[00:01:53.000 --> 00:01:56.000]  聖經裏面有沒有說到退休呢?
[00:01:56.000 --> 00:01:57.000]  比較少
[00:01:57.000 --> 00:01:58.000]  沒有直接
[00:01:58.000 --> 00:02:00.000]  不過我發現有一段經文
[00:02:00.000 --> 00:02:02.000]  都相當相似
[00:02:02.000 --> 00:02:04.000]  就是文素記
[00:02:04.000 --> 00:02:10.000]  請姐妹讀第八章
[00:02:27.000 --> 00:02:30.000]  我貪婪的弟兄一同自求
[00:02:30.000 --> 00:02:33.000]  謹守所困苦的不再貪私了
[00:02:33.000 --> 00:02:36.000]  見之所困苦的利未人的
[00:02:36.000 --> 00:02:39.000]  理不理讓向貪婪行
[00:02:39.000 --> 00:02:41.000]  我上學院畢業的時候是25歲
[00:02:41.000 --> 00:02:46.000]  所以25歲我就按著利未人的規矩
[00:02:46.000 --> 00:02:49.000]  就在聖所裏面來任職
[00:02:49.000 --> 00:02:52.000]  不過我就沒有跟足
[00:02:52.000 --> 00:02:55.000]  應該50歲就停工
[00:02:55.000 --> 00:02:57.000]  做義工來幫手
[00:02:57.000 --> 00:03:01.000]  我做多了15年
[00:03:01.000 --> 00:03:05.000]  原來以前50歲
[00:03:05.000 --> 00:03:08.000]  特別做聖工就是退休年齡
[00:03:08.000 --> 00:03:11.000]  其實不單止做聖工
[00:03:11.000 --> 00:03:14.000]  我發現以前很早退休
[00:03:14.000 --> 00:03:16.000]  我都說過
[00:03:16.000 --> 00:03:19.000]  很多時候登報紙看到
[00:03:19.000 --> 00:03:24.000]  一老翁過馬路被高空墮物擊中
[00:03:24.000 --> 00:03:28.000]  原來那老翁是50歲長者
[00:03:28.000 --> 00:03:30.000]  50歲就是長者
[00:03:30.000 --> 00:03:33.000]  我們是長長者
[00:03:33.000 --> 00:03:37.000]  以前的人壽命時間比較短
[00:03:37.000 --> 00:03:41.000]  環境沒有今天那麼安舒
[00:03:41.000 --> 00:03:44.000]  飲食沒有今天那麼均衡健康
[00:03:44.000 --> 00:03:46.000]  醫療又不先進
[00:03:46.000 --> 00:03:48.000]  科技不發達
[00:03:48.000 --> 00:03:54.000]  但是今天很長壽
[00:03:54.000 --> 00:03:57.000]  香港是去年的統計
[00:03:57.000 --> 00:04:00.000]  我記得已經超越了日本
[00:04:00.000 --> 00:04:02.000]  無論男性女性
[00:04:02.000 --> 00:04:07.000]  都成為全世界人壽最高的地方
[00:04:07.000 --> 00:04:10.000]  平均都80多歲
[00:04:10.000 --> 00:04:13.000]  為什麼人要退休呢
[00:04:13.000 --> 00:04:15.000]  退休制度的形成
[00:04:15.000 --> 00:04:19.000]  我相信有四方面的原因
[00:04:19.000 --> 00:04:22.000]  如果加上基督徒的觀點
[00:04:22.000 --> 00:04:24.000]  是有五方面的因素
[00:04:24.000 --> 00:04:26.000]  第一生理上
[00:04:26.000 --> 00:04:28.000]  無論你承不承認
[00:04:28.000 --> 00:04:30.000]  人活到某一個年紀
[00:04:30.000 --> 00:04:32.000]  健康就會轉弱
[00:04:32.000 --> 00:04:35.000]  體力就會消退
[00:04:35.000 --> 00:04:38.000]  有些人發訊息給我說
[00:04:38.000 --> 00:04:41.000]  牧師是聯合國認為65歲就是年青
[00:04:41.000 --> 00:04:44.000]  他騙你的
[00:04:44.000 --> 00:04:47.000]  他想安慰你
[00:04:47.000 --> 00:04:49.000]  他想你繼續做
[00:04:49.000 --> 00:04:50.000]  為什麼呢
[00:04:50.000 --> 00:04:53.000]  全世界很多國家
[00:04:53.000 --> 00:04:55.000]  都在經濟不景底下
[00:04:55.000 --> 00:05:00.000]  不足以支付退休金
[00:05:00.000 --> 00:05:03.000]  希臘破產就是這樣
[00:05:03.000 --> 00:05:05.000]  希臘有很多人口仍然
[00:05:05.000 --> 00:05:07.000]  靠政府給他的養老金
[00:05:07.000 --> 00:05:10.000]  甚至日本說最好長者
[00:05:10.000 --> 00:05:14.000]  快點睡覺就去
[00:05:14.000 --> 00:05:17.000]  日本政府不用這麼重負擔
[00:05:17.000 --> 00:05:20.000]  而美國都不是65歲
[00:05:20.000 --> 00:05:22.000]  鼓勵你去到67歲
[00:05:22.000 --> 00:05:25.000]  68歲甚至70歲退休
[00:05:25.000 --> 00:05:26.000]  為什麼
[00:05:26.000 --> 00:05:28.000]  因為他的社會安全
[00:05:28.000 --> 00:05:31.000]  已經虧到不知剩下多少
[00:05:31.000 --> 00:05:32.000]  你班人退休
[00:05:32.000 --> 00:05:35.000]  我哪有錢給你們呢
[00:05:35.000 --> 00:05:37.000]  所以呢
[00:05:37.000 --> 00:05:39.000]  在生理上
[00:05:39.000 --> 00:05:40.000]  很有趣的
[00:05:40.000 --> 00:05:42.000]  到了某個時間
[00:05:42.000 --> 00:05:44.000]  我現在的右眼
[00:05:44.000 --> 00:05:48.000]  有很多狂風浪蝶在我面前飛
[00:05:48.000 --> 00:05:50.000]  所以我望你們
[00:05:50.000 --> 00:05:53.000]  有很多東西在我面前干擾著
[00:05:53.000 --> 00:05:56.000]  我其中的左耳
[00:05:56.000 --> 00:06:00.000]  在最嘈吵的地方都聽到蟬聲
[00:06:00.000 --> 00:06:02.000]  所以我很近大自然
[00:06:02.000 --> 00:06:04.000]  又看到狂風浪蝶
[00:06:04.000 --> 00:06:08.000]  又聽到蟬鳴
[00:06:08.000 --> 00:06:10.000]  聲帶有問題
[00:06:10.000 --> 00:06:11.000]  鼻子有問題
[00:06:11.000 --> 00:06:13.000]  由頭殼頂到腳板底
[00:06:13.000 --> 00:06:16.000]  就幾乎沒有一次完整
[00:06:16.000 --> 00:06:18.000]  我想想如果我不
[00:06:18.000 --> 00:06:20.000]  趁播道會
[00:06:20.000 --> 00:06:22.000]  給那些人
[00:06:22.000 --> 00:06:25.000]  能夠出走的一個機會
[00:06:25.000 --> 00:06:28.000]  65歲有機會申請退休
[00:06:28.000 --> 00:06:30.000]  去重整一下我整個人的生活
[00:06:30.000 --> 00:06:32.000]  沉澱一下
[00:06:32.000 --> 00:06:35.000]  我要走的時間
[00:06:35.000 --> 00:06:37.000]  不會這麼多
[00:06:37.000 --> 00:06:40.000]  很多人說越早退休
[00:06:40.000 --> 00:06:43.000]  包括65歲以前
[00:06:43.000 --> 00:06:45.000]  和60歲以前
[00:06:45.000 --> 00:06:47.000]  比你遲退休
[00:06:47.000 --> 00:06:49.000]  活得長久一點
[00:06:49.000 --> 00:06:52.000]  是一個醫學上的統計
[00:06:52.000 --> 00:06:57.000]  我今年年初已經拿了獎勵卡
[00:06:57.000 --> 00:07:02.000]  八達通經常收完兩元
[00:07:02.000 --> 00:07:05.000]  就被人查身份證
[00:07:05.000 --> 00:07:07.000]  我拿了獎勵卡
[00:07:07.000 --> 00:07:09.000]  還有兩件事
[00:07:09.000 --> 00:07:11.000]  你沒辦法不認老
[00:07:11.000 --> 00:07:13.000]  有一次我坐火車
[00:07:13.000 --> 00:07:16.000]  竟然有兩個國內同胞
[00:07:16.000 --> 00:07:19.000]  相繼讓位給我
[00:07:19.000 --> 00:07:21.000]  國內同胞
[00:07:21.000 --> 00:07:23.000]  見到我
[00:07:23.000 --> 00:07:25.000]  都起身坐
[00:07:25.000 --> 00:07:26.000]  一笑一驚
[00:07:26.000 --> 00:07:28.000]  是不是真的這麼老這麼慘
[00:07:28.000 --> 00:07:31.000]  你沒辦法不承認自己是老
[00:07:31.000 --> 00:07:33.000]  還有一次很特別的經歷
[00:07:33.000 --> 00:07:35.000]  是很多年前
