
[00:00:00.000 --> 00:00:03.980]  很高興今天可以和大家分享上帝的話語
[00:00:03.980 --> 00:00:08.320]  在這幾個星期我們一直在討論家庭的事情
[00:00:08.320 --> 00:00:09.820]  要重視家庭
[00:00:09.820 --> 00:00:13.380]  無論之前的分享
[00:00:13.380 --> 00:00:16.240]  見到阿藍 Ivan 他們都在討論如何重視家庭
[00:00:16.240 --> 00:00:20.980]  我覺得當然有很多東西我們可以學習
[00:00:20.980 --> 00:00:23.360]  在今天我們一起思想上帝的話語之前
[00:00:23.360 --> 00:00:27.440]  我想從一個問題開始今天的思想
[00:00:27.440 --> 00:00:31.480]  我們是如何去愛惜自己的家庭呢?
[00:00:31.480 --> 00:00:34.540]  我們是如何去愛自己的家庭呢?
[00:00:34.540 --> 00:00:37.620]  我想我們每個人都有自己一套的做法
[00:00:37.620 --> 00:00:40.340]  可能我們是用時間去陪伴
[00:00:40.340 --> 00:00:43.100]  可能是吃飯或者去旅行
[00:00:43.100 --> 00:00:45.920]  又或者有人說服侍他們
[00:00:45.920 --> 00:00:48.420]  可能在家中有人有特別的需要
[00:00:48.420 --> 00:00:49.920]  我們去服侍他
[00:00:49.920 --> 00:00:52.660]  又或者可能說賺錢給家用
[00:00:52.660 --> 00:00:55.940]  也是其中一個愛惜自己家庭的方法
[00:00:55.940 --> 00:00:59.900]  我想我們每個人都有自己愛家庭的做法
[00:00:59.900 --> 00:01:04.260]  但我們有沒有去評估一下自己愛家庭的方法
[00:01:04.260 --> 00:01:07.540]  是不是一種好的方法呢?
[00:01:07.540 --> 00:01:09.540]  我們有沒有去想過
[00:01:09.540 --> 00:01:11.920]  其實我今天這樣去愛家庭
[00:01:11.920 --> 00:01:14.940]  我們的家人是不是一件好的事呢?
[00:01:14.940 --> 00:01:18.900]  我們是不是正在為家庭帶來幸福
[00:01:18.900 --> 00:01:22.180]  還是我們正在產生問題
[00:01:22.180 --> 00:01:26.520]  甚至我們自己也不願意留在家庭當中呢?
[00:01:26.520 --> 00:01:31.220]  今天我想和大家一起去看一位聖經人物
[00:01:31.220 --> 00:01:35.620]  他的名字叫撒萊
[00:01:35.620 --> 00:01:39.860]  其中他所做的一件事是我一直都覺得難以理解的
[00:01:39.860 --> 00:01:48.960]  我們一起去看《創世紀》十六章一到三節
[00:01:48.960 --> 00:01:51.700]  我們一起來讀一二三
[00:01:51.700 --> 00:01:56.620]  「阿伯蘭的妻子撒萊不給他生兒女
[00:01:56.620 --> 00:02:02.460]  撒萊有一個侍女名叫夏甲是埃及人
[00:02:02.460 --> 00:02:05.080]  撒萊對阿伯蘭說
[00:02:05.080 --> 00:02:08.020]  耶和華使我不能生育
[00:02:08.020 --> 00:02:11.460]  求你和我的侍女同房
[00:02:11.460 --> 00:02:15.260]  或者我可以因她得孩子
[00:02:15.260 --> 00:02:18.540]  阿伯蘭聽從了撒萊的話
[00:02:18.540 --> 00:02:27.440]  於是阿伯蘭的妻子撒萊將侍女埃及人夏甲給了丈夫遺妾
[00:02:27.440 --> 00:02:32.520]  那時阿伯蘭在迦南已經住了十年」
[00:02:32.520 --> 00:02:34.720]  好 我們讀到這裡
[00:02:34.720 --> 00:02:35.980]  我翻查自己的記錄
[00:02:35.980 --> 00:02:39.820]  原來大概三年之前我都曾經說過這段經文
[00:02:39.820 --> 00:02:41.920]  不過就算我今天再看這段經文
[00:02:41.920 --> 00:02:44.420]  或者可能大部分人讀這段經文
[00:02:44.420 --> 00:02:47.560]  都會覺得撒萊有些匪夷所思
[00:02:47.560 --> 00:02:54.540]  好端端的妻子為何要替自己的丈夫找第三個
[00:02:54.540 --> 00:02:57.500]  這個女人一定是瘋的
[00:02:57.500 --> 00:03:02.740]  但如果我跟大家說這是出於愛呢?
[00:03:02.740 --> 00:03:04.740]  我們在進入思想之前
[00:03:04.740 --> 00:03:07.840]  讓我們一同再一次祈禱
[00:03:07.840 --> 00:03:11.620]  七位天父感謝你我們今天可以一起思想上的懷疑的時間
[00:03:11.620 --> 00:03:16.720]  特別我們今天會去思想有關撒萊的這個人物
[00:03:16.720 --> 00:03:19.460]  求主能夠幫助我們從中得到教訓
[00:03:19.460 --> 00:03:24.200]  讓我們更好的思想再次反省我們今天所做的一切
[00:03:24.200 --> 00:03:28.560]  使我們更懂得如何去祝福我們自己的家
[00:03:28.560 --> 00:03:30.600]  願主大靈奉主一生成名祈求
[00:03:30.600 --> 00:03:31.500]  Amen
[00:03:31.500 --> 00:03:34.500]  好 今天我們會特別研究撒萊這個人物
