
[00:00:00.000 --> 00:00:02.000]  戴燕姐妹早晨
[00:00:02.000 --> 00:00:07.000]  又跟大家一起去思想神的華語
[00:00:07.000 --> 00:00:12.000]  大家看到今天的題目叫做「主耶穌升天」
[00:00:12.000 --> 00:00:14.000]  它留下了什麼
[00:00:14.000 --> 00:00:16.000]  大家都已經猜到
[00:00:16.000 --> 00:00:20.000]  應該是最近是升天節了
[00:00:20.000 --> 00:00:21.000]  是不是?
[00:00:21.000 --> 00:00:24.000]  但是很多時候我們都不留意
[00:00:24.000 --> 00:00:26.000]  請問升天節是哪一天?
[00:00:31.000 --> 00:00:34.000]  每年的升天節都不一樣
[00:00:34.000 --> 00:00:40.000]  但是你可以從復活節開始計算
[00:00:40.000 --> 00:00:44.000]  四十天升天
[00:00:44.000 --> 00:00:50.000]  所以應該是剛剛過去的星期四
[00:00:50.000 --> 00:00:52.000]  所以我都說很多時候
[00:00:52.000 --> 00:00:56.000]  每年我們都會記得聖誕節是哪一天
[00:00:56.000 --> 00:00:58.000]  復活節是哪一天
[00:00:58.000 --> 00:01:00.000]  聖誕節是哪一天
[00:01:00.000 --> 00:01:03.000]  但是偏偏就會忘記了
[00:01:03.000 --> 00:01:05.000]  耶穌升天節是哪一天
[00:01:05.000 --> 00:01:08.000]  因為我們很多時候沒有去留意
[00:01:08.000 --> 00:01:11.000]  沒有刻意的去留意
[00:01:11.000 --> 00:01:14.000]  但是其他的節期
[00:01:14.000 --> 00:01:16.000]  難道我們就留意到嗎?
[00:01:16.000 --> 00:01:17.000]  其實都不是的
[00:01:17.000 --> 00:01:20.000]  是因為有假期
[00:01:20.000 --> 00:01:24.000]  所以我記得有一位牧師說
[00:01:24.000 --> 00:01:28.000]  我們要很感謝耶穌
[00:01:28.000 --> 00:01:33.000]  因為每年都因為祂的緣故給我們很多假期
[00:01:33.000 --> 00:01:36.000]  尤其大家最歡迎的就是復活節
[00:01:36.000 --> 00:01:38.000]  因為有長假期
[00:01:38.000 --> 00:01:41.000]  聖誕節也放假
