
[00:00:00.000 --> 00:00:03.420]  「神應許」的祝福是今天的講題
[00:00:03.420 --> 00:00:07.680]  大家都聽過
[00:00:07.680 --> 00:00:11.720]  「身在福中,不知福」
[00:00:11.720 --> 00:00:14.060]  這句話
[00:00:14.060 --> 00:00:18.000]  或者會提出一個問題
[00:00:18.000 --> 00:00:25.020]  阿巴拉罕
[00:00:27.060 --> 00:00:34.080]  這個問題是,誰在過去的日子賜福給你?
[00:00:34.080 --> 00:00:38.280]  誰在過去的日子賜福給你?
[00:00:38.280 --> 00:00:44.300]  阿巴拉罕知道神賜福給他
[00:00:44.300 --> 00:00:50.480]  使得萬國因他得福
[00:00:50.480 --> 00:00:54.280]  而且已經實現了
[00:00:57.780 --> 00:01:01.380]  雖然我們現在沒有牧者
[00:01:01.380 --> 00:01:06.460]  很多會有遇到困難和疾病
[00:01:06.460 --> 00:01:12.640]  但是神仍舊會祝福我們
[00:01:12.640 --> 00:01:17.980]  期望今天的訊息
[00:01:17.980 --> 00:01:22.620]  使得各位知道原因是甚麼
[00:01:25.380 --> 00:01:27.320]  請大家低頭祈禱
[00:01:27.320 --> 00:01:32.180]  求聖靈開我們的眼睛
[00:01:32.180 --> 00:01:38.000]  讓我們的心的眼睛能夠見到我們眼所看到的
[00:01:38.000 --> 00:01:39.980]  我們聽到之後
[00:01:39.980 --> 00:01:44.260]  我們能夠有一個新的盼望
[00:01:44.260 --> 00:01:46.640]  有一個新的生命
[00:01:46.640 --> 00:01:47.940]  奉主耶穌的名
[00:01:47.940 --> 00:01:49.060]  阿們
[00:01:49.060 --> 00:01:54.560]  剛才讀的經文
[00:01:54.560 --> 00:01:57.500]  是記載在第一世紀
[00:01:57.500 --> 00:02:03.060]  信徒和教會過著一個愛人、愛神的生活
[00:02:03.060 --> 00:02:06.600]  他們得到神的祝福
[00:02:06.600 --> 00:02:11.680]  剛才讀的是一個翻譯
[00:02:11.680 --> 00:02:15.340]  我現在是用另外一個翻譯
[00:02:15.340 --> 00:02:17.340]  比較容易一些
[00:02:17.340 --> 00:02:21.020]  近代的人比較容易理解
[00:02:22.700 --> 00:02:24.660]  在五句裡面
[00:02:24.660 --> 00:02:31.940]  我們可以找到今天訊息的三個方面的內容
[00:02:31.940 --> 00:02:39.260]  遵守使徒和使徒的教訓
[00:02:39.260 --> 00:02:41.740]  彼此相通
[00:02:41.740 --> 00:02:47.340]  其他各個版本是交接
[00:02:47.340 --> 00:02:51.140]  這個版本是相通
[00:02:51.140 --> 00:03:00.220]  我就用「相通」來作為我們彼此溝通、彼此交通
[00:03:00.220 --> 00:03:03.540]  這是第一方面
[00:03:03.540 --> 00:03:08.940]  信徒生活的表現
[00:03:08.940 --> 00:03:15.740]  天天在殿裡敬拜真神
[00:03:15.740 --> 00:03:20.300]  供給眾人的需要
[00:03:20.300 --> 00:03:23.860]  這是第二方面
[00:03:23.860 --> 00:03:28.540]  是教會生活的表現
[00:03:28.540 --> 00:03:37.220]  主張得救的人天天加給他們
[00:03:37.220 --> 00:03:41.020]  這是第三方面
[00:03:41.020 --> 00:03:45.740]  神應許的實現
[00:03:49.620 --> 00:03:52.020]  神應許的實現
[00:03:52.020 --> 00:03:58.340]  這是任何教會和群體都努力想達到的願望
[00:03:58.340 --> 00:04:03.020]  第一方面
[00:04:03.020 --> 00:04:07.420]  信徒生活有兩個重點
[00:04:07.420 --> 00:04:10.620]  第一個
[00:04:10.620 --> 00:04:14.220]  遵守神的教訓
[00:04:14.220 --> 00:04:20.220]  第二個 彼此相通
[00:04:20.220 --> 00:04:24.980]  過團契的生活
[00:04:24.980 --> 00:04:30.220]  彼此相通是過團契的生活
[00:04:30.220 --> 00:04:34.820]  第一個重點
[00:04:34.820 --> 00:04:37.180]  遵守教訓
[00:04:37.180 --> 00:04:39.300]  信徒行心
[00:04:39.300 --> 00:04:42.580]  遵守使徒的教訓
[00:04:42.580 --> 00:04:49.380]  使徒的教訓是從主耶穌領受的
[00:04:49.380 --> 00:04:51.860]  主耶穌講給他們的真理
[00:04:51.860 --> 00:04:54.300]  他們在那裡領受
[00:04:54.300 --> 00:04:57.380]  聖靈賜給使徒
[00:04:57.380 --> 00:04:58.420]  自慰
[00:04:58.420 --> 00:05:04.660]  了解如何講清楚給那些信徒
[00:05:04.660 --> 00:05:14.100]  如何可以行走在永生的路上
[00:05:14.100 --> 00:05:16.380]  耶穌說我就是道路
[00:05:16.380 --> 00:05:18.340]  真理生命
[00:05:18.340 --> 00:05:20.900]  若不藉著我
[00:05:20.900 --> 00:05:25.900]  沒有人能到乎那裡去
[00:05:30.340 --> 00:05:35.980]  經威耶和華是知識的開端
[00:05:35.980 --> 00:05:37.540]  如網人
[00:05:37.540 --> 00:05:43.620]  藐視智慧和憤悔
[00:05:43.620 --> 00:05:48.740]  這是以色列王所羅門寫的《真言》
[00:05:48.740 --> 00:05:51.420]  用今天的說法
[00:05:51.420 --> 00:05:59.300]  智慧就是使人了解如何得到智慧
[00:05:59.300 --> 00:06:06.100]  去遵守主耶穌的教導和明白
[00:06:06.100 --> 00:06:13.380]  主耶穌所講的真理
[00:06:13.380 --> 00:06:19.180]  現代人是這樣解釋智慧
[00:06:19.180 --> 00:06:27.500]  他說智慧就是了解充滿哲學理論的言語
[00:06:27.500 --> 00:06:34.340]  使人領受精明智慧
[00:06:34.340 --> 00:06:39.380]  他又用智慧的教訓
[00:06:39.380 --> 00:06:43.660]  可以增長學問
[00:06:43.660 --> 00:06:52.300]  使漁網的人變得精明
[00:06:52.300 --> 00:06:59.220]  使少年人獲得知識和計謀
[00:06:59.220 --> 00:07:01.300]  記住
[00:07:01.300 --> 00:07:13.340]  現代人翻譯為使漁網的人變得精明
[00:07:13.340 --> 00:07:19.020]  古代波斯對智慧和漁網
[00:07:19.020 --> 00:07:24.500]  有這樣的說法
[00:07:24.500 --> 00:07:28.100]  「小心聽,小心看」
[00:07:28.100 --> 00:07:33.860]  非常有智慧的幾句話
[00:07:33.860 --> 00:07:39.940]  波斯人這樣說
[00:07:39.940 --> 00:07:47.300]  「他不知道,不知道他不知道」
[00:07:47.300 --> 00:07:54.700]  是漁網人避開他
[00:07:54.700 --> 00:08:00.580]  「他不知道,但知道他不知道」
[00:08:00.580 --> 00:08:07.380]  是小孩子教導他
