
[00:00:00.000 --> 00:00:04.060]  今天 我們要講菲律賓書的第四章
[00:00:04.060 --> 00:00:10.660]  就是保羅他對當時菲律賓的教會
[00:00:10.660 --> 00:00:15.120]  要講最後一番的說話
[00:00:15.120 --> 00:00:20.720]  而當時菲律賓教會的信徒
[00:00:20.720 --> 00:00:24.220]  所面對的環境
[00:00:24.220 --> 00:00:28.140]  或者當保羅他去寫這封信的時候
[00:00:28.140 --> 00:00:30.420]  大多數的解經家告訴我們
[00:00:30.420 --> 00:00:35.840]  保羅是在羅馬被囚在監牢被困在困所的當中
[00:00:35.840 --> 00:00:42.060]  在面對有很多的政權對基督徒的一些迫害
[00:00:42.060 --> 00:00:46.180]  要在教會里面做一個信徒有很多的困難
[00:00:46.180 --> 00:00:49.380]  甚至生命受到威脅
[00:00:49.380 --> 00:00:52.660]  在這樣的情況裏面
[00:00:52.660 --> 00:00:58.020]  保羅他又怎樣去勉勵菲律賓的信徒呢
[00:00:58.500 --> 00:01:01.340]  並不是叫他們要小心一點
[00:01:01.340 --> 00:01:05.500]  你要謹慎一點
[00:01:05.500 --> 00:01:07.880]  不要被人抓 不要被人捉
[00:01:07.880 --> 00:01:11.780]  保羅是用了另外一個的態度
[00:01:11.780 --> 00:01:15.980]  那個態度就是我們要用一個喜樂的心
[00:01:15.980 --> 00:01:19.780]  來去緊緊的去跟隨我們的神
[00:01:19.780 --> 00:01:26.220]  菲律賓書是講了很多喜樂的信息
[00:01:26.220 --> 00:01:29.540]  到了第四章結尾的時候
[00:01:29.540 --> 00:01:34.300]  保羅他就提出了有幾方面的勸勉
[00:01:34.300 --> 00:01:37.860]  勸勉當時的菲律賓教會的信徒
[00:01:37.860 --> 00:01:39.220]  我們只是用了
[00:01:39.220 --> 00:01:43.500]  我只是有時間和大家去看第四節至第七節
[00:01:43.500 --> 00:01:47.540]  一段我們比較都是很熟悉的經文
[00:01:47.540 --> 00:01:50.140]  在這幾節的聖經裏面
[00:01:50.140 --> 00:01:53.540]  保羅對當時菲律賓教會的信徒
[00:01:53.540 --> 00:02:00.180]  對當時菲律賓教會的信徒有三個勸勉
[00:02:00.180 --> 00:02:01.700]  這三個勸勉就是
[00:02:01.700 --> 00:02:06.180]  第一 要喜樂
[00:02:06.180 --> 00:02:11.340]  第二 要放心
[00:02:11.340 --> 00:02:16.180]  第三 要教堂
[00:02:16.180 --> 00:02:19.020]  我們嘗試花一點時間
[00:02:19.020 --> 00:02:26.980]  去看看保羅對菲律賓教會這三方面的勸勉
[00:02:26.980 --> 00:02:30.700]  第一方面 保羅告訴他們
[00:02:30.700 --> 00:02:34.460]  他說 要喜樂
[00:02:34.460 --> 00:02:39.660]  開心點
[00:02:39.660 --> 00:02:42.620]  開心點
[00:02:42.620 --> 00:02:45.540]  都不用你們說了
[00:02:45.540 --> 00:02:49.540]  我都不懂得開心嗎
[00:02:49.540 --> 00:02:52.540]  不懂得喜樂嗎
[00:02:52.540 --> 00:02:56.980]  爲什麼還要這麼沉氣地說呢
[00:02:56.980 --> 00:03:03.780]  是不是人天生就不懂得笑呢
[00:03:03.780 --> 00:03:06.900]  你知不知道最近有一個新的產品
[00:03:06.900 --> 00:03:10.020]  是幫助我們笑得開心點的
[00:03:10.020 --> 00:03:13.460]  你看看這張powerpoint
[00:03:13.460 --> 00:03:18.980]  這個叫做Facial Fitness Power
[00:03:18.980 --> 00:03:20.580]  我不知道爲什麼要搞一個名字
[00:03:20.580 --> 00:03:22.980]  可能那個人在那裏"拋下拋下"
[00:03:22.980 --> 00:03:27.300]  叫做Facial Fitness Power
[00:03:27.300 --> 00:03:30.940]  是用嘴巴掩蓋着這個東西
[00:03:30.940 --> 00:03:34.140]  然後在那裏"甩下甩下甩下"
[00:03:34.140 --> 00:03:38.300]  就是這樣的
[00:03:38.300 --> 00:03:41.100]  他的廣告就告訴你
[00:03:41.100 --> 00:03:45.780]  是讓我們的笑容更加燦爛
[00:03:45.780 --> 00:03:49.500]  我一收到這個訊息的時候
[00:03:49.500 --> 00:03:52.180]  不是說我想不想買
[00:03:52.180 --> 00:03:54.740]  而是我收到這個訊息的時候
[00:03:54.740 --> 00:03:56.020]  我馬上就想到
[00:03:56.020 --> 00:03:58.900]  原來在今時今日
[00:03:58.900 --> 00:04:02.180]  我們已經不懂得笑了
[00:04:02.180 --> 00:04:04.140]  就是原來笑這個動作
[00:04:04.140 --> 00:04:06.460]  就是我們這個面部的笑肌肉
[00:04:06.460 --> 00:04:08.540]  是已經綁緊了
[00:04:08.540 --> 00:04:11.820]  以至於我們需要用一些產品
[00:04:11.820 --> 00:04:16.540]  來幫助我們笑
[00:04:16.540 --> 00:04:28.420]  4980元
[00:04:28.420 --> 00:04:35.020]  保羅說你們要喜樂
[00:04:35.020 --> 00:04:39.020]  你可以省下4980元
[00:04:39.020 --> 00:04:41.620]  如果你能夠去明白到
[00:04:41.620 --> 00:04:45.060]  原來在保羅的處境
[00:04:45.060 --> 00:04:49.620]  在菲律賓教會的信徒的處境當中
[00:04:49.620 --> 00:04:54.660]  他們仍然能夠保持一個快樂的心境的時候
[00:04:54.660 --> 00:04:55.820]  我們今日
[00:04:55.820 --> 00:04:59.500]  無論是面對一個什麼政治的環境
[00:04:59.500 --> 00:05:02.020]  或者是一個什麼經濟的環境
[00:05:02.020 --> 00:05:06.220]  在我們的生活上帶來一些什麼問題
[00:05:06.220 --> 00:05:08.140]  或者是焦慮也好
[00:05:08.140 --> 00:05:13.860]  我們仍然都可以去靠主常常喜樂
[00:05:13.860 --> 00:05:17.540]  如果你有稍微知道在菲律賓書的話
[00:05:17.540 --> 00:05:20.580]  喜樂這個訊息是經常出現
[00:05:20.580 --> 00:05:22.100]  在第四章第四節
[00:05:22.100 --> 00:05:26.420]  保羅說你們要靠主常常喜樂
[00:05:26.420 --> 00:05:30.820]  我再說你們要喜樂
[00:05:30.820 --> 00:05:32.420]  很沉氣
[00:05:32.420 --> 00:05:33.860]  在第四章第一節
[00:05:33.860 --> 00:05:37.900]  他就說弟兄們你就是我的喜樂
[00:05:37.900 --> 00:05:39.740]  如果我要再讀的話
[00:05:39.740 --> 00:05:41.500]  有很多在菲律賓書裏面
[00:05:41.500 --> 00:05:43.300]  在第二章第十七節
[00:05:43.300 --> 00:05:46.100]  保羅他就說我在困所的當中
[00:05:46.100 --> 00:05:47.380]  我可能就快死了
[00:05:47.380 --> 00:05:50.860]  他說我若被挑電在旗上
[00:05:50.860 --> 00:05:52.580]  挑電是什麼
[00:05:52.580 --> 00:05:56.660]  差不多是我的生命被殺害的時候
[00:05:56.660 --> 00:05:59.380]  也是喜樂
[00:05:59.380 --> 00:06:05.300]  並且與你們衆人一同喜樂
[00:06:05.300 --> 00:06:07.980]  在保羅他的信仰觀裏面
[00:06:07.980 --> 00:06:10.740]  他是視死如歸
[00:06:10.740 --> 00:06:13.540]  我們講菲律賓書第一章的時候
[00:06:13.540 --> 00:06:14.700]  保羅他說什麼
