
[00:00:00.000 --> 00:00:04.460]  如果有一些還沒有信主的朋友 問我們一個問題
[00:00:04.460 --> 00:00:08.020]  就是我們信了耶穌 信了耶穌基督
[00:00:08.020 --> 00:00:13.000]  基督信仰給我們有一個帶來一些什麼樣的改變
[00:00:13.000 --> 00:00:15.220]  帶來一些什麼新的東西
[00:00:15.220 --> 00:00:18.180]  大家會怎麼回答這個問題
[00:00:18.180 --> 00:00:21.880]  大家可能會說 帶給我平安 喜樂
[00:00:21.880 --> 00:00:23.760]  很重要的一個是永生 對不對
[00:00:23.760 --> 00:00:27.520]  我們有一個豐盛的生命 豐盛的人生等等
[00:00:27.520 --> 00:00:32.720]  這都非常的好 但是往往我們很少想起
[00:00:32.720 --> 00:00:37.620]  甚至很少提到 我們信了耶穌基督
[00:00:37.620 --> 00:00:40.580]  我們從此就不再與神為敵
[00:00:40.580 --> 00:00:44.180]  但是同時我們卻與惡者為敵
[00:00:44.180 --> 00:00:47.760]  我們開始進入了一個屬靈的征戰
[00:00:47.760 --> 00:00:50.780]  我們一起來讀以下的經文
[00:00:50.780 --> 00:00:55.620]  以敷所書六章十一到十三節 一二三請
[00:00:55.620 --> 00:00:59.700]  要穿戴神所賜的傳父軍裝
[00:00:59.700 --> 00:01:03.300]  使你們能抵擋魔鬼的詭計
[00:01:03.300 --> 00:01:08.380]  因為我們的征戰 對抗的不是有血有肉的人
[00:01:08.380 --> 00:01:11.260]  而是執政的 掌權的
[00:01:11.260 --> 00:01:15.860]  管轄這黑暗世界的天上的邪靈
[00:01:15.860 --> 00:01:20.020]  所以要穿起神所賜的傳父軍裝
[00:01:20.020 --> 00:01:24.580]  使你們在這邪惡的時代裡 可以抵擋得住
[00:01:24.580 --> 00:01:30.100]  並且在做完一切之後 還能站立得穩
[00:01:30.100 --> 00:01:31.660]  所以我們看到這裡給我們一個圖片
[00:01:31.660 --> 00:01:34.700]  就是我們是一個征戰
[00:01:34.700 --> 00:01:38.060]  上帝要我們穿起傳父的武裝 軍裝
[00:01:38.060 --> 00:01:41.100]  以致我們可以抵抗惡者
[00:01:41.100 --> 00:01:43.900]  到最後的時候還可以站立得穩
[00:01:43.900 --> 00:01:46.340]  這個屬靈征戰是很真實的
[00:01:46.340 --> 00:01:51.940]  不論在個人的層面 或者在整體教會群體的裡面
[00:01:51.940 --> 00:01:55.900]  那我不知道大家有沒有留意
[00:01:55.900 --> 00:01:59.780]  最近幾年的一些的情況 特別是英國的一些情況
[00:01:59.780 --> 00:02:02.700]  英國基督徒其實現在基督信仰
[00:02:02.700 --> 00:02:04.620]  或者英國的基督信仰
[00:02:04.620 --> 00:02:08.660]  現在是正在受到一個很大的衝擊
[00:02:08.660 --> 00:02:14.540]  原因之一 其實就是我們看到一個人口的改變
[00:02:14.540 --> 00:02:16.860]  英國穆斯林人口呢
[00:02:16.860 --> 00:02:21.380]  剛剛最近有個報告說 它超過了三百萬
[00:02:21.380 --> 00:02:26.100]  那如果我們單單看居住在英國首都倫敦的
[00:02:26.100 --> 00:02:28.060]  一些的穆斯林人口呢
[00:02:28.060 --> 00:02:30.700]  他們 因為現在有個大倫敦的一個概念
[00:02:30.700 --> 00:02:34.020]  所以他們是一個區域叫大倫敦
[00:02:34.020 --> 00:02:38.220]  他們住在邊區 郊區的一些穆斯林人口呢
[00:02:38.220 --> 00:02:44.180]  已經達到了整個大倫敦城市的人口的一半
[00:02:44.180 --> 00:02:46.980]  照著這樣的增長速度下去呢
[00:02:46.980 --> 00:02:51.780]  很可能沒過幾年 或者五年十年這樣子
[00:02:51.780 --> 00:02:57.420]  大倫敦市整個的區域裡面最多人口就是
[00:02:57.420 --> 00:02:59.900]  穆斯林這樣的人口
[00:02:59.900 --> 00:03:03.820]  那大家知不知道現在倫敦的市長是誰
[00:03:03.820 --> 00:03:08.740]  倫敦的市長 2016年5月的時候
[00:03:08.740 --> 00:03:12.460]  巴基斯坦 對 他的名字叫Sadiama Khan
[00:03:12.460 --> 00:03:15.820]  是一個新任的倫敦市長
[00:03:15.820 --> 00:03:19.500]  他是得到了57%的選票得選
[00:03:19.500 --> 00:03:22.820]  然後他是一個穆斯林的信徒
[00:03:22.820 --> 00:03:25.980]  他是這麼多西方國家的首都
[00:03:25.980 --> 00:03:30.020]  第一位穆斯林信徒成為他們的一個領袖
[00:03:30.020 --> 00:03:32.900]  成為他們的市長
[00:03:32.900 --> 00:03:36.580]  那之前有一位英國聖公會的一個牧者
[00:03:36.580 --> 00:03:38.100]  這樣悲觀的說
[00:03:38.100 --> 00:03:44.100]  基督教在英國已經開始步入死亡的進程
[00:03:44.100 --> 00:03:47.100]  那還有一個廣播電臺的記者說
[00:03:47.100 --> 00:03:50.540]  那英國很快就可以變成伊斯蘭教的國家
[00:03:50.540 --> 00:03:52.540]  讓他最痛心的是
[00:03:52.540 --> 00:03:55.820]  那英國有一天有一小城市裡面
[00:03:55.820 --> 00:03:58.860]  竟然一天裡面有三個基督教會
[00:03:58.860 --> 00:04:01.180]  賣給了一個伊斯蘭教
[00:04:01.180 --> 00:04:03.700]  讓他們工具會用
[00:04:03.700 --> 00:04:05.660]  那除了英國還有很多地方
[00:04:05.660 --> 00:04:07.580]  其實荷蘭也是這樣子
[00:04:07.580 --> 00:04:09.860]  很多的教會已經變成了賭場
[00:04:09.860 --> 00:04:11.700]  變成了一些的餐廳
[00:04:11.700 --> 00:04:15.300]  因為沒有人在聚會
[00:04:15.300 --> 00:04:16.660]  那德國又怎麼樣子呢
[00:04:16.660 --> 00:04:18.580]  那我以前在德國有一段的時間
[00:04:18.580 --> 00:04:20.220]  那德國是怎麼樣子呢
[00:04:20.220 --> 00:04:24.500]  今年是宗教改革500週年的紀念的時間
[00:04:24.500 --> 00:04:27.620]  那宗教改革的發源地就在德國
[00:04:27.620 --> 00:04:30.860]  那德國現在的樹林光景又是怎麼樣子呢
[00:04:30.860 --> 00:04:33.140]  那根據一份統計報告說
[00:04:33.140 --> 00:04:37.020]  那德國現在還有29%左右的一個基督徒
[00:04:37.020 --> 00:04:38.780]  就是新教教徒
[00:04:38.780 --> 00:04:40.700]  但是問題是
[00:04:40.700 --> 00:04:43.780]  這些基督徒是他們說他們是信主
[00:04:43.780 --> 00:04:48.940]  但是他們竟然固定參加教會聚會的基督徒
[00:04:48.940 --> 00:04:52.260]  只有當中的4%
[00:04:52.260 --> 00:04:54.220]  那以前我在德國柏林市
[00:04:54.220 --> 00:04:56.740]  在一個華研教會裡面聚會
[00:04:56.740 --> 00:04:59.500]  那他們是一個教會是德國
[00:04:59.500 --> 00:05:01.620]  我們是租用一個德國教會
[00:05:01.620 --> 00:05:04.100]  他們德國的教會大概可以做500人的教會
[00:05:04.100 --> 00:05:07.020]  很大的一個教會很高頂這樣子
[00:05:07.020 --> 00:05:08.940]  然後每次他們聚會的時候
[00:05:08.940 --> 00:05:12.940]  就是可能10來20個的弟兄姐妹
[00:05:12.940 --> 00:05:15.220]  而且是上了年紀的弟兄姐妹
[00:05:15.220 --> 00:05:17.220]  就是坐在前面一起聚會
[00:05:17.220 --> 00:05:19.220]  那牧師就在這裡講道
[00:05:19.220 --> 00:05:22.380]  那後面船是空的
[00:05:22.380 --> 00:05:25.180]  那我們華研教會大概有200人這樣子
[00:05:25.180 --> 00:05:27.580]  借用他們下午的時間這樣聚會
[00:05:27.580 --> 00:05:30.100]  所以看到很實際一個情況
[00:05:30.100 --> 00:05:34.860]  基督徒已經沒有了他們的教會生活
[00:05:34.860 --> 00:05:38.740]  可以見得他們的信仰已經到一個比較
[00:05:38.740 --> 00:05:41.260]  很危機的一個狀況
[00:05:41.260 --> 00:05:42.900]  當然我們知道這很多的原因
[00:05:42.900 --> 00:05:47.740]  比如說歐洲特別是德國的自由神學的影響非常的嚴重
[00:05:47.740 --> 00:05:50.100]  自由神學他們是成為他們的主流
[00:05:50.100 --> 00:05:52.780]  他們不但否認聖經的權威性
[00:05:52.780 --> 00:05:58.340]  而且還撇棄一些對基督信仰對社會的一些影響力
[00:05:58.340 --> 00:06:01.340]  當然一些世俗化還有物質化的一些影響
[00:06:01.340 --> 00:06:06.940]  也是很深的在影響著當地的這些信徒的生命
[00:06:06.940 --> 00:06:11.660]  那所以很多教會都面臨一個關門的一個情況
[00:06:11.660 --> 00:06:14.060]  那有位牧者說
[00:06:14.060 --> 00:06:16.940]  教堂關門只是一個外在的表現
[00:06:16.940 --> 00:06:18.140]  教堂關門
[00:06:18.140 --> 00:06:20.940]  因為在教堂關門之前
[00:06:20.940 --> 00:06:25.980]  其實很多歐洲人的心已經向神關閉了
[00:06:25.980 --> 00:06:28.980]  首先是很多人的心已經向上帝關閉了
[00:06:28.980 --> 00:06:33.220]  所以慢慢的我們看到教會就關門了
