
[00:00:00.000 --> 00:00:03.400]  面對著政局不安兵荒馬亂的時候
[00:00:03.400 --> 00:00:05.800]  不知道你通常會怎樣回應
[00:00:05.800 --> 00:00:09.400]  或者想想上帝想你怎樣回應
[00:00:09.400 --> 00:00:12.000]  我們今天看一段聖經的記載
[00:00:12.000 --> 00:00:15.000]  講到一個君王叫做希西加
[00:00:15.000 --> 00:00:16.400]  在他的事跡當中
[00:00:16.400 --> 00:00:20.400]  當時是動盪不安甚至兵臨城下
[00:00:20.400 --> 00:00:22.400]  到底他怎樣回應
[00:00:22.400 --> 00:00:24.600]  或者在這段的記述當中
[00:00:24.600 --> 00:00:27.800]  上帝想他怎樣回應
[00:00:27.800 --> 00:00:30.600]  這往記下第十八章第一節
[00:00:30.600 --> 00:00:32.600]  以色列王以拉的兒子
[00:00:32.600 --> 00:00:34.000]  荷西亞第三年
[00:00:34.000 --> 00:00:36.600]  猶大王阿克斯的兒子希西加登基
[00:00:36.600 --> 00:00:38.800]  他登基的時候年二十五歲
[00:00:38.800 --> 00:00:41.200]  在耶路撒冷作王二十九年
[00:00:41.200 --> 00:00:43.800]  希西加行耶和華眼中看為正的事
[00:00:43.800 --> 00:00:47.200]  效法他祖大位一切所行的
[00:00:47.200 --> 00:00:49.000]  這裡是稱讚希西加
[00:00:49.000 --> 00:00:51.000]  和以前的王截然不同
[00:00:51.000 --> 00:00:53.200]  之前的王包括他的父王阿克斯
[00:00:53.200 --> 00:00:55.200]  是敬拜別臣
[00:00:55.200 --> 00:00:58.000]  當希西加登基的時候
[00:00:58.000 --> 00:00:58.800]  他做了什麼呢
[00:00:58.800 --> 00:01:00.800]  就是宗教的改革
[00:01:00.800 --> 00:01:02.000]  第四節這樣說
[00:01:02.000 --> 00:01:03.400]  他廢去丘壇
[00:01:03.400 --> 00:01:04.600]  毀壞柱杖
[00:01:04.600 --> 00:01:05.800]  砍下木偶
[00:01:05.800 --> 00:01:07.600]  打碎摩西所造的銅蛇
[00:01:07.600 --> 00:01:10.200]  因為當時以色列人
[00:01:10.200 --> 00:01:12.400]  迎向銅蛇銷香
