
[00:00:00.000 --> 00:00:02.200]  今天我要和大家說的是
[00:00:02.200 --> 00:00:06.400]  《針研三十一篇》的財德的婦人
[00:00:06.400 --> 00:00:09.560]  剛才彭長老跟我們說的經文
[00:00:09.560 --> 00:00:11.960]  我們應該很熟悉
[00:00:11.960 --> 00:00:14.120]  我給她的題目叫做
[00:00:14.120 --> 00:00:18.560]  「智慧與恩慈 生命的織布者」
[00:00:18.560 --> 00:00:20.400]  財德的婦人
[00:00:20.400 --> 00:00:21.920]  這個好的媽媽
[00:00:21.920 --> 00:00:24.920]  就是一個生命的織布者
[00:00:24.920 --> 00:00:28.960]  她不僅是編織布料
[00:00:28.960 --> 00:00:33.280]  她也是生命的編織者
[00:00:33.280 --> 00:00:34.800]  今時今日
[00:00:34.800 --> 00:00:39.760]  我們知道婦女的地位不斷在社會提高
[00:00:39.760 --> 00:00:43.160]  無論是家庭、社會、國家
[00:00:43.160 --> 00:00:46.760]  婦女現在都有很大的影響力
[00:00:46.760 --> 00:00:48.160]  我們也知道
[00:00:48.160 --> 00:00:50.440]  在很多國家
[00:00:50.440 --> 00:00:54.920]  有婦女成為元首、成為總統
[00:00:54.920 --> 00:00:57.360]  影響力是越來越大
[00:00:57.360 --> 00:00:59.960]  我們今天看一看這個財德的婦人
[00:00:59.960 --> 00:01:03.360]  她在家庭裏面有很大的影響力
[00:01:03.360 --> 00:01:05.080]  這個屬靈的母親
[00:01:05.080 --> 00:01:08.640]  聖經裏面的教導又是怎樣的呢?
[00:01:08.640 --> 00:01:12.200]  很多時候當牧師在樹台上
[00:01:12.200 --> 00:01:16.360]  說《針研三十一章》的財德的婦人的時候
[00:01:16.360 --> 00:01:20.120]  很多的姐妹就會很怒、很害怕
[00:01:20.120 --> 00:01:21.720]  為什麼會這麼害怕?
[00:01:21.720 --> 00:01:27.000]  他們會說這個《針研三十一章》的財德的婦人
[00:01:27.000 --> 00:01:29.040]  都不知道是真是假
[00:01:29.040 --> 00:01:31.400]  是不是真的有一個這樣的人呢?
