
[00:00:00.000 --> 00:00:03.000]  其實要跟丁宏哲分享很多
[00:00:03.000 --> 00:00:08.000]  我今天就是用這段經文講到說
[00:00:08.000 --> 00:00:11.000]  耶穌出來傳道的時候
[00:00:11.000 --> 00:00:14.000]  祂所講的第一篇的信息
[00:00:14.000 --> 00:00:17.000]  就是在引用路加福音第四
[00:00:17.000 --> 00:00:19.000]  就是引用這個以賽亞書
[00:00:19.000 --> 00:00:23.000]  第61章1到3節這段聖經
[00:00:23.000 --> 00:00:25.000]  這段聖經有一個教會
[00:00:25.000 --> 00:00:28.000]  也用它作為他們教會的
[00:00:28.000 --> 00:00:31.000]  可以說是他們的核心價值
[00:00:31.000 --> 00:00:32.000]  核心目標
[00:00:32.000 --> 00:00:33.000]  你知道哪個教會嗎
[00:00:33.000 --> 00:00:36.000]  也是我們凌良堂的
[00:00:36.000 --> 00:00:39.000]  它叫611凌良堂
[00:00:39.000 --> 00:00:46.000]  611就是以賽亞書61章第一節
[00:00:46.000 --> 00:00:48.000]  主的凌在我身上
[00:00:48.000 --> 00:00:50.000]  主耶和華的凌在我身上
[00:00:50.000 --> 00:00:54.000]  因為耶和華用高高我
[00:00:54.000 --> 00:00:56.000]  所以在這篇一開始
[00:00:56.000 --> 00:00:59.000]  祂提到主的凌高我
[00:00:59.000 --> 00:01:02.000]  高在舊約的聖經裡面
[00:01:02.000 --> 00:01:05.000]  每一個不管是先知君王祭司
[00:01:05.000 --> 00:01:08.000]  都需要經歷一個高立的過程
[00:01:08.000 --> 00:01:09.000]  暗立的過程
[00:01:09.000 --> 00:01:10.000]  那用什麼呢
[00:01:10.000 --> 00:01:12.000]  用由高
[00:01:12.000 --> 00:01:14.000]  所以我們叫高我
[00:01:14.000 --> 00:01:16.000]  anointing
[00:01:16.000 --> 00:01:18.000]  在這裡說神用祂的凌
[00:01:18.000 --> 00:01:22.000]  就是聖靈來高我
[00:01:22.000 --> 00:01:23.000]  那高我做什麼呢
[00:01:23.000 --> 00:01:25.000]  下面就講到了什麼
[00:01:25.000 --> 00:01:28.000]  講到了祂所要做的這個使命
[00:01:28.000 --> 00:01:31.000]  所以聖靈祂要高我
[00:01:31.000 --> 00:01:34.000]  使得我們傳福音給什麼
[00:01:34.000 --> 00:01:36.000]  謙卑的人
[00:01:36.000 --> 00:01:39.000]  路加福音就說給貧窮的人
[00:01:39.000 --> 00:01:42.000]  拆解我已好傷心的人
[00:01:42.000 --> 00:01:44.000]  報告貝魯的得釋放
[00:01:44.000 --> 00:01:45.000]  被囚的出監牢
[00:01:45.000 --> 00:01:47.000]  報告耶和華的恩憐
[00:01:47.000 --> 00:01:49.000]  和我們神報仇的日子
[00:01:49.000 --> 00:01:52.000]  安慰一切悲哀的人
