
[00:00:00.000 --> 00:00:03.580]  今天要講的題目叫Why This Waste
[00:00:03.580 --> 00:00:04.920]  中文的翻譯就是
[00:00:04.920 --> 00:00:06.240]  為什麼這麼浪費
[00:00:06.240 --> 00:00:07.640]  我不知道你有沒有經歷過
[00:00:07.640 --> 00:00:09.860]  有些事情是你很心痛
[00:00:09.860 --> 00:00:11.780]  或者你覺得很浪費
[00:00:11.780 --> 00:00:13.480]  給你幾張圖片
[00:00:13.480 --> 00:00:14.820]  待會兒有段片的
[00:00:14.820 --> 00:00:15.720]  有沒有聲音都可以
[00:00:15.720 --> 00:00:16.460]  有就推
[00:00:16.460 --> 00:00:17.820]  沒有就算了
[00:00:17.820 --> 00:00:18.360]  第一
[00:00:18.360 --> 00:00:21.660]  這個圖片有沒有感覺呢
[00:00:21.660 --> 00:00:24.040]  Why This Waste
[00:00:24.040 --> 00:00:25.040]  為什麼這麼浪費
[00:00:25.040 --> 00:00:27.240]  很土地上的球鞋
[00:00:27.240 --> 00:00:30.560]  很辛苦才儲到限量版
[00:00:30.560 --> 00:00:32.540]  一把火就燒光了
[00:00:32.540 --> 00:00:35.480]  Why This Waste
[00:00:35.480 --> 00:00:37.280]  這個呢
[00:00:37.280 --> 00:00:39.340]  有沒有人覺得適合
[00:00:39.340 --> 00:00:41.780]  大家爭一口氣就可以出
[00:00:41.780 --> 00:00:43.140]  如果平時
[00:00:43.140 --> 00:00:45.180]  年輕人就不可以出
[00:00:45.180 --> 00:00:46.880]  山崎十八
[00:00:46.880 --> 00:00:48.420]  為什麼要出這一瓶呢
[00:00:48.420 --> 00:00:49.520]  其實我想講
[00:00:49.520 --> 00:00:50.960]  我有個朋友
[00:00:50.960 --> 00:00:54.160]  是他教壞我
[00:00:54.160 --> 00:00:56.420]  或者帶我去喝威士忌
[00:00:56.420 --> 00:00:58.100]  他說有一次
[00:00:58.100 --> 00:00:59.260]  他有一瓶珍藏
[00:00:59.260 --> 00:01:00.160]  就是山崎十八
[00:01:00.160 --> 00:01:02.100]  他那時候買是很便宜的
[00:01:02.100 --> 00:01:04.140]  但是現在我都不知道多少錢
[00:01:04.140 --> 00:01:05.800]  多少錢有沒有人知道
[00:01:05.800 --> 00:01:07.900]  四萬還是四千還是不知道
[00:01:07.900 --> 00:01:08.540]  四千
[00:01:08.540 --> 00:01:09.440]  十八
[00:01:09.440 --> 00:01:10.740]  四千而已嗎
[00:01:10.740 --> 00:01:12.080]  Anyway
[00:01:12.080 --> 00:01:14.080]  你待會兒查一下
[00:01:14.080 --> 00:01:16.840]  他就說有一次
[00:01:16.840 --> 00:01:19.120]  有一群朋友上他家喝東西
[00:01:19.120 --> 00:01:20.080]  大家喝
[00:01:20.080 --> 00:01:20.980]  他不介意的
[00:01:20.980 --> 00:01:23.260]  大家分享是很開心的
[00:01:23.260 --> 00:01:24.160]  你倒一點
[00:01:24.160 --> 00:01:24.660]  我倒一點
[00:01:24.660 --> 00:01:25.360]  大家喝
[00:01:25.360 --> 00:01:27.460]  他說有一個人倒了大半杯
[00:01:27.460 --> 00:01:29.420]  但是喝剩了
[00:01:29.420 --> 00:01:31.400]  嘩!氣到他
[00:01:31.400 --> 00:01:32.840]  氣了他幾年
[00:01:32.840 --> 00:01:34.260]  每一次他在澳洲
[00:01:34.260 --> 00:01:35.640]  我過去找他
[00:01:35.640 --> 00:01:36.640]  在他那裡住的時候
[00:01:36.640 --> 00:01:37.400]  他還說
[00:01:37.400 --> 00:01:38.500]  那次啊
[00:01:38.500 --> 00:01:39.540]  那個人啊
[00:01:39.540 --> 00:01:41.040]  他倒了也不要緊
[00:01:41.040 --> 00:01:42.580]  他喝不完
[00:01:42.580 --> 00:01:45.180]  Why this waste?
[00:01:45.180 --> 00:01:46.380]  你有沒有一些經歷
[00:01:46.380 --> 00:01:48.120]  是你都會這麼說
[00:01:48.120 --> 00:01:50.080]  Why this waste?
[00:01:50.080 --> 00:01:52.920]  看完這段短片
[00:01:52.920 --> 00:01:56.960]  這個YouTube寫著是陰公豬系列
[00:01:56.960 --> 00:01:59.760]  P牌仔踩進後波
[00:01:59.760 --> 00:02:03.000]  一次過KO法拉利和Maserati
[00:02:03.000 --> 00:02:04.700]  那就看看有沒有聲音
[00:02:04.700 --> 00:02:09.900]  是我沒有
[00:02:09.900 --> 00:02:14.200]  沒有聲音也好
[00:02:14.200 --> 00:02:16.280]  砰!我做給你聽
[00:02:16.280 --> 00:02:19.840]  我不知道你看了這段短片
[00:02:19.840 --> 00:02:21.120]  你會不會覺得
[00:02:21.120 --> 00:02:22.920]  Why this waste?
[00:02:22.920 --> 00:02:24.280]  為什麼這麼浪費
[00:02:24.280 --> 00:02:25.980]  如果根據報道
[00:02:25.980 --> 00:02:29.660]  之後就好像說要弄
[00:02:29.660 --> 00:02:31.560]  知道多少錢嗎?
[00:02:31.560 --> 00:02:32.900]  啊?
[00:02:32.900 --> 00:02:34.120]  不是很久而已
[00:02:34.120 --> 00:02:36.000]  證明現在這個世界轉得很快
