
[00:00:00.000 --> 00:00:02.600]  今天跟大家分享的題目
[00:00:02.600 --> 00:00:06.900]  因為大會有說逆境尋新
[00:00:06.900 --> 00:00:09.700]  那我就接下去後面說了一句
[00:00:09.700 --> 00:00:13.200]  I am not in charge of my life
[00:00:13.200 --> 00:00:16.600]  不知道你有沒有聽過這句話
[00:00:16.600 --> 00:00:19.900]  人呢 你要為自己的生命負責任
[00:00:19.900 --> 00:00:20.900]  有沒有聽過
[00:00:20.900 --> 00:00:23.500]  有啊 一定有的 是不是
[00:00:23.500 --> 00:00:25.300]  但是對基督徒來說
[00:00:25.300 --> 00:00:27.700]  我們理應更加要明白一個道理
[00:00:27.700 --> 00:00:32.400]  就是生命不再由你自己作主
[00:00:32.400 --> 00:00:33.900]  所以當這個題目在說
[00:00:33.900 --> 00:00:36.400]  I am not in charge of my life的時候
[00:00:36.400 --> 00:00:38.100]  意思就是說你的生命
[00:00:38.100 --> 00:00:41.100]  不應該再由你自己作主
[00:00:41.100 --> 00:00:43.500]  因為耶穌已經成為你的救主
[00:00:43.500 --> 00:00:46.000]  那不是在於你在決志那一刻
[00:00:46.000 --> 00:00:47.100]  你就說 OK
[00:00:47.100 --> 00:00:49.100]  我現在就讓你成為我的救主
[00:00:49.100 --> 00:00:50.300]  然後祈完那個禱
[00:00:50.300 --> 00:00:52.800]  然後就做回你自己
[00:00:52.800 --> 00:00:54.600]  說到那個禱告
[00:00:54.600 --> 00:00:56.700]  你的立定心志
[00:00:56.700 --> 00:00:58.200]  你的決志都好
[00:00:58.200 --> 00:01:00.500]  其實背後有一個更重要的意思
[00:01:00.500 --> 00:01:03.600]  是你將你的生命的主權
[00:01:03.600 --> 00:01:06.800]  你願意將這個主權交給耶穌 OK
[00:01:06.800 --> 00:01:08.600]  不過雖然話雖如此
[00:01:08.600 --> 00:01:11.100]  我們說基督徒的一生
[00:01:11.100 --> 00:01:14.200]  其實你和我不斷都在這個掙扎的裏面
[00:01:14.200 --> 00:01:15.000]  就是什麼
[00:01:15.000 --> 00:01:17.900]  究竟是上帝話事還是我話事
[00:01:17.900 --> 00:01:19.200]  有些人在這個位置
[00:01:19.200 --> 00:01:21.900]  其實確實是我們會有很多
[00:01:21.900 --> 00:01:23.200]  我們很多迷思
[00:01:23.200 --> 00:01:24.400]  或者在那種狀態裏面
[00:01:24.400 --> 00:01:27.200]  其實我不是想我話事
[00:01:27.200 --> 00:01:28.800]  我想上帝你話事
[00:01:28.800 --> 00:01:31.000]  不過我們有一個
[00:01:31.000 --> 00:01:33.200]  很容易進入一個前設
[00:01:33.200 --> 00:01:36.600]  就是上帝你告訴我
[00:01:36.600 --> 00:01:38.600]  不如你就這樣吧
[00:01:38.600 --> 00:01:41.600]  我一會兒出門口見到那個人
[00:01:41.600 --> 00:01:43.000]  那你就告訴我
[00:01:43.000 --> 00:01:45.600]  其實我就是要找他了
[00:01:45.600 --> 00:01:47.200]  或者你走出門口
[00:01:47.200 --> 00:01:48.500]  碰到某一個人
[00:01:48.500 --> 00:01:51.300]  然後你的心裏面其實好期待已久
[00:01:51.300 --> 00:01:53.000]  等候著你的白馬王子
[00:01:53.000 --> 00:01:54.100]  還是白雪公主
[00:01:54.100 --> 00:01:57.000]  你就會覺得上帝擺在你面前了
[00:01:57.000 --> 00:02:01.000]  我們很期待一些神蹟奇事會這樣發生
[00:02:01.000 --> 00:02:03.800]  究竟面對生活當中不同的挑戰
[00:02:03.800 --> 00:02:07.200]  我們怎樣在逆境裏面尋身
[00:02:07.200 --> 00:02:09.000]  或者我們說在信仰裏面
[00:02:09.000 --> 00:02:11.200]  我們怎樣找到出路
[00:02:11.200 --> 00:02:13.600]  我很希望透過今天的訊息
[00:02:13.600 --> 00:02:15.200]  其實是頗特別的
[00:02:15.200 --> 00:02:17.000]  這個訊息對我來說
[00:02:17.000 --> 00:02:20.100]  我沒有想過這樣說的
[00:02:20.100 --> 00:02:21.200]  但是我很相信
[00:02:21.200 --> 00:02:24.200]  今天上帝透過祂自己的華語
[00:02:24.200 --> 00:02:25.600]  給你和我
[00:02:25.600 --> 00:02:29.400]  特別我想我們在這個世代
