
[00:00:00.000 --> 00:00:01.920]  今天講題是新年願望
[00:00:01.920 --> 00:00:03.480]  作為中國人我們有兩個新年
[00:00:03.480 --> 00:00:06.380]  一個是新年 一個是舊年新年
[00:00:06.380 --> 00:00:08.680]  我們在這邊聽的時候
[00:00:08.680 --> 00:00:13.340]  也是一個好像大掃除的心情
[00:00:13.340 --> 00:00:15.660]  一個大翻身 大掃除
[00:00:15.660 --> 00:00:19.680]  為什麼又碰巧在《肥臘比書》二章
[00:00:19.680 --> 00:00:21.640]  十二到十八節有關呢
[00:00:21.640 --> 00:00:24.500]  當然是非常有關
[00:00:24.500 --> 00:00:26.260]  我們用這個角度來看看
[00:00:26.260 --> 00:00:30.340]  究竟我們生命從今天在這個經文裡面學習
[00:00:30.340 --> 00:00:32.000]  怎樣前進
[00:00:32.000 --> 00:00:33.500]  上個星期很好
[00:00:33.500 --> 00:00:38.320]  帕森維尼講了很多新年人的願望
[00:00:38.320 --> 00:00:40.580]  有些很難達到的
[00:00:40.580 --> 00:00:45.540]  例如要減肥 減肥是比較難的
[00:00:45.540 --> 00:00:47.680]  又或者做健身
[00:00:47.680 --> 00:00:50.360]  他講到頭兩個星期做健身
[00:00:50.360 --> 00:00:52.120]  滿了地方
[00:00:52.120 --> 00:00:56.420]  然後兩個星期之後開始胸嬌嬌
[00:00:56.420 --> 00:00:59.580]  這件事絕對不會發生在我身上
[00:00:59.580 --> 00:01:02.000]  因為根本我頭兩個星期都不會去
[00:01:02.000 --> 00:01:03.480]  就不會失敗
[00:01:03.480 --> 00:01:04.940]  我知道有些事情很難的
[00:01:04.940 --> 00:01:09.000]  他講到早睡早起 看書等等
[00:01:09.000 --> 00:01:10.880]  不過有些事情又不是那麼難的
[00:01:10.880 --> 00:01:15.060]  因為講到有些人的新年願望就是去旅行
[00:01:15.060 --> 00:01:16.920]  我想問一下誰呢
[00:01:16.920 --> 00:01:19.860]  上年 前年 兩年內
[00:01:19.860 --> 00:01:22.240]  因為你有去過旅行 舉個手 好嗎
[00:01:22.240 --> 00:01:24.400]  對香港人都不會太懶的
[00:01:24.400 --> 00:01:26.760]  今天我就用這個方向去旅行
[00:01:26.760 --> 00:01:28.900]  原來都可以創新的
[00:01:28.900 --> 00:01:30.900]  為什麼呢 因為看了一篇文章
[00:01:30.900 --> 00:01:31.400]  挺有趣的
[00:01:31.400 --> 00:01:32.920]  Jennifer聽說
[00:01:32.920 --> 00:01:34.740]  我們可以同樣做舊的事
[00:01:34.740 --> 00:01:37.220]  但是打破舊有的關關
[00:01:37.220 --> 00:01:38.900]  挑戰自己
[00:01:38.900 --> 00:01:42.440]  去實踐一個新年的旅行目標
[00:01:42.440 --> 00:01:44.580]  我提議了十個方向
[00:01:44.580 --> 00:01:50.680]  看看會不會對你的新的挑戰 舊的歷程
[00:01:50.680 --> 00:01:53.140]  第一樣就是去新的地方
[00:01:53.140 --> 00:01:56.300]  我們知道香港人其中一個最喜歡去的地方是哪裏呢
[00:01:56.300 --> 00:01:57.220]  日本
[00:01:57.220 --> 00:01:58.860]  誰去過日本呢 舉個手
[00:01:58.860 --> 00:02:01.060]  大家看看 哇 七成
[00:02:01.060 --> 00:02:03.100]  他又鼓勵我們不要去那些了
[00:02:03.100 --> 00:02:06.200]  去新的 例如去布拉格
[00:02:06.200 --> 00:02:08.200]  有沒有去過布拉格 舉個手
[00:02:08.200 --> 00:02:11.240]  好笑的 還有三個百分比
[00:02:11.240 --> 00:02:14.920]  或者去斯德哥爾摩
[00:02:14.920 --> 00:02:16.920]  有沒有去過 舉個手
[00:02:16.920 --> 00:02:18.920]  真的 剩下兩隻手
[00:02:18.920 --> 00:02:20.600]  厲害啊 Karina
[00:02:20.600 --> 00:02:24.300]  去新的地方 去經歷一下新的探索
[00:02:24.300 --> 00:02:27.700]  又或者享受旅程 為什麼一定
[00:02:27.700 --> 00:02:30.440]  有時候我們是航機延誤
[00:02:30.440 --> 00:02:31.960]  坐過火車 很不開心
[00:02:31.960 --> 00:02:33.460]  不見行李 迷路
[00:02:33.460 --> 00:02:35.680]  或者買不到包包
[00:02:35.680 --> 00:02:37.680]  他說那些其實都是經驗
[00:02:37.680 --> 00:02:39.560]  那些是開心 享受那裏
[00:02:39.560 --> 00:02:40.880]  那我覺得很正確
[00:02:40.880 --> 00:02:42.080]  因為兩個禮拜前
[00:02:42.080 --> 00:02:44.900]  我們一家四口去過一個地方
[00:02:44.900 --> 00:02:48.080]  大家都去過 叫曼谷
[00:02:48.080 --> 00:02:49.120]  曼谷沒什麼好說的
[00:02:49.120 --> 00:02:50.720]  不過我們去完之後回來
[00:02:50.720 --> 00:02:53.020]  很多人說因為
[00:02:53.020 --> 00:02:55.120]  在相機前一晚
[00:02:55.120 --> 00:02:56.020]  我太太提醒大家
[00:02:56.020 --> 00:02:57.620]  記住拿護照啊
[00:02:57.620 --> 00:02:59.360]  我兒子我女兒我和我太太
[00:02:59.360 --> 00:03:00.420]  結果去到
[00:03:00.420 --> 00:03:03.100]  所有人都有拿護照去check in的時候
[00:03:03.100 --> 00:03:04.840]  不過所有人都拿護照
[00:03:04.840 --> 00:03:08.400]  一check in 我兒子拿個護照出來一望
[00:03:08.400 --> 00:03:11.200]  嘩 厲害啊
[00:03:11.200 --> 00:03:13.360]  他這本舊護照可以嗎
[00:03:13.360 --> 00:03:14.980]  還有一個半小時就起機了
[00:03:14.980 --> 00:03:17.200]  嘩 這件事要說很久了
[00:03:17.200 --> 00:03:19.580]  那怎麼辦呢 不告訴你
[00:03:19.580 --> 00:03:22.840]  這個就有得說了
[00:03:22.840 --> 00:03:25.480]  真的 我們都學到享受
[00:03:25.480 --> 00:03:26.840]  那怎麼辦呢
[00:03:26.840 --> 00:03:28.620]  學一個新的語言
[00:03:28.620 --> 00:03:31.120]  就是日本話 學日文
[00:03:31.120 --> 00:03:32.760]  What is it?
[00:03:32.760 --> 00:03:34.260]  去韓國玩 學韓文
[00:03:34.260 --> 00:03:36.260]  去法國玩 學法文
[00:03:36.260 --> 00:03:38.000]  去經驗一下
[00:03:38.000 --> 00:03:40.160]  百里夫放屎
[00:03:40.160 --> 00:03:43.760]  或者一年空檔gap year
[00:03:43.760 --> 00:03:45.060]  就是一整年
[00:03:45.060 --> 00:03:46.960]  趁你還沒生 還沒結婚的話
[00:03:46.960 --> 00:03:48.100]  如果有人
[00:03:48.100 --> 00:03:50.440]  那不如一年去親的地方
[00:03:50.440 --> 00:03:52.300]  甚至第三世界做義工
[00:03:52.300 --> 00:03:54.180]  這樣都很特別
[00:03:54.180 --> 00:03:55.580]  因為我們都有弟兄姊妹
[00:03:55.580 --> 00:03:57.340]  去了一些地方gap一年
[00:03:57.340 --> 00:03:59.080]  回來都有很多體驗
[00:03:59.080 --> 00:04:01.040]  這個我們經常都做的
[00:04:01.040 --> 00:04:03.580]  參加旅行團去自駕遊
[00:04:03.580 --> 00:04:05.660]  有沒有人試過自駕遊的 舉個手
[00:04:05.660 --> 00:04:06.960]  是啦 好多啦 好啦
[00:04:06.960 --> 00:04:08.960]  不過下一個香港人就很難了
[00:04:08.960 --> 00:04:13.460]  他說你去旅行可不可以少一點什麼
[00:04:13.460 --> 00:04:15.160]  拍照
[00:04:15.160 --> 00:04:17.860]  他說那些環境不是在你的相機裡面的
[00:04:17.860 --> 00:04:19.760]  是在旁邊的 你這樣看下去
[00:04:19.760 --> 00:04:22.440]  那些花的味道是聞不到的
[00:04:22.440 --> 00:04:24.700]  對於香港人特別是雅根堂很難的
[00:04:24.700 --> 00:04:28.100]  因為我聽廖牧師來雅根堂四年
[00:04:28.100 --> 00:04:29.180]  他說雅根堂很怪
[00:04:29.180 --> 00:04:30.620]  那些人很喜歡拍照
[00:04:30.620 --> 00:04:32.820]  因為一起去廁所就會拍照
[00:04:32.820 --> 00:04:37.320]  對吧 去廁所吃飯又會拍照
[00:04:37.320 --> 00:04:39.460]  一起買雪糕吃又會拍照
[00:04:39.460 --> 00:04:41.160]  這個真的很難
[00:04:41.160 --> 00:04:43.620]  學一下作者說的
[00:04:43.620 --> 00:04:44.900]  試一下可不可以
[00:04:44.900 --> 00:04:50.360]  然後他說在找機會玩一些沒玩過的遊戲
[00:04:50.360 --> 00:04:51.460]  或者是旅程
[00:04:51.460 --> 00:04:53.740]  又或者搭一些不同的交通工具
[00:04:53.740 --> 00:04:55.340]  不只是搭飛機
[00:04:55.340 --> 00:04:57.000]  搭什麼 嘟嘟
[00:04:57.000 --> 00:04:58.380]  有沒有人搭嘟嘟
[00:04:58.380 --> 00:05:00.880]  又搭一下人力車
[00:05:00.880 --> 00:05:02.380]  又搭一下馬車
[00:05:02.380 --> 00:05:04.520]  嘩 這個我也沒試過
[00:05:04.520 --> 00:05:07.320]  又或者呢 這個也是少有
[00:05:07.320 --> 00:05:10.920]  去自己的城市做一天旅客
[00:05:10.920 --> 00:05:12.520]  可不可以 下次問
[00:05:12.520 --> 00:05:13.560]  你去哪啊
[00:05:13.560 --> 00:05:16.020]  我下星期放假 你去哪啊
[00:05:16.020 --> 00:05:18.860]  我過九龍這樣
[00:05:18.860 --> 00:05:20.460]  都可以試一下
