
[00:00:00.000 --> 00:00:03.440]  今天跟大家分享的是「睡醒系列二」
[00:00:03.440 --> 00:00:05.120]  上次如果你有聽到
[00:00:05.120 --> 00:00:07.560]  就是我們睡醒系列
[00:00:07.560 --> 00:00:09.480]  Awakening 覺醒
[00:00:09.480 --> 00:00:10.560]  我上次講完之後
[00:00:10.560 --> 00:00:11.480]  就有人跟我說
[00:00:11.480 --> 00:00:12.880]  牧師叫覺醒就好了
[00:00:12.880 --> 00:00:15.800]  睡醒這個名字很便宜
[00:00:15.800 --> 00:00:17.120]  我想想也是的
[00:00:17.120 --> 00:00:18.320]  但是睡醒也挺好
[00:00:18.320 --> 00:00:20.120]  很適合我自己
[00:00:20.120 --> 00:00:21.240]  我覺得夠平民化
[00:00:21.240 --> 00:00:23.000]  睡醒系列二
[00:00:23.000 --> 00:00:25.080]  第一 記不記得說什麼
[00:00:25.080 --> 00:00:26.560]  我們教會都是這樣
[00:00:26.560 --> 00:00:28.520]  我們教會都是這樣的
[00:00:28.520 --> 00:00:29.840]  記得嗎
[00:00:29.840 --> 00:00:30.680]  不記得不要緊
[00:00:30.680 --> 00:00:31.280]  正常的
[00:00:31.280 --> 00:00:32.560]  我也有一點點不太記得
[00:00:32.560 --> 00:00:33.760]  我自己說也有一點點不記得
[00:00:33.760 --> 00:00:36.000]  所以我預備這邊講到之前
[00:00:36.000 --> 00:00:39.160]  我也聽一聽之前說過什麼
[00:00:39.160 --> 00:00:40.480]  所以跟你們
[00:00:40.480 --> 00:00:43.760]  農曆新年玩個問答遊戲
[00:00:43.760 --> 00:00:45.000]  OK
[00:00:45.000 --> 00:00:47.240]  以下哪一項不是在保羅
[00:00:47.240 --> 00:00:48.480]  在哥倫多前書裡面
[00:00:48.480 --> 00:00:49.840]  曾經有提出過
[00:00:49.840 --> 00:00:53.480]  指出過當時哥倫多教會的問題
[00:00:53.480 --> 00:00:54.640]  在哥倫多前書
[00:00:54.640 --> 00:00:58.840]  就是保羅指出過很多當時教會的問題
[00:00:58.840 --> 00:01:02.640]  以下哪一項不是呢
[00:01:02.640 --> 00:01:03.320]  預備了
[00:01:03.320 --> 00:01:05.720]  A. 分黨分派
[00:01:05.720 --> 00:01:07.880]  B. 性關係混亂
[00:01:07.880 --> 00:01:14.120]  C. 爭論吃不吃拜過偶像的食物
[00:01:14.120 --> 00:01:16.480]  D. 講謊言
[00:01:16.480 --> 00:01:21.360]  E. 耶穌沒有從死裡面復活
[00:01:21.360 --> 00:01:24.040]  A B C D E
[00:01:24.040 --> 00:01:26.080]  誰啊
[00:01:26.080 --> 00:01:27.040]  E
[00:01:27.040 --> 00:01:29.360]  哇 大家很厲害 E
[00:01:29.360 --> 00:01:34.240]  還有沒有其他答案
[00:01:34.240 --> 00:01:36.240]  E
[00:01:36.240 --> 00:01:38.920]  是不對的
[00:01:38.920 --> 00:01:39.520]  兩個原因
[00:01:39.520 --> 00:01:42.000]  一是可能我自己上次講得不太清楚
[00:01:42.000 --> 00:01:44.720]  二是可能你上次還沒睡醒
[00:01:44.720 --> 00:01:48.600]  是 A B C D E 都有講過這個問題
[00:01:48.600 --> 00:01:50.280]  在哥倫多前書
[00:01:50.280 --> 00:01:52.480]  保羅就著這幾個不同的問題
[00:01:52.480 --> 00:01:54.280]  就指出他們有什麼問題
[00:01:54.280 --> 00:01:57.080]  然後就從一個新的角度告訴他們
[00:01:57.080 --> 00:02:00.000]  應該要怎麼從一個福音的角度
[00:02:00.000 --> 00:02:02.800]  去思考我們生活要怎麼去做
[00:02:02.800 --> 00:02:04.360]  睡醒系列
[00:02:04.360 --> 00:02:05.720]  覺醒
[00:02:05.720 --> 00:02:07.560]  因為我們要看清楚
[00:02:07.560 --> 00:02:10.200]  不單止以前哥倫多教會的狀況
[00:02:10.200 --> 00:02:11.320]  也要看看我們現在
[00:02:11.320 --> 00:02:13.520]  今天我們教會的狀況
[00:02:13.520 --> 00:02:16.560]  我們求上帝幫助我們
[00:02:16.560 --> 00:02:17.600]  有病就醫病
[00:02:17.600 --> 00:02:19.600]  沒病就更加健康一點
[00:02:19.600 --> 00:02:21.440]  求上帝在這裡
[00:02:21.440 --> 00:02:24.200]  帶領我們更加認識我們自己
[00:02:24.200 --> 00:02:26.040]  其實今天的題目是正確地認識自己
[00:02:26.040 --> 00:02:27.120]  其實我又想到另一個
[00:02:27.120 --> 00:02:28.880]  不過我覺得那個太粗俗了
[00:02:28.880 --> 00:02:30.280]  我一開始就在想
[00:02:30.280 --> 00:02:31.680]  你什麼料子
[00:02:31.680 --> 00:02:32.680]  太粗俗了
[00:02:32.680 --> 00:02:34.960]  還是正確認識自己會好一點
[00:02:34.960 --> 00:02:37.360]  今天我們要正確認識自己
[00:02:37.360 --> 00:02:39.640]  來解決一下教會的問題
[00:02:39.640 --> 00:02:41.320]  我們一起有個祈禱
[00:02:41.320 --> 00:02:48.000]  親愛的天父
[00:02:48.000 --> 00:02:49.440]  上帝今天我們求聖令
[00:02:49.440 --> 00:02:50.680]  祢充滿我們
[00:02:50.680 --> 00:02:52.400]  充滿我們這個場地
[00:02:52.400 --> 00:02:53.280]  充滿我們每一個人
[00:02:53.280 --> 00:02:54.400]  無論我說的
[00:02:54.400 --> 00:02:55.360]  聽的
[00:02:55.360 --> 00:02:56.240]  聖靈啊
[00:02:56.240 --> 00:02:58.360]  祢都在我們當中
[00:02:58.360 --> 00:03:00.160]  帶領我們
[00:03:00.160 --> 00:03:02.800]  聖靈你親自向我們說話
[00:03:02.800 --> 00:03:03.640]  提醒
[00:03:03.640 --> 00:03:04.520]  督察
[00:03:04.520 --> 00:03:05.280]  鼓勵
[00:03:05.280 --> 00:03:08.240]  引導我們活在你的真理當中
[00:03:08.240 --> 00:03:09.280]  聽我們祈禱
[00:03:09.280 --> 00:03:11.440]  奉耶穌基督聖名求
[00:03:11.440 --> 00:03:12.920]  阿們
[00:03:12.920 --> 00:03:13.800]  好
[00:03:13.800 --> 00:03:15.960]  我們要看看分黨分派的原因
[00:03:15.960 --> 00:03:17.960]  以及出路在哪裡
[00:03:17.960 --> 00:03:19.800]  第一件事就是
[00:03:19.800 --> 00:03:21.840]  我們仍然很自我
[00:03:21.840 --> 00:03:23.400]  分黨分派最主要的原因
[00:03:23.400 --> 00:03:24.680]  是在於我們人
[00:03:24.680 --> 00:03:26.240]  人太過自我
[00:03:26.240 --> 00:03:29.360]  自以為是
[00:03:29.360 --> 00:03:30.480]  今天我們的教會
[00:03:30.480 --> 00:03:32.760]  你說牧師我們沒那麼誇張
[00:03:32.760 --> 00:03:33.200]  是不是
[00:03:33.200 --> 00:03:33.800]  我也覺得是
[00:03:33.800 --> 00:03:34.560]  我們感謝神
[00:03:34.560 --> 00:03:37.640]  我們教會都沒有什麼分黨分派
[00:03:37.640 --> 00:03:39.080]  這些極端的情況出現
[00:03:39.080 --> 00:03:41.040]  我們也都
[00:03:41.040 --> 00:03:42.640]  起碼近
[00:03:42.640 --> 00:03:44.120]  這十幾年我們沒有分裂
[00:03:44.120 --> 00:03:46.880]  是不是
[00:03:46.880 --> 00:03:48.400]  但是我們教會
