
[00:00:00.000 --> 00:00:03.180]  頂智慕而平安
[00:00:03.180 --> 00:00:06.800]  路加福音第十五章大家都很熟悉
[00:00:06.800 --> 00:00:10.300]  是耶穌對法律賽人私下議論
[00:00:10.300 --> 00:00:14.860]  祂接待罪人和罪人吃飯之後
[00:00:14.860 --> 00:00:17.600]  而說的三個比喻
[00:00:17.600 --> 00:00:19.480]  說完那個比喻大家最記得是不是
[00:00:19.480 --> 00:00:22.060]  浪子的比喻最後那個比喻
[00:00:22.060 --> 00:00:23.840]  之後聖經記載到
[00:00:23.840 --> 00:00:30.240]  耶穌又向門徒說了今天我們所選讀的比喻
[00:00:30.240 --> 00:00:34.280]  我們稱之為不義管家的比喻
[00:00:34.280 --> 00:00:38.840]  有些甚至標題叫聰明的管家等等
[00:00:38.840 --> 00:00:42.100]  祂又是不義但又是聰明
[00:00:42.100 --> 00:00:44.800]  這個比喻或者今天我們所選讀的經文
[00:00:44.800 --> 00:00:49.820]  所說的信息主耶穌是對門徒說的
[00:00:49.820 --> 00:00:51.960]  是主要對門徒說
[00:00:51.960 --> 00:00:55.120]  不過是不是只是他們聽呢
[00:00:55.120 --> 00:00:57.920]  不是的 你看回第十六章第十四節
[00:00:57.920 --> 00:00:59.540]  法律賽人聽完之後
[00:00:59.540 --> 00:01:02.040]  有些很不開心
[00:01:02.040 --> 00:01:03.480]  為什麼不開心呢
[00:01:03.480 --> 00:01:07.340]  因為他們是一班很貪愛錢財的人
[00:01:07.340 --> 00:01:08.720]  換言之沒錯
[00:01:08.720 --> 00:01:10.500]  主要對象是門徒
[00:01:10.500 --> 00:01:13.680]  但事實上當時很多人一起聽的
[00:01:13.680 --> 00:01:17.600]  因此今天我們所讀的經文
[00:01:17.600 --> 00:01:21.560]  我們所聽的道是對你和我說的
[00:01:21.560 --> 00:01:25.200]  因為我們都是主的門徒
[00:01:25.200 --> 00:01:28.220]  不義的管家這個比喻
[00:01:28.220 --> 00:01:35.440]  是其中一個很難解或者相對難解的一個比喻
[00:01:35.440 --> 00:01:38.740]  我們不要明白為什麼耶穌
[00:01:38.740 --> 00:01:44.620]  好像很評價那個不義的管家所做的事情是正面的
[00:01:44.620 --> 00:01:48.880]  甚至再引申 再教導多一點
[00:01:48.880 --> 00:01:51.760]  究竟主耶穌想吃著這個比喻
[00:01:51.760 --> 00:01:53.060]  對他的門徒
[00:01:53.060 --> 00:01:58.080]  對你和我今天有些什麼話呢
[00:01:58.080 --> 00:02:01.840]  先從比喻的背景開始
[00:02:01.840 --> 00:02:03.920]  這個比喻的背景是來自一字二字
[00:02:03.920 --> 00:02:08.240]  那裡說不忠不義的有權管家
[00:02:08.240 --> 00:02:12.000]  遇著一個不聞不問的有錢主人
[00:02:12.000 --> 00:02:13.800]  我給一個標題就是
