
[00:00:00.000 --> 00:00:02.220]  同志們好,我們一起來禱告
[00:00:02.220 --> 00:00:14.680]  非常感謝禰的愛,讓我們在當中,我們來自不同地方的同志們,被禰的愛所護照,我們來到教會里面
[00:00:14.680 --> 00:00:20.280]  求禰的聖道,禰的靈,在我們當中幫助我們
[00:00:20.280 --> 00:00:25.080]  讓我們今天在這個時候,我們每一個人的心都是渴望的
[00:00:25.080 --> 00:00:27.960]  我們每一個人都是追求的
[00:00:27.960 --> 00:00:31.580]  也是傾心的去聽禰的話語
[00:00:31.580 --> 00:00:39.420]  幫助孩子也是能夠清楚的,把禰當日在門徒裏面前所講的話,能夠講得清楚
[00:00:39.420 --> 00:00:42.020]  求禰的話語得教我們
[00:00:42.020 --> 00:00:46.120]  讓我們真的是整個生命都是來回應禰
[00:00:46.120 --> 00:00:49.080]  能夠過一個和禰喜悅的生命
[00:00:49.080 --> 00:00:52.480]  我們禱告封主名求,Amen
[00:00:52.480 --> 00:00:54.720]  今天講的經文很簡單
[00:00:54.720 --> 00:01:02.000]  就是在約翰福音第十七章,第十七到第十九節的經文
[00:01:02.000 --> 00:01:06.040]  整個約翰福音第十七章是一個禱告
[00:01:06.040 --> 00:01:09.720]  是主耶穌基督向天父的禱告
[00:01:09.720 --> 00:01:13.040]  我們稱之爲大智師的一個禱告
[00:01:13.040 --> 00:01:15.920]  與其他三卷福音書不同
[00:01:15.920 --> 00:01:19.240]  你會發現,約翰福音是沒有主禱文
[00:01:19.240 --> 00:01:22.640]  沒有主禱文,也沒有這個可信瑪利元的禱告
[00:01:22.640 --> 00:01:27.560]  對不對?你發現在弗雷福音,在馬可,馬太,路加福音
[00:01:27.560 --> 00:01:31.360]  就是出現這個可信瑪利元的禱告
[00:01:31.360 --> 00:01:36.920]  在耶穌被賣之前,約翰福音有一個非常特別的記載
[00:01:36.920 --> 00:01:43.040]  就是在整個約翰福音裏面唯一一個非常完整的一個禱告
[00:01:43.040 --> 00:01:47.560]  就是我們今天所看的第十七章裏面的禱告
[00:01:47.560 --> 00:01:52.720]  整個整章的禱告,就是被稱爲大智師的禱告
[00:01:52.720 --> 00:01:57.920]  這個禱告可以算是整個第十三到十七章裏面
[00:01:57.920 --> 00:02:02.280]  耶穌基督與門徒告別的一席話最後的一個部分
[00:02:02.280 --> 00:02:05.360]  耶穌被賣,然後從第十三章開始
[00:02:05.360 --> 00:02:09.040]  祂就一直很多的臨別的話跟祂的門徒說
[00:02:09.040 --> 00:02:14.200]  最後就是這個十七章裏面的一個最後的禱告
[00:02:14.200 --> 00:02:17.840]  然後到了十八章,耶穌就被賣了
[00:02:17.840 --> 00:02:26.560]  所以在整個約翰福音的最後晚餐這段臨別之言裏面
[00:02:26.560 --> 00:02:29.640]  我們就是會發現,如果我們把它分段的話
[00:02:29.640 --> 00:02:35.200]  你會發現這個大智師的禱告是屬於耶穌爲祂的人去禱告
[00:02:35.200 --> 00:02:39.120]  第一到第五節是禱告耶穌爲祂自己禱告
[00:02:39.120 --> 00:02:43.920]  然後到第六到第十九節,是耶穌爲祂的門徒來禱告
[00:02:43.920 --> 00:02:49.360]  從二十到二十六節,就是祂爲了一切所相信祂的人
[00:02:49.360 --> 00:02:52.880]  就是整個普世的教會來禱告
[00:02:52.880 --> 00:03:00.080]  今天我們就是談到耶穌爲門徒禱告的最後幾節的經文
[00:03:00.080 --> 00:03:07.040]  經文一開始這樣說,耶穌說求你用真理使他們成爲聖
[00:03:07.040 --> 00:03:10.920]  這個是耶穌對天父所求的一件事情
[00:03:10.920 --> 00:03:14.120]  首先我們要了解何謂聖,什麼是聖?
[00:03:14.120 --> 00:03:20.960]  我們在教會里面有很多聖字,聖經,聖父,聖子,聖靈,聖餐,聖殿
[00:03:20.960 --> 00:03:27.560]  聖什麼意思呢?誰覺得自己是聖徒的舉手,有沒有覺得自己是聖徒?
[00:03:27.560 --> 00:03:34.520]  有,我們都比較謙卑一點,我們都不覺得我們是聖徒,我們是信徒,我們是門徒
[00:03:34.520 --> 00:03:38.880]  我們就覺得聖就是特別厲害的一個字
[00:03:38.880 --> 00:03:42.800]  確實是,因爲聖就是一個分別出來的意思
[00:03:42.800 --> 00:03:49.680]  我不知道你怎麼理解,至少我們覺得聖是非常非常上帝的一個字
[00:03:49.680 --> 00:03:54.320]  聖不是我們本來本身配有的一個形容詞
[00:03:54.320 --> 00:04:01.320]  的確聖就是一個有關神的形容詞,它從來都是神所專用的
