
[00:00:00.000 --> 00:00:03.080]  今天很高興跟大家開始新的閱題
[00:00:03.080 --> 00:00:05.700]  關愛與團契
[00:00:05.700 --> 00:00:09.020]  同樣也是跟我們的年曆有關的
[00:00:09.020 --> 00:00:11.500]  我們的年曆在這裡
[00:00:11.500 --> 00:00:12.860]  不如大家也讀一次
[00:00:12.860 --> 00:00:13.660]  先提一提
[00:00:13.660 --> 00:00:16.180]  我怕過了五個月就快忘記了
[00:00:16.180 --> 00:00:17.600]  我們一起先讀年曆
[00:00:17.600 --> 00:00:18.820]  準備 1、2、3
[00:00:18.820 --> 00:00:24.340]  「心繫天國,背起十甲,進入社群」
[00:00:24.340 --> 00:00:26.800]  當我們經過了受苦至復活節
[00:00:26.800 --> 00:00:29.180]  我們看到耶穌如何背起十字架
[00:00:29.180 --> 00:00:31.180]  承擔了人類的罪債
[00:00:31.180 --> 00:00:34.620]  也背負了天父給他的使命
[00:00:34.620 --> 00:00:36.800]  我們又如何去效法基督
[00:00:36.800 --> 00:00:39.720]  背起十甲,進入社群呢?
[00:00:39.720 --> 00:00:41.280]  在這個五月和六月裡面
[00:00:41.280 --> 00:00:45.260]  有兩個對我們來說是大節
[00:00:45.260 --> 00:00:46.160]  甚麼節呢?
[00:00:46.160 --> 00:00:47.420]  母親節
[00:00:47.420 --> 00:00:48.380]  接著是父親節
[00:00:48.380 --> 00:00:51.140]  兩個相親的節日
[00:00:51.140 --> 00:00:53.540]  提醒我們要關愛第一個社群
[00:00:53.540 --> 00:00:54.460]  是我們的家庭
[00:00:54.460 --> 00:00:55.500]  是我們的家人
[00:00:55.500 --> 00:00:57.260]  當然不只是母親節或父親節
[00:00:57.260 --> 00:00:58.980]  才要關愛我們的父母
[00:00:58.980 --> 00:01:01.540]  也不是家庭當中只有父母
[00:01:01.540 --> 00:01:04.700]  我們在家人之間如何去相愛呢?
[00:01:04.700 --> 00:01:09.620]  如何繼續將基督的愛帶給我們的家人呢?
[00:01:09.620 --> 00:01:11.420]  這也是我們很重視的
[00:01:11.420 --> 00:01:12.720]  第二個社群是甚麼呢?
[00:01:12.720 --> 00:01:14.720]  第二個社群是我們的教會
[00:01:14.720 --> 00:01:17.060]  我們每個星期都一起聚集
[00:01:17.060 --> 00:01:20.660]  我們叫我們的教會的朋友
[00:01:20.660 --> 00:01:22.060]  叫「弟兄姊妹」
[00:01:22.060 --> 00:01:23.940]  都是我們屬靈的家人
[00:01:23.940 --> 00:01:25.940]  我們如何在這個家裡面
[00:01:25.940 --> 00:01:27.260]  去培育我們的愛呢?
[00:01:27.260 --> 00:01:30.040]  就是透過團契彼此相愛
[00:01:30.040 --> 00:01:32.040]  激發愛心、勉勵行善
[00:01:32.040 --> 00:01:34.660]  這就是團契存在的使命
[00:01:34.660 --> 00:01:36.060]  特別在上星期
[00:01:36.060 --> 00:01:40.060]  如果有人參加蔡振文、劉利雄的婚禮
[00:01:40.060 --> 00:01:41.060]  我都感受到
[00:01:41.060 --> 00:01:46.060]  原來我們教會是這麼愛護我們的弟兄姊妹
[00:01:46.060 --> 00:01:48.140]  好像自己的家人結婚一樣
[00:01:48.140 --> 00:01:51.940]  那份喜悅、那份愛
[00:01:51.940 --> 00:01:54.420]  在很多微小之間
[00:01:54.420 --> 00:01:56.780]  無論是食物、禮物
[00:01:56.780 --> 00:01:59.980]  或者一些我們的動作裡面
[00:01:59.980 --> 00:02:01.980]  去流露這份關愛
[00:02:01.980 --> 00:02:04.980]  而第三個我們要關愛的社群是甚麼呢?
[00:02:04.980 --> 00:02:06.980]  就是在我們這個社區
[00:02:06.980 --> 00:02:08.420]  在這個社區
[00:02:08.420 --> 00:02:10.980]  我們樓上的有榮輝大廈
[00:02:10.980 --> 00:02:11.780]  我們都很感謝主
[00:02:11.780 --> 00:02:15.780]  有些樓上的住戶都下來敬拜讚美神
[00:02:15.780 --> 00:02:17.060]  亦都在這裡的街坊
[00:02:17.060 --> 00:02:19.260]  我們就愛苗無倫天地
[00:02:19.260 --> 00:02:20.580]  透過不同的服侍
[00:02:20.580 --> 00:02:22.180]  去關愛這個社群
[00:02:22.180 --> 00:02:24.580]  今天亦都有浸會愛群的同工
[00:02:24.580 --> 00:02:26.260]  一會兒都有些分享
[00:02:26.260 --> 00:02:27.580]  和我們一起分享
[00:02:27.580 --> 00:02:29.260]  怎樣可以將這個愛
[00:02:29.260 --> 00:02:32.780]  去散發到更多有需要的群體裡面
[00:02:32.780 --> 00:02:37.260]  當我去想這個關愛與團契這個粵體
[00:02:37.260 --> 00:02:41.260]  這個就是我們弟兄姊妹幫我們設計的粵體海報
[00:02:41.260 --> 00:02:44.260]  用幾隻手指去表達了那份關愛
[00:02:44.260 --> 00:02:45.780]  那份團契
[00:02:45.780 --> 00:02:47.780]  我不斷去想關愛的時候
[00:02:47.780 --> 00:02:49.780]  我就不斷在浮現這段經文
[00:02:49.780 --> 00:02:51.780]  就是不要單顧自己的事
[00:02:51.780 --> 00:02:53.780]  也要顧別人的事
[00:02:53.780 --> 00:02:55.780]  不要單顧自己的事
[00:02:55.780 --> 00:02:57.780]  也要顧別人的事
[00:02:57.780 --> 00:03:00.780]  在這兩三個星期不斷流露著這段經文在我腦裡
[00:03:00.780 --> 00:03:02.780]  所以我都忍不住
[00:03:02.780 --> 00:03:05.780]  今天都要再和大家分享多一次這段經文
[00:03:05.780 --> 00:03:08.780]  其實如果大家有留心
[00:03:08.780 --> 00:03:10.780]  不知道這段經文來自哪裡
[00:03:10.780 --> 00:03:13.780]  來自肥辣比書二章三至四節
[00:03:13.780 --> 00:03:17.780]  其實我上年的八月份就分享過了
[00:03:17.780 --> 00:03:19.780]  一年都不夠又再分享多一次
[00:03:19.780 --> 00:03:22.780]  既然TVB都重播大時代了
[00:03:22.780 --> 00:03:25.780]  我就不再重播這段經文
[00:03:25.780 --> 00:03:26.780]  不過大家放心
[00:03:26.780 --> 00:03:28.780]  我不是再拿回八月那一篇
[00:03:28.780 --> 00:03:29.780]  再講多一次
[00:03:29.780 --> 00:03:31.780]  而是我在這兩三個星期
[00:03:31.780 --> 00:03:33.780]  對這段經文有些新的體會
[00:03:33.780 --> 00:03:35.780]  都很想和大家分享
[00:03:35.780 --> 00:03:38.780]  在經文之前我們先再讀一次
[00:03:38.780 --> 00:03:41.780]  特別上次我集中多一點講一二節
[00:03:41.780 --> 00:03:42.780]  我發覺
[00:03:42.780 --> 00:03:44.780]  今天我想多一點講三至四節
[00:03:44.780 --> 00:03:47.780]  所以我們今天就集中在第三和第四節
[00:03:47.780 --> 00:03:49.780]  我放了三個版本
[00:03:49.780 --> 00:03:52.780]  我們先讀傳統的黑色的和合本
[00:03:52.780 --> 00:03:54.780]  我們一起讀一二三
[00:03:54.780 --> 00:03:56.780]  凡事不可結黨
[00:03:56.780 --> 00:03:58.780]  不可貪圖虛浮的榮耀
[00:03:58.780 --> 00:04:00.780]  只要存心謙卑
[00:04:00.780 --> 00:04:03.780]  各人看別人比自己強
[00:04:03.780 --> 00:04:05.780]  各人不要單顧自己的事
[00:04:05.780 --> 00:04:07.780]  也要顧別人的事
[00:04:07.780 --> 00:04:09.780]  我們再有一個禱告
[00:04:09.780 --> 00:04:12.780]  慈悲我點火求你幫助我們
[00:04:12.780 --> 00:04:14.780]  讓我們預備我們的心靈
[00:04:14.780 --> 00:04:17.780]  去聆聽上主你的話語
[00:04:20.780 --> 00:04:23.780]  求聖靈開我們的耳朵
[00:04:23.780 --> 00:04:25.780]  開我們的心
[00:04:25.780 --> 00:04:27.780]  幫助我們讓上帝的話語
[00:04:27.780 --> 00:04:29.780]  透過你的僕人
[00:04:29.780 --> 00:04:31.780]  也求主你開我的口
[00:04:31.780 --> 00:04:33.780]  成為你流通的管子
[00:04:33.780 --> 00:04:35.780]  以致將你神的道
[00:04:35.780 --> 00:04:37.780]  透過我的嘴唇
[00:04:37.780 --> 00:04:41.780]  去墜入到每個弟兄姊妹的心靈當中
[00:04:41.780 --> 00:04:45.780]  求聖靈你也作轉化工作
[00:04:45.780 --> 00:04:47.780]  以致讓我們對關愛
[00:04:47.780 --> 00:04:50.780]  對主你給我們的愛
[00:04:50.780 --> 00:04:52.780]  有更深的體會
[00:04:52.780 --> 00:04:54.780]  我們不單是在頭腦上明白
[00:04:54.780 --> 00:04:57.780]  我們更加願意放入心裏
[00:04:57.780 --> 00:05:00.780]  以致轉化成為我們的生命見證
[00:05:00.780 --> 00:05:02.780]  無論在我們的家庭
[00:05:02.780 --> 00:05:04.780]  在我們的教會
[00:05:04.780 --> 00:05:06.780]  在我們的社區裏
[00:05:06.780 --> 00:05:08.780]  都要為主你作見證
[00:05:08.780 --> 00:05:10.780]  以致眾人就從我們的愛身上
[00:05:10.780 --> 00:05:13.780]  見到上帝你的美名
[00:05:13.780 --> 00:05:15.780]  以致將榮耀歸給你
[00:05:15.780 --> 00:05:17.780]  求你繼續帶領我們今天的時間
[00:05:17.780 --> 00:05:19.780]  奉耶穌基督的名求
[00:05:19.780 --> 00:05:21.780]  阿們
[00:05:45.780 --> 00:05:49.780]  馬其頓人呼召他到他們那邊
[00:05:49.780 --> 00:05:52.780]  原來那時馬其頓是歐洲的地方
