
[00:00:00.000 --> 00:00:02.760]  弟兄姊妹平安 早上好
[00:00:02.760 --> 00:00:08.720]  那麼很開心能夠再一次的在這裏跟大家一起分享神的話語
[00:00:08.720 --> 00:00:13.560]  那麼今天呢 我本來認爲這篇信息很簡單
[00:00:13.560 --> 00:00:16.360]  但是呢 越想越不簡單
[00:00:16.360 --> 00:00:21.000]  那麼就當做學習跟大家一起來分享
[00:00:21.000 --> 00:00:27.320]  那麼我想問一個問題就是我們到底需要多少
[00:00:27.320 --> 00:00:30.040]  這是一個很現實的社會
[00:00:30.040 --> 00:00:34.640]  這個是一個很現實的問題 是一個很認真的問題
[00:00:34.640 --> 00:00:37.960]  我想啊 上帝真的是很恩待我們
[00:00:37.960 --> 00:00:41.960]  因爲如果有人很認真的去計算的話
[00:00:41.960 --> 00:00:47.280]  我們會被我們所需要的金錢嚇了一大跳
[00:00:47.280 --> 00:00:51.720]  但是呢 我們的人生卻是能夠這樣的過
[00:00:51.720 --> 00:00:55.520]  就是說我們在生命裏面所領受的恩典
[00:00:55.520 --> 00:00:59.240]  是遠超過於我們所知道的
[00:00:59.240 --> 00:01:03.840]  其實我們需要的很多 但是上帝又給我們很多
[00:01:03.840 --> 00:01:06.280]  以致每個人都這樣的過
[00:01:06.280 --> 00:01:08.760]  這是不是一件很奇妙的事情啊
[00:01:08.760 --> 00:01:11.400]  其實我們不去想的時候我們不知道
[00:01:11.400 --> 00:01:15.120]  有去想的時候就覺得很驚人
[00:01:15.120 --> 00:01:19.320]  但是竟然能夠這樣的過一生
[00:01:19.320 --> 00:01:21.360]  生命本來就是一個恩典
[00:01:21.360 --> 00:01:24.840]  一個人的衣食住行到底怎麼樣
[00:01:24.840 --> 00:01:27.720]  那麼當然當我們清醒的時候我們就發現
[00:01:27.720 --> 00:01:30.720]  其實我們反省一下我們發現
[00:01:30.720 --> 00:01:34.960]  我們到底穿的衣服有幾件呢
[00:01:34.960 --> 00:01:38.960]  我不知道你啊 在我自己的衣櫃裏面呢
[00:01:38.960 --> 00:01:42.640]  我差不多來來去去就是那幾件
[00:01:42.640 --> 00:01:44.480]  比較喜歡穿的
[00:01:44.480 --> 00:01:48.280]  那麼開始全世界服飾之後
[00:01:48.280 --> 00:01:52.840]  我以前的那些的POLO SHIRT就發現很少穿了
[00:01:52.840 --> 00:01:55.680]  我就發現原來我在我的衣櫃裏面
[00:01:55.680 --> 00:01:59.920]  如果要搬家的話有些東西真的是可以捐出去的
[00:01:59.920 --> 00:02:01.440]  你有沒有這個經歷啊
[00:02:01.440 --> 00:02:04.040]  有啊 每個人都在點頭啊
[00:02:04.040 --> 00:02:08.400]  那麼喫東西呢我也發現也是一種習慣
[00:02:08.400 --> 00:02:10.840]  我跟我太太剛剛來香港的時候呢
[00:02:10.840 --> 00:02:12.840]  有一個很神奇的體會
[00:02:12.840 --> 00:02:17.360]  你知道嗎在東南亞我們喫東西呢
[00:02:17.360 --> 00:02:19.920]  是沒有香港喫那麼多的
[00:02:19.920 --> 00:02:24.400]  我們過來香港的時候呢隨便進去一間茶餐廳呢
[00:02:24.400 --> 00:02:26.240]  就你叫一份我叫一份
[00:02:26.240 --> 00:02:29.440]  我叫一份烏冬他也叫一份烏冬
[00:02:29.440 --> 00:02:31.400]  來了兩大碟烏冬
[00:02:31.400 --> 00:02:34.760]  我們看着那兩大碟烏冬都嚇了一跳
[00:02:34.760 --> 00:02:36.560]  這四個人喫的啊
[00:02:36.560 --> 00:02:38.200]  這四個人喫的啊
[00:02:38.200 --> 00:02:40.560]  那麼我們就怎麼辦呢
