
[00:00:00.000 --> 00:00:02.480]  再一次向各位弟兄姊妹們問安
[00:00:02.480 --> 00:00:05.420]  讓我們首先低頭祈禱
[00:00:05.420 --> 00:00:10.940]  先請我們感謝祢
[00:00:10.940 --> 00:00:15.700]  感謝祢讓我們能夠有機會到祢的殿裡去敬拜
[00:00:15.700 --> 00:00:18.600]  請我們知道我們的軟弱
[00:00:18.600 --> 00:00:22.200]  在剛才的敬拜裡面提醒我們很多
[00:00:22.200 --> 00:00:25.000]  讓聖靈繼續來感動我們
[00:00:25.000 --> 00:00:26.300]  帶領我們
[00:00:26.300 --> 00:00:30.200]  讓我們能夠明白、看到我們的本相
[00:00:30.200 --> 00:00:32.700]  更加看到上帝祢自己的恩惠
[00:00:32.700 --> 00:00:35.800]  願講的在這一刻
[00:00:35.800 --> 00:00:39.400]  講的和聽的都同夢你的月亮
[00:00:39.400 --> 00:00:41.800]  祈禱奉主耶穌基督的名而求
[00:00:41.800 --> 00:00:42.800]  阿門
[00:00:42.800 --> 00:00:46.400]  上個星期七月二十三日
[00:00:46.400 --> 00:00:49.700]  颱風衛森特襲港
[00:00:49.900 --> 00:00:56.400]  讓我們久違了的八號、九號壽風球一次過高高懸掛
[00:00:56.400 --> 00:00:59.100]  相信大家都有留意
[00:00:59.100 --> 00:01:02.100]  很多怨氣在那天發出
[00:01:02.100 --> 00:01:06.200]  看回新聞就知道因為大樹的倒塌
[00:01:06.200 --> 00:01:09.900]  所以港鐵有些電纜停了供電
[00:01:09.900 --> 00:01:14.300]  我們在新聞、電視、報紙上看到很多的
[00:01:14.300 --> 00:01:16.800]  滯留在車廂裡面
[00:01:16.800 --> 00:01:19.400]  滯留在大堂裡面的人
[00:01:19.400 --> 00:01:20.800]  在當中的鼓噪
[00:01:20.800 --> 00:01:25.900]  我當然明白有加歸不得那份淒涼
[00:01:25.900 --> 00:01:28.400]  但同時間我們也明白
[00:01:28.400 --> 00:01:29.600]  在九號風球
[00:01:29.600 --> 00:01:32.500]  究竟哪個地方才是最安全呢?
[00:01:32.500 --> 00:01:37.600]  在同一時間在桂林的機場有一件這樣的事蹟
[00:01:37.600 --> 00:01:42.200]  話說當日有一班飛機五點鐘飛回香港
[00:01:42.200 --> 00:01:44.800]  乘客三點鐘就已經到達機場
[00:01:44.800 --> 00:01:46.800]  看一看水牌
[00:01:46.800 --> 00:01:49.100]  咦!航機正上
[00:01:49.100 --> 00:01:50.500]  先不要問一問
[00:01:50.500 --> 00:01:53.100]  空姐的答覆是
[00:01:53.100 --> 00:01:55.900]  是的,會延遲到九點鐘才起機
[00:01:55.900 --> 00:01:58.500]  問一問可不可以先不入閘呢?
[00:01:58.500 --> 00:02:00.300]  可不可以先不過關呢?
[00:02:00.300 --> 00:02:03.800]  她說不行,你現在要先入閘
[00:02:03.800 --> 00:02:08.000]  因為我們會為你安排休息的地方
[00:02:08.000 --> 00:02:12.400]  於是只好入閘,只好過關
[00:02:12.400 --> 00:02:14.000]  去到的時候才發現
[00:02:14.000 --> 00:02:15.700]  原來所謂休息的地方
[00:02:15.700 --> 00:02:20.400]  只不過是平時的等候機室
[00:02:20.400 --> 00:02:26.000]  不斷等,但水牌仍然寫著正常
[00:02:26.000 --> 00:02:29.300]  大概八點多九點鐘就開始派飯
[00:02:29.300 --> 00:02:31.000]  當然心知不妙
[00:02:31.000 --> 00:02:33.200]  又再去延誤
[00:02:33.200 --> 00:02:37.000]  唯有繼續在等
[00:02:37.000 --> 00:02:40.700]  慢慢發現有些人有張煎的
[00:02:40.700 --> 00:02:43.900]  於是乘客就問服務員
[00:02:44.300 --> 00:02:48.300]  「我也想要煎,因為今晚不知道要等到幾點」
[00:02:48.300 --> 00:02:55.500]  答覆說已經派了給屬於旅行團的乘客
[00:02:55.500 --> 00:02:59.500]  於是有部分乘客當然鼓噪
[00:02:59.500 --> 00:03:01.100]  「為甚麼他們有我沒有?」
[00:03:01.100 --> 00:03:02.900]  很奇怪的事發生了
[00:03:02.900 --> 00:03:04.700]  當乘客不斷鼓噪的時候
[00:03:04.700 --> 00:03:07.900]  又可以多拿三、四張煎出來給你
[00:03:07.900 --> 00:03:10.600]  其他看到當然又鼓噪
[00:03:10.900 --> 00:03:15.300]  在大聲的爭吵過程中又可以多拿三、四張煎
[00:03:15.300 --> 00:03:20.300]  在這兩件事中不知道你有甚麼感受
[00:03:20.300 --> 00:03:24.300]  我幻想自己在這兩個情境中
[00:03:24.300 --> 00:03:28.700]  不知道自己會有甚麼反應
[00:03:28.700 --> 00:03:33.300]  又不知道自己會否像他們那樣鼓噪
[00:03:33.300 --> 00:03:36.900]  因為當在那個情況之中
[00:03:36.900 --> 00:03:39.900]  我不知道會否像在極桂林機場中學到一樣東西
[00:03:39.900 --> 00:03:41.500]  經驗告訴我
[00:03:41.500 --> 00:03:44.300]  原來我不鼓噪的時候
[00:03:44.300 --> 00:03:46.300]  有人當我無道
[00:03:46.300 --> 00:03:49.900]  當然這不能相提並論
[00:03:49.900 --> 00:03:52.900]  今天我和大家選擇的經文是
[00:03:52.900 --> 00:03:57.500]  《初一及記》第十六章二至四節和九至十五節
[00:03:57.500 --> 00:04:03.100]  這段經文也提到以色列民發怨言
[00:04:03.100 --> 00:04:06.900]  我記得在這裡也和大家分享過另一段經文
[00:04:06.900 --> 00:04:10.500]  也是以色列民在抗野大發怨言
[00:04:10.500 --> 00:04:16.900]  不過這段時間他們剛離開埃及不久
[00:04:16.900 --> 00:04:19.900]  我們一起讀出這段經文
[00:04:19.900 --> 00:04:27.300]  以色列全會眾在抗野向摩西和阿倫發怨言
[00:04:27.300 --> 00:04:29.500]  以色列人對他們說
[00:04:29.500 --> 00:04:33.900]  我們寧願在埃及地死在耶和華手中
[00:04:34.500 --> 00:04:38.700]  那時我們坐在浴窩旁吃餅得飽
[00:04:38.700 --> 00:04:42.700]  你們卻將我們領出來到這抗野
[00:04:42.700 --> 00:04:45.700]  要叫這全會眾都餓死
[00:04:45.700 --> 00:04:48.100]  耶和華對摩西說
[00:04:48.100 --> 00:04:52.100]  漢娜我要從天降食物給你們
[00:04:52.100 --> 00:04:56.900]  百姓可以出去每天搜集當天的份量
[00:04:56.900 --> 00:05:02.700]  這樣我就可以考驗他們是否遵從我的指示
[00:05:03.100 --> 00:05:04.700]  摩西對阿倫說
[00:05:04.700 --> 00:05:07.700]  你對以色列全會眾說
[00:05:07.700 --> 00:05:10.500]  你們來到耶和華面前
[00:05:10.500 --> 00:05:14.500]  因為他已經聽見你們的怨言了
[00:05:14.500 --> 00:05:18.900]  阿倫正對以色列全會眾說話的時候
[00:05:18.900 --> 00:05:21.300]  他們轉向抗野
[00:05:21.300 --> 00:05:25.700]  漢娜耶和華的榮光在雲中顯現
[00:05:25.700 --> 00:05:28.500]  耶和華吩咐摩西說
[00:05:28.500 --> 00:05:32.100]  我已經聽見以色列人的怨言了
[00:05:32.300 --> 00:05:34.100]  你要對他們說
[00:05:34.100 --> 00:05:37.900]  到黃昏的時候你們要吃肉
[00:05:37.900 --> 00:05:41.100]  早晨也必有食物得飽
[00:05:41.100 --> 00:05:45.700]  你們就知道我是耶和華你們的神
[00:05:45.700 --> 00:05:49.500]  到了晚上有鵪鶉上來
[00:05:49.500 --> 00:05:51.300]  遮滿營地
[00:05:51.300 --> 00:05:54.900]  早晨營地周圍有一層露水
[00:05:54.900 --> 00:05:57.700]  那層露水蒸發之後
[00:05:57.700 --> 00:06:01.900]  漢娜抗野的表面出現了小原物
[00:06:02.300 --> 00:06:05.100]  好像地上的薄霜一樣
[00:06:05.100 --> 00:06:07.100]  以色列人看見了
[00:06:07.100 --> 00:06:08.900]  不知道是什麼
[00:06:08.900 --> 00:06:11.900]  就彼此說這是什麼
[00:06:11.900 --> 00:06:13.900]  摩西對他們說
