
[00:00:00.000 --> 00:00:02.400]  弟兄姊妹想問大家一個問題
[00:00:02.400 --> 00:00:05.800]  如果你去問人一個問題的時候
[00:00:05.800 --> 00:00:09.800]  那個人他老是答非所問的來回應你
[00:00:09.800 --> 00:00:13.000]  你會有什麼反應
[00:00:13.000 --> 00:00:14.800]  會不會覺得很不耐煩
[00:00:14.800 --> 00:00:19.300]  以後就不再理你了 走了
[00:00:19.300 --> 00:00:24.100]  或者是以後都不想跟這樣的人來談話了 對嗎
[00:00:24.100 --> 00:00:26.000]  那耶穌他也很特別
[00:00:26.000 --> 00:00:28.400]  聖經有很多的地方就是說
[00:00:28.400 --> 00:00:30.000]  耶穌他回應人的時候
[00:00:30.000 --> 00:00:34.200]  往往是別人給他的回答
[00:00:34.200 --> 00:00:37.000]  他總是好像答非所問這樣子
[00:00:37.000 --> 00:00:39.800]  那比如有人來告訴他
[00:00:39.800 --> 00:00:44.100]  主耶穌 你的母親和弟弟來找你了
[00:00:44.100 --> 00:00:45.600]  然後他就回答
[00:00:45.600 --> 00:00:48.800]  誰是我的母親 誰是我的弟兄呢
[00:00:48.800 --> 00:00:53.400]  然後法利塞人的門徒和希律黨的人來問他
[00:00:53.400 --> 00:00:57.000]  納粹給凱撒可不可以呢
[00:00:57.000 --> 00:00:59.700]  然後耶穌的回答是
[00:00:59.700 --> 00:01:02.100]  凱撒的應當歸給凱撒
[00:01:02.100 --> 00:01:05.700]  神的應當歸給神
[00:01:05.700 --> 00:01:08.700]  到有一個律法師來問他的時候
[00:01:08.700 --> 00:01:11.300]  問他誰是我的靈聖呢
[00:01:11.300 --> 00:01:14.500]  然後耶穌不是直接的回應他的問題
[00:01:14.500 --> 00:01:16.400]  而是說了一個比喻
[00:01:16.400 --> 00:01:20.000]  然後反問他而不是直接回答
[00:01:20.000 --> 00:01:21.800]  那今天這段經文呢
[00:01:21.800 --> 00:01:25.000]  也再次出現類似的情況
[00:01:25.000 --> 00:01:27.500]  這個經文呢
[00:01:27.500 --> 00:01:30.300]  那個事件很簡單
[00:01:30.300 --> 00:01:33.300]  就是一個範堅吟的婦人被抓到了
[00:01:33.300 --> 00:01:36.000]  然後帶到耶穌的面前
[00:01:36.000 --> 00:01:36.500]  但是呢
[00:01:36.500 --> 00:01:39.900]  如果大家有留意剛纔讀的這段經文的話
[00:01:39.900 --> 00:01:44.100]  你會發現當中有幾個很奇特的地方
[00:01:44.100 --> 00:01:47.500]  我們一起來看一下
[00:01:47.500 --> 00:01:48.900]  首先呢
[00:01:48.900 --> 00:01:53.000]  就是經學家做了指控人
[00:01:53.000 --> 00:01:55.600]  經學家他應該是在聖殿
[00:01:55.600 --> 00:01:58.700]  或者是在會堂裏去做教導的工作的
[00:01:58.700 --> 00:01:59.700]  但是現在呢
[00:01:59.700 --> 00:02:03.600]  他們卻跑來控訴別人
[00:02:03.600 --> 00:02:06.300]  那如果他們抓到違法的人呢
[00:02:06.300 --> 00:02:11.000]  一般來說應該把他交給猶太人的長老處理
[00:02:11.000 --> 00:02:15.500]  因爲猶太人的長老的職責主要就是司法
[00:02:15.500 --> 00:02:19.800]  他們是律法和傳統解釋的監督人
[00:02:19.800 --> 00:02:24.300]  負責對違反的人施法或者是懲罰
[00:02:24.300 --> 00:02:27.200]  但是現在經學家不是在聖殿
[00:02:27.200 --> 00:02:28.100]  不是在會堂
[00:02:28.100 --> 00:02:30.800]  卻是跑他是在聖殿
[00:02:30.800 --> 00:02:33.800]  不過他卻來當不是做教導
[00:02:33.800 --> 00:02:36.800]  而是來當控訴人的工作
[00:02:36.800 --> 00:02:37.500]  第二點呢
[00:02:37.500 --> 00:02:41.200]  是僞善的法利塞人做了同謀
[00:02:41.200 --> 00:02:45.200]  法利塞人有一個很讓人反感的態度
[00:02:45.200 --> 00:02:51.800]  就是他們常常喜歡在老百姓的面前裝作敬虔的樣子
[00:02:51.800 --> 00:02:54.200]  他們還有一個騙人的陷阱
[00:02:54.200 --> 00:02:58.800]  就是有解解假冒僞善的外表啊
[00:02:58.800 --> 00:02:59.600]  最初呢
