
[00:00:00.000 --> 00:00:05.000]  今天我們開始《尼希米記》
[00:00:05.000 --> 00:00:12.000]  如果按照《希伯來文聖經》的編排
[00:00:12.000 --> 00:00:17.000]  歷代至上、下、以斯拉、尼希米記
[00:00:17.000 --> 00:00:24.000]  這三卷書是舊約當中最後的三卷書
[00:00:24.000 --> 00:00:34.000]  而這三卷書亦是整個歷史書的結語
[00:00:34.000 --> 00:00:42.000]  兩星期前,方先生已經跟我們講完以斯拉記
[00:00:42.000 --> 00:00:51.000]  所以今天就要開始講以斯列文回歸最後的段落
[00:00:51.000 --> 00:00:53.000]  尼希米記的部分
[00:00:53.000 --> 00:01:03.000]  正因為以斯拉和尼希米是屬於差不多的年代
[00:01:03.000 --> 00:01:07.000]  所以在希伯來文的正典當中
[00:01:07.000 --> 00:01:11.000]  將這兩卷書
[00:01:11.000 --> 00:01:15.000]  如果你再參考他們的《他納穆》
[00:01:15.000 --> 00:01:22.000]  又或者翻譯成為希臘文的《七十事譯本》
[00:01:22.000 --> 00:01:29.000]  以斯拉記和尼希米記是被合併為上下集
[00:01:29.000 --> 00:01:34.000]  而今天要跟大家繼續讀尼希米記
[00:01:34.000 --> 00:01:40.000]  幫助我們學習更新門徒使命的功課
[00:01:40.000 --> 00:01:44.000]  今天我們會先看尼希米記的第一章
[00:01:44.000 --> 00:01:46.000]  一至第十一節
[00:01:46.000 --> 00:01:49.000]  我們先讀一次
[00:01:49.000 --> 00:01:54.000]  哈加利亞的兒子尼希米的言語如下
[00:01:54.000 --> 00:01:56.000]  亞特什西王二十年
[00:01:56.000 --> 00:02:00.000]  既知留月我在書山城的宮中
[00:02:00.000 --> 00:02:03.000]  那時有我一個弟兄哈拿尼
[00:02:03.000 --> 00:02:06.000]  同著幾個人從猶大來
[00:02:06.000 --> 00:02:11.000]  我問他們那些被老歸回城下逃脫的猶大人
[00:02:11.000 --> 00:02:14.000]  和耶路撒冷的光景
[00:02:14.000 --> 00:02:15.000]  他們對我說
[00:02:15.000 --> 00:02:22.000]  那些被老歸回城下的人在猶大省遭大難受凌辱
[00:02:22.000 --> 00:02:25.000]  並且耶路撒冷的城牆拆毀
[00:02:25.000 --> 00:02:27.000]  城門被火焚燒
