
[00:00:00.000 --> 00:00:16.000]  當你見到癲狂,你會想到有些人的行為舉止,有些異常,精神狀態可能有些困難
[00:00:16.000 --> 00:00:30.000]  但如果我們用狂人這個描述,其實不少人被稱為狂人,特別是一些政治人物
[00:00:30.000 --> 00:00:48.000]  在二次世界大戰時,希特拉曾被稱為狂人,前利比亞領袖卡達菲亦被稱為狂人
[00:00:48.000 --> 00:01:00.000]  最近又發現,原來我們這些世代的政治領袖都有狂人,五個左右
[00:01:00.000 --> 00:01:24.000]  如果從頂部,順時針來看,第一個是俄羅斯總統普京,朝鮮北韓最高領導人金正恩,右下角是菲律賓總統杜特
[00:01:24.000 --> 00:01:39.000]  差一點,這個人上台三年多,我想大家都有印象,其實菲律賓的治安真的好一點
[00:01:39.000 --> 00:01:56.000]  也不是完全沒問題,不過的確有改善,這個人也挺厲害的,因為他在競選過程中曾經誇下海口
[00:01:56.000 --> 00:02:09.000]  他跟罪犯宣戰,你最好趁我還沒選上總統暗殺我,如果你被我選上,你死定了
[00:02:09.000 --> 00:02:28.000]  他跟菲律賓國民說,你們快點開多些殯儀館,因為你們生意會很好,這個就是杜特說話的模式,語出驚人
[00:02:28.000 --> 00:02:40.000]  另外兩個大家更加熟悉的,美國總統特朗普和剛剛當選英國首相的約翰遜
[00:02:40.000 --> 00:03:03.000]  今天不是跟大家講政治,不過聖經裡也有一位狂人,保羅,他不是政治人物,不過我相信他對於當世代,甚至對於現今的影響比起以上提過的政治狂人大得多,深遠得多
[00:03:03.000 --> 00:03:10.000]  他狂在哪裡呢?是因為他對於福音那種堅持和熱愛
[00:03:10.000 --> 00:03:25.000]  在上個星期就跟大家說到保羅被送到巡撫菲利斯面前要面對猶太人的指控
[00:03:25.000 --> 00:03:39.000]  菲利斯根本沒有心去審這件案子,於是他拖拖拉拉,結果搞了兩年
[00:03:39.000 --> 00:03:54.000]  在二十四章,其實他心裡在想什麼呢?那裡描述他希望保羅送他銀錢,希望透過審訊拿到油水
[00:03:54.000 --> 00:04:10.000]  結果下一任的巡撫菲利斯都接任,保羅沒辦法,又要面對新官上場,另外一輪的審訊
[00:04:10.000 --> 00:04:26.000]  但保羅仍然堅持,無論在猶太人面前,在羅馬的律法面前,他覺得自己沒有罪,於是他就要申訴,直接上訴該審
[00:04:26.000 --> 00:04:36.000]  在他還沒見到該審之前,二十六章前面,二十五章聖經就出了兩個人物
[00:04:36.000 --> 00:04:45.000]  一個是阿基帕王,另一個是伯尼基,阿基帕王是大希律的孫子
[00:04:45.000 --> 00:04:56.000]  當時他的政治地位相當高,可以和羅馬派來的總督平起平坐
[00:04:56.000 --> 00:05:12.000]  伯尼基是阿基帕王的妹妹,坊間所有人都知道,她結過兩次婚,和羅馬的皇帝提督是情婦
[00:05:12.000 --> 00:05:26.000]  而且她和哥哥阿基帕王有曖昧亂倫的關係,簡單來說就是亂七八糟
[00:05:26.000 --> 00:05:42.000]  相信大家都有印象,這裡是保羅第三次講他怎樣信耶穌,為什麼這麼沉悶呢?
[00:05:42.000 --> 00:05:49.000]  講完又講,講兩次還不夠,要講第三次,為什麼呢?其實想和我們講些什麼呢?
[00:05:49.000 --> 00:05:56.000]  我想請大家先聽我讀一讀第一至十一節的聖經
[00:05:56.000 --> 00:06:03.000]  經文這樣說,阿基帕對保羅說,准你為自己辯明
[00:06:03.000 --> 00:06:15.000]  於是保羅伸手分數說,阿基帕王,猶太人所告我的一切事,今天得在你面前分數,實為萬幸
[00:06:15.000 --> 00:06:23.000]  更可幸的是你熟悉猶太人的規矩和他們的辯論,所以求你耐心聽我
[00:06:23.000 --> 00:06:32.000]  我從起初在本國的民眾,並在耶路撒冷,自幼為人如何,猶太人都知道
[00:06:32.000 --> 00:06:42.000]  他們若肯作見證,就曉得我從起初是按著我們教宗最嚴謹的教門,作了法理賽引
[00:06:42.000 --> 00:06:49.000]  現在我站在這裡受審,是因為指望神向我們祖宗所應許的
[00:06:49.000 --> 00:06:56.000]  這應許,我們十二個支派,晝夜切切地侍奉神,都指望得著
