
[00:00:00.000 --> 00:00:02.000]  正在領受聖餐的時候
[00:00:02.000 --> 00:00:03.500]  唱首詩歌
[00:00:03.500 --> 00:00:06.400]  來就上主羔羊
[00:00:06.400 --> 00:00:09.400]  今次唱有一個新的感受
[00:00:09.400 --> 00:00:11.400]  講到之前分享少少
[00:00:11.400 --> 00:00:15.400]  這首詩歌很多時候我們會在報道會唱
[00:00:15.400 --> 00:00:16.900]  很熟
[00:00:16.900 --> 00:00:18.900]  但今日唱的時候
[00:00:18.900 --> 00:00:24.400]  當裡面的歌詞我細心去思想的時候
[00:00:24.400 --> 00:00:27.900]  主就藉著這些歌詞觸動我的心
[00:00:27.900 --> 00:00:30.900]  我們每個人來到這個羔羊面前
[00:00:30.900 --> 00:00:33.900]  我們沒有什麼可以依靠
[00:00:33.900 --> 00:00:36.900]  唯有主是因為他擺上的緣故
[00:00:36.900 --> 00:00:45.900]  其實這個羔羊也和我們這一季講出埃及記很有關係
[00:00:45.900 --> 00:00:50.900]  大家還記不記得前幾個禮拜講到愚節
[00:00:50.900 --> 00:00:53.900]  這個羔羊就是愚節的羔羊
[00:00:53.900 --> 00:00:59.900]  我們繼續進入今天的神話語當中
[00:00:59.900 --> 00:01:01.900]  請大家一起打開
[00:01:01.900 --> 00:01:03.900]  唐用聖經第106頁
[00:01:03.900 --> 00:01:05.900]  我們今天要讀的經文
[00:01:05.900 --> 00:01:11.900]  是在春埃及記第十六章一至十二節
[00:01:11.900 --> 00:01:18.900]  唐用聖經第106
[00:01:18.900 --> 00:01:22.900]  春埃及記第十六章一至十二節
[00:01:22.900 --> 00:01:28.900]  我將會用新葉本讀出
[00:01:28.900 --> 00:01:31.900]  以色列全體會眾從以臨起行
[00:01:31.900 --> 00:01:35.900]  在出埃及以後第二個月十五日
[00:01:35.900 --> 00:01:40.900]  來到以臨和西奈中間遜的抗耶那裡
[00:01:40.900 --> 00:01:45.900]  以色列全體會眾在抗耶都向摩西和亞倫發願言
[00:01:45.900 --> 00:01:47.900]  以色列人對他們說
[00:01:47.900 --> 00:01:52.900]  我們寧願在埃及坐地在浴窩旁邊吃飯
[00:01:52.900 --> 00:01:55.900]  吃到飽的時候死在耶和華的手裡
[00:01:55.900 --> 00:01:59.900]  你們都把我們領出來到這抗耶
[00:01:59.900 --> 00:02:04.900]  是要叫這全體會眾餓死我
[00:02:04.900 --> 00:02:05.900]  耶和華對摩西說
[00:02:05.900 --> 00:02:09.900]  看啊我要把糧食從天上降給你們
[00:02:09.900 --> 00:02:13.900]  人們可以出去每天收取當天的份量
[00:02:13.900 --> 00:02:17.900]  我好試驗他們是否遵從我的律法
[00:02:17.900 --> 00:02:21.900]  到了第六天他們把收進來的預備好
[00:02:21.900 --> 00:02:24.900]  比每天收取的多一倍
[00:02:24.900 --> 00:02:27.900]  摩西和亞倫對以色列眾人說
[00:02:27.900 --> 00:02:29.900]  今晚你們必定知道是耶和華
[00:02:29.900 --> 00:02:32.900]  把你們從埃及地領出來
[00:02:32.900 --> 00:02:35.900]  明早你們必定看見耶和華的榮耀
[00:02:35.900 --> 00:02:39.900]  因為耶和華聽見你們向他所發的願言了
[00:02:39.900 --> 00:02:43.900]  我們算什麼你們竟向我們發願言呢
[00:02:43.900 --> 00:02:44.900]  摩西又說
[00:02:44.900 --> 00:02:47.900]  耶和華晚上必給你們肉吃
[00:02:47.900 --> 00:02:50.900]  早晨必給你們食物吃飽
[00:02:50.900 --> 00:02:54.900]  因為耶和華聽見你們埋怨他所說的願言了
[00:02:54.900 --> 00:02:58.900]  我們算什麼你們的願言不是向我們發的
[00:02:58.900 --> 00:03:01.900]  而是向耶和華發的
[00:03:01.900 --> 00:03:03.900]  摩西對亞倫說
[00:03:03.900 --> 00:03:06.900]  你要對以色列全體會眾說
[00:03:06.900 --> 00:03:09.900]  你們走近耶和華面前
[00:03:09.900 --> 00:03:13.900]  因為他已經聽見了你們的願言了
[00:03:13.900 --> 00:03:16.900]  亞倫對以色列全體會眾說話的時候
[00:03:16.900 --> 00:03:19.900]  他們向著曠野觀望
[00:03:19.900 --> 00:03:23.900]  看見耶和華的榮耀在雲中顯現出來
[00:03:23.900 --> 00:03:25.900]  耶和華吩咐摩西說
[00:03:25.900 --> 00:03:29.900]  以色列人的願言我已經聽見了
[00:03:29.900 --> 00:03:30.900]  你告訴他們說
[00:03:30.900 --> 00:03:33.900]  黃昏的時候你們必吃肉
[00:03:33.900 --> 00:03:35.900]  早晨的時候必有食物吃飽
[00:03:35.900 --> 00:03:38.900]  這樣你們就知道
[00:03:38.900 --> 00:03:42.900]  我耶和華是你們的神鳥
[00:03:42.900 --> 00:03:44.900]  我們聖經打開
[00:03:44.900 --> 00:03:45.900]  我們已經直接禱告
[00:03:45.900 --> 00:03:46.900]  打我們的心
[00:03:46.900 --> 00:03:48.900]  一起領受主的話語
[00:03:48.900 --> 00:03:50.900]  天父願意這段經文
[00:03:50.900 --> 00:03:53.900]  我們看完節目可能都耳熟能詳
[00:03:53.900 --> 00:03:57.900]  求祢的聖靈再一次光照我們
[00:03:57.900 --> 00:04:01.900]  讓我們的心對照以色列人的心
[00:04:01.900 --> 00:04:03.900]  讓祢的聖靈可以工作
[00:04:03.900 --> 00:04:06.900]  我們將有一段時間的教導
[00:04:06.900 --> 00:04:08.900]  說的聽的
[00:04:08.900 --> 00:04:10.900]  我們都願意信服在這個話語底下
[00:04:10.900 --> 00:04:12.900]  奉主耶穌的名下
[00:04:12.900 --> 00:04:13.900]  阿們
[00:04:33.900 --> 00:04:36.900]  當神聽到以色列人的呼求的時候
[00:04:36.900 --> 00:04:40.900]  就派摩西到埃及的法老王面前
[00:04:40.900 --> 00:04:42.900]  做什麼呢
[00:04:42.900 --> 00:04:47.900]  請求法老王讓以色列人離開埃及
[00:04:47.900 --> 00:04:49.900]  當時聖經告訴我們
[00:04:49.900 --> 00:04:52.900]  埃及的以色列人的苦況
[00:04:52.900 --> 00:04:54.900]  向神去呼求的時候
[00:04:54.900 --> 00:04:56.900]  神就聽了他們的話
[00:04:56.900 --> 00:04:58.900]  於是就派摩西去
[00:04:58.900 --> 00:05:03.900]  經過那幾張書裡面多番的角力
[00:05:03.900 --> 00:05:05.900]  經過九個災禍
[00:05:05.900 --> 00:05:09.900]  又經過法老多次的深硬又改變主意
[00:05:09.900 --> 00:05:11.900]  又深硬又改變主意
[00:05:11.900 --> 00:05:14.900]  直至到第十個災禍
[00:05:14.900 --> 00:05:17.900]  在如意節裡面
[00:05:17.900 --> 00:05:19.900]  埃及的長子被擊殺之後
[00:05:19.900 --> 00:05:21.900]  終於
[00:05:21.900 --> 00:05:24.900]  法老就願意放人
[00:05:24.900 --> 00:05:28.900]  以色列人就浩浩蕩蕩離開埃及
[00:05:28.900 --> 00:05:30.900]  當時的場面真的很偉大
[00:05:30.900 --> 00:05:31.900]  如果你想像一下
