
[00:00:00.000 --> 00:00:06.360]  我們這個聖經可信媽系列已經講到第四講
[00:00:06.360 --> 00:00:10.200]  第一講我們說聖經是否真是神的話語呢
[00:00:10.200 --> 00:00:11.240]  我們說是
[00:00:11.240 --> 00:00:15.640]  是神將祂自己彰顯出來讓我們認識祂
[00:00:15.640 --> 00:00:18.440]  第二講我們說既然是這樣
[00:00:18.440 --> 00:00:22.640]  神怎樣將這些啟示傳達給作者
[00:00:22.640 --> 00:00:24.560]  這個就是神的密示
[00:00:24.560 --> 00:00:28.360]  神怎樣密示聖經給作者
[00:00:28.360 --> 00:00:30.360]  上一次我們說了
[00:00:30.360 --> 00:00:34.440]  如果聖經真是神所密示應該是沒有錯的
[00:00:34.440 --> 00:00:37.640]  原稿的聖經是沒有錯
[00:00:37.640 --> 00:00:41.760]  我們說的確原稿的聖經是沒有錯
[00:00:41.760 --> 00:00:43.720]  今天要和大家講的是
[00:00:43.720 --> 00:00:47.160]  我們手上的聖經是怎樣得來
[00:00:47.160 --> 00:00:51.800]  這個也包括了文氏抄寫聖經
[00:00:51.800 --> 00:00:54.240]  我們說原稿是沒有錯
[00:00:54.240 --> 00:00:56.920]  那文氏抄寫又有沒有錯呢
[00:00:56.920 --> 00:01:01.040]  我們今天就會來看這個問題
[00:01:01.040 --> 00:01:03.080]  聖經是甚麼
[00:01:03.080 --> 00:01:09.240]  聖經是由希臘文bliblos這個字來的
[00:01:09.240 --> 00:01:15.720]  bliblos這個字就是所有抄寫在蒲草紙上的文件
[00:01:15.720 --> 00:01:17.440]  都叫做bliblos
[00:01:17.440 --> 00:01:21.520]  你將這些蒲草紙的文件集合在一起
[00:01:21.520 --> 00:01:23.240]  變成一本書
[00:01:23.240 --> 00:01:27.840]  這個就變成了希臘文的bliblion這個字
[00:01:27.840 --> 00:01:30.200]  bliblion只是一本書
[00:01:30.200 --> 00:01:34.640]  我們知道我們手上的聖經有很多本書卷
[00:01:34.640 --> 00:01:37.280]  所以其實應該叫做bliblia
[00:01:37.280 --> 00:01:42.880]  所以這個就是聖經這個字bliblia
[00:01:42.880 --> 00:01:48.520]  其實猶太人在耶穌基督來世之前
[00:01:48.520 --> 00:01:53.400]  已經叫他們的聖經做the books 從書
[00:01:53.400 --> 00:01:56.080]  就是bliblia這個字
