
[00:00:00.000 --> 00:00:01.000]  梁姐妹平安
[00:00:01.000 --> 00:00:06.000]  還記不記得剛才我們讀《思路行轉》的時候
[00:00:06.000 --> 00:00:09.000]  開始的時候提到一個地方名
[00:00:09.000 --> 00:00:12.000]  那個地方名有一點點陌生
[00:00:12.000 --> 00:00:14.000]  但是又好像很熟悉
[00:00:14.000 --> 00:00:18.000]  我們試試看回經課裡面的《思路行轉》
[00:00:18.000 --> 00:00:21.000]  第八章二十六節
[00:00:21.000 --> 00:00:26.000]  八章二十六節這裡說
[00:00:26.000 --> 00:00:29.000]  有一個主的使者對肥理說
[00:00:30.000 --> 00:00:31.000]  起來向南走
[00:00:31.000 --> 00:00:35.000]  往耶路撒冷下加撒的路上去
[00:00:35.000 --> 00:00:39.000]  那個又熟悉
[00:00:39.000 --> 00:00:41.000]  又有些陌生的名字
[00:00:41.000 --> 00:00:43.000]  很可能就是加撒
[00:00:43.000 --> 00:00:45.000]  因為耶路撒冷應該大家都很熟悉
[00:00:45.000 --> 00:00:48.000]  加撒如果用另外一個翻譯
[00:00:48.000 --> 00:00:50.000]  大家就很熟悉了
[00:00:50.000 --> 00:00:52.000]  就是加沙
[00:00:52.000 --> 00:00:54.000]  為什麼大家會熟悉加沙呢
[00:00:54.000 --> 00:00:58.000]  因為加沙在這段日子裡面
[00:00:59.000 --> 00:01:01.000]  在傳媒上面經常出現這個名字
[00:01:01.000 --> 00:01:06.000]  為什麼傳媒會這麼留意這個地方的名字呢
[00:01:06.000 --> 00:01:09.000]  就是因為去年十月的時候
[00:01:09.000 --> 00:01:14.000]  在加沙有武裝分子出來攻擊以色列的南部
[00:01:14.000 --> 00:01:17.000]  並且擄掠了人質
[00:01:17.000 --> 00:01:20.000]  於是以色列軍隊攻入加沙
[00:01:20.000 --> 00:01:24.000]  這個慘酷的戰爭到現在還沒結束
[00:01:24.000 --> 00:01:28.000]  如果今天有人邀請你去加沙
[00:01:29.000 --> 00:01:31.000]  你去不去呢
[00:01:31.000 --> 00:01:35.000]  其實也不用擔心
[00:01:35.000 --> 00:01:39.000]  因為一般人根本就不太方便去到加沙
[00:01:39.000 --> 00:01:42.000]  自從2007年開始
[00:01:42.000 --> 00:01:45.000]  以色列已經嚴密封鎖加沙
[00:01:45.000 --> 00:01:48.000]  而另外一邊的埃及
[00:01:48.000 --> 00:01:53.000]  也封鎖了南面下去埃及的路
[00:01:53.000 --> 00:01:58.000]  所以加沙這個地方成為了一個封閉的地區
[00:01:59.000 --> 00:02:01.000]  那裡的居民生活艱苦
[00:02:01.000 --> 00:02:05.000]  經常都是只有依靠國際救援
[00:02:05.000 --> 00:02:10.000]  那裡是一個沒有人能夠自由出入的地方
[00:02:10.000 --> 00:02:14.000]  而一般人也不會走去那個地方
[00:02:14.000 --> 00:02:17.000]  不過剛才我們讀了經文
[00:02:17.000 --> 00:02:20.000]  你又會發現曾幾何時
[00:02:20.000 --> 00:02:24.000]  那裡似乎是一個自由出入的地方
[00:02:25.000 --> 00:02:29.000]  是一條南北經常用的通道
[00:02:29.000 --> 00:02:33.000]  所以它有另一個名字
[00:02:33.000 --> 00:02:36.000]  除了因為地形似之外
[00:02:36.000 --> 00:02:39.000]  它另一個名字叫做加沙走廊
[00:02:39.000 --> 00:02:43.000]  我們看回試圖行轉這個故事
[00:02:43.000 --> 00:02:46.000]  看看它曾經是一個怎樣的走廊
[00:02:46.000 --> 00:02:49.000]  第27節
[00:02:49.000 --> 00:02:51.000]  有一個伊索匹亞人
[00:02:51.000 --> 00:02:53.000]  是一個有大權的太監
[00:02:54.000 --> 00:02:57.000]  伊索匹亞女王甘大基的手下總管銀庫
[00:02:57.000 --> 00:03:00.000]  她想耶路撒冷禮拜去了
[00:03:00.000 --> 00:03:03.000]  現在回來在車上坐著
[00:03:03.000 --> 00:03:06.000]  念先知已在下的書
[00:03:06.000 --> 00:03:09.000]  為什麼會有一位伊索匹亞的太監
[00:03:09.000 --> 00:03:13.000]  在這條往加沙的路上面出現呢
[00:03:13.000 --> 00:03:17.000]  伊索匹亞我們的和修館
[00:03:17.000 --> 00:03:19.000]  就譯為埃塞俄比亞
[00:03:20.000 --> 00:03:24.000]  但其實它又不是完全是現在的埃塞俄比亞共和國
[00:03:24.000 --> 00:03:27.000]  它可能是舊約古實的所在地
[00:03:27.000 --> 00:03:30.000]  在埃及的南邊和蘇丹的北部
[00:03:30.000 --> 00:03:35.000]  相傳在所羅門王年代
[00:03:35.000 --> 00:03:39.000]  有一個士巴女王來拜訪所羅門
[00:03:39.000 --> 00:03:44.000]  相傳那個士巴女王就是在這個地區來的
[00:03:44.000 --> 00:03:48.000]  經文說她去耶路撒冷禮拜
[00:03:49.000 --> 00:03:51.000]  現在回去了
[00:03:51.000 --> 00:03:54.000]  為什麼會有一個人在伊索匹亞這麼遠
[00:03:54.000 --> 00:03:56.000]  來耶路撒冷禮拜呢
[00:03:56.000 --> 00:04:01.000]  這個故事很可能是要回到
[00:04:01.000 --> 00:04:04.000]  以色列和猶大曾經被
[00:04:04.000 --> 00:04:09.000]  亞述和巴比倫攻打
[00:04:09.000 --> 00:04:11.000]  並且消滅的時候
[00:04:11.000 --> 00:04:13.000]  那裡的人要四散
