
[00:00:00.000 --> 00:00:03.200]  各位弟兄姊妹、朋友 你們好
[00:00:03.200 --> 00:00:08.140]  很高興再次來到大家當中 來分享神的話語
[00:00:08.140 --> 00:00:12.600]  過去那幾天 明尼蘇塔的天氣開始回暖
[00:00:12.600 --> 00:00:15.600]  都感覺到春天和秋天的感覺
[00:00:15.600 --> 00:00:18.740]  我有時候在後院開始做一下後院的工作
[00:00:18.740 --> 00:00:23.220]  清一下樹葉、花草 要開始整理一下
[00:00:23.220 --> 00:00:26.060]  在街邊那裏都開始見到
[00:00:26.060 --> 00:00:30.120]  有人騎單車和跑步
[00:00:30.120 --> 00:00:33.800]  當我見到這個景象 就想起游泳
[00:00:33.800 --> 00:00:37.180]  起碼我的兒子也很喜歡游泳
[00:00:37.180 --> 00:00:41.960]  我們就會想起一些 三項鐵人賽
[00:00:41.960 --> 00:00:45.960]  我們如果留意 其實香港、明尼蘇塔
[00:00:45.960 --> 00:00:49.420]  都有三項鐵人比賽 鐵人的賽事
[00:00:49.420 --> 00:00:55.040]  他們是會先游泳2.4英里
[00:00:55.040 --> 00:00:57.500]  然後112英里騎單車
[00:00:57.500 --> 00:01:01.380]  最後就用跑步的形式來完成
[00:01:01.380 --> 00:01:04.000]  我們都開始 這些天氣
[00:01:04.000 --> 00:01:08.420]  明尼蘇塔的天氣都是非常適合做這個三項鐵人賽
[00:01:08.420 --> 00:01:11.480]  但是如果我們看回這個三項鐵人賽
[00:01:11.480 --> 00:01:16.380]  他們之間 從一項項目到第二項
[00:01:16.380 --> 00:01:18.940]  和第二項和第三項之間
[00:01:18.940 --> 00:01:21.980]  都有一個的transition zone
[00:01:21.980 --> 00:01:25.300]  就是換衣服的地方 裝備的地方
[00:01:25.300 --> 00:01:27.740]  或者叫做exchange zone
[00:01:27.740 --> 00:01:32.580]  他們在那裡游泳後就可以換上跑鞋
[00:01:32.580 --> 00:01:36.300]  戴上頭盔 穿上衣服就去游泳
[00:01:36.300 --> 00:01:38.920]  從游泳轉去騎單車
[00:01:38.920 --> 00:01:48.840]  然後單車和跑步都有類似的換衣服的地方
[00:01:48.840 --> 00:01:53.640]  在過去的一個月多
[00:01:53.640 --> 00:01:57.540]  其實我們的生活都有一些類似的情況
[00:01:57.540 --> 00:02:01.900]  我們的生活秩序被顛倒
[00:02:01.900 --> 00:02:03.980]  我們的節奏有所改變
[00:02:03.980 --> 00:02:06.940]  好像游泳和騎單車那樣
[00:02:06.940 --> 00:02:13.120]  中間我們有一個銜接期 有一個適應期
[00:02:13.120 --> 00:02:15.760]  好像圖上黃色的部分一樣
[00:02:15.760 --> 00:02:20.020]  接著剛剛那幾天 我們的民宿的州長就說
[00:02:20.020 --> 00:02:25.680]  明天星期一有些員工就可以上班了
[00:02:25.680 --> 00:02:31.060]  但是我們都要保持社交隔離的距離
[00:02:31.060 --> 00:02:35.360]  無論怎樣都好 我們從一個生活的形式
[00:02:35.360 --> 00:02:39.560]  去另一個生活的形式 中間有一個轉折的時間
[00:02:39.560 --> 00:02:42.500]  我們在過去的六個星期當中
[00:02:42.500 --> 00:02:46.860]  六、七個星期當中 我們很多時候留在家裡
[00:02:46.860 --> 00:02:49.560]  我們都有一個適應的時間
[00:02:49.560 --> 00:02:54.460]  去適應我們留在家中的生活
[00:02:54.460 --> 00:02:56.060]  好像我們教會一樣
[00:02:56.060 --> 00:03:01.040]  教會以前都在教會的禮堂裡面
[00:03:01.040 --> 00:03:02.720]  這個禮堂裡面一起崇拜
[00:03:02.720 --> 00:03:04.720]  接著一起上主日學
[00:03:04.720 --> 00:03:09.100]  過去那幾個星期 我們都是從網上的形式進行
[00:03:09.100 --> 00:03:12.340]  在這段等候的期間
[00:03:12.340 --> 00:03:15.400]  這段等候期間 真是神都有他的一定的
[00:03:15.400 --> 00:03:19.680]  去思考神的意思是什麽
[00:03:19.680 --> 00:03:28.840]  《但義利書》是寫在主前大約530年前的時候
[00:03:28.840 --> 00:03:33.540]  是但義利寫給秘魯的猶太人
[00:03:33.540 --> 00:03:37.340]  他們在主前605年的時候
[00:03:37.340 --> 00:03:43.140]  但義利和他的三位朋友和一些皇親國戚
[00:03:43.140 --> 00:03:46.500]  被尼泊爾加利薩擄到巴比倫城
[00:03:46.500 --> 00:03:50.140]  過了接近60多70年
[00:03:50.140 --> 00:03:53.580]  但義利就寫了這本書
