
[00:00:00.000 --> 00:00:02.000]  南法堂的弟子會早晨
[00:00:02.000 --> 00:00:06.320]  在此先代表九門合一堂向大家問安
[00:00:06.320 --> 00:00:11.600]  願上主的平安、喜樂及盼望常以你們屠宰
[00:00:11.600 --> 00:00:15.920]  今天是廢棄堂的敬老主日
[00:00:15.920 --> 00:00:21.920]  我特別揀選了利美記第十九章與大家分享
[00:00:21.920 --> 00:00:29.680]  利美記充滿著各式各樣的律例、律法
[00:00:30.240 --> 00:00:35.840]  不過它所強調的並不是律例條本的本身
[00:00:35.840 --> 00:00:40.160]  而是上帝的恩慈及公義
[00:00:40.160 --> 00:00:44.560]  說明指明為何要守律法
[00:00:44.560 --> 00:00:48.640]  因為以聖列人遵守律法
[00:00:48.640 --> 00:00:53.360]  就可以活在上帝的聖約及慈愛之中
[00:00:54.640 --> 00:01:00.880]  利美記告訴我們崇拜、獻祭都要出於真誠
[00:01:00.880 --> 00:01:05.520]  上帝的指明要博聖潔的生活
[00:01:05.520 --> 00:01:07.840]  一而你必知
[00:01:07.840 --> 00:01:13.200]  利美記的主題就是「當愛主,利益上帝」
[00:01:13.200 --> 00:01:17.360]  「明要愛倫社,如同事己」
[00:01:19.840 --> 00:01:27.840]  整章第十九章的大題目就是「誠信及公義的條例」
[00:01:27.840 --> 00:01:38.880]  整章都是提供給以聖列人在日常生活中學習誠信、公義的使用
[00:01:38.880 --> 00:01:43.440]  為何上帝要如此清楚、逐項逐項
[00:01:43.440 --> 00:01:51.200]  甚至如我們這麼沉醉地說明所有的聖節呢?
[00:01:51.200 --> 00:01:58.640]  是因為上帝要帶領以聖列人進入應許之地
[00:01:58.640 --> 00:02:03.440]  應許之地就是迦南地
[00:02:03.440 --> 00:02:06.000]  迦南地住了甚麼人呢?
[00:02:06.000 --> 00:02:12.720]  迦南地住的是亞馬列人、比利西人、耶布斯人
[00:02:13.520 --> 00:02:18.960]  他們的生活方式和宗教習俗都比較混亂
[00:02:18.960 --> 00:02:22.880]  甚至我們說是「淫亂」
[00:02:22.880 --> 00:02:28.160]  男女關係、家庭關係都欠缺均法
[00:02:28.160 --> 00:02:35.840]  所以利美記的律例就是來警告、甚至提醒以聖列人
[00:02:35.840 --> 00:02:39.040]  當你進入迦南的時候
[00:02:39.520 --> 00:02:46.400]  不要被這些異教囚犯、不要跟從他們的行為
[00:02:46.400 --> 00:02:54.400]  首先我們會很粗心地看第十九章一至三十七節
[00:02:54.400 --> 00:02:59.360]  然後我們再集中處理第三十二節
[00:02:59.360 --> 00:03:06.000]  十九章全章可以說是十誡的長序版
[00:03:06.720 --> 00:03:10.400]  也和上帝頒佈十誡的目的是一樣
[00:03:10.400 --> 00:03:14.240]  就是幫助以色人歸向上帝
[00:03:14.240 --> 00:03:18.160]  在賣迷中做上帝的使物
[00:03:18.160 --> 00:03:21.280]  第一至第四節
[00:03:21.280 --> 00:03:25.120]  上帝就吩咐摩西道的全知識領會中黨
