
[00:00:00.000 --> 00:00:03.760]  大家讀一下《但以理書》的第一章
[00:00:03.760 --> 00:00:07.520]  剛剛就是第八到第十六節
[00:00:07.520 --> 00:00:10.000]  接下來
[00:00:10.000 --> 00:00:12.960]  差不多每一次我負責
[00:00:12.960 --> 00:00:16.160]  在《珍貴勁擺》分享信息的時候
[00:00:16.160 --> 00:00:18.160]  我都會和大家分享《但以理書》
[00:00:18.160 --> 00:00:18.880]  為什麼呢?
[00:00:18.880 --> 00:00:22.320]  因為在接下來的《即稱團契》
[00:00:22.320 --> 00:00:24.960]  我們有幾個月的主題
[00:00:24.960 --> 00:00:29.760]  都是和職場裡面一些的抉擇有關係的
[00:00:29.840 --> 00:00:31.600]  有不同的抉擇
[00:00:31.600 --> 00:00:35.680]  所以在這些小組的聚會裡面
[00:00:35.680 --> 00:00:38.160]  我會有不同的經文和大家分享
[00:00:38.160 --> 00:00:39.920]  但是當我們一起的時候
[00:00:39.920 --> 00:00:43.440]  我就會帶領大家去讀《但以理書》
[00:00:43.440 --> 00:00:45.200]  從《但以理》
[00:00:45.200 --> 00:00:48.160]  待會大家會明白為什麼要選這本書
[00:00:48.160 --> 00:00:49.920]  就從他的經歷
[00:00:49.920 --> 00:00:55.200]  以及他給我們一些所謂的榜樣
[00:00:55.200 --> 00:00:56.960]  去思考一下
[00:00:56.960 --> 00:00:58.640]  在一個職場裡面
[00:00:58.640 --> 00:01:00.160]  作為一個基督徒
[00:01:00.160 --> 00:01:02.800]  應該怎麼去面對種種的挑戰呢?
[00:01:02.800 --> 00:01:07.120]  是不是一個堅守信仰立場的人
[00:01:07.120 --> 00:01:09.360]  他只可以在他的工作裡面
[00:01:09.360 --> 00:01:14.320]  去到一些位置
[00:01:14.320 --> 00:01:15.600]  就會停下來
[00:01:15.600 --> 00:01:17.040]  不可以再上去呢?
[00:01:17.040 --> 00:01:18.720]  如果不耍手段的話
[00:01:18.720 --> 00:01:20.240]  是不是就沒有機會呢?
[00:01:20.240 --> 00:01:21.680]  告訴大家
[00:01:21.680 --> 00:01:23.280]  但以理
[00:01:23.280 --> 00:01:26.160]  做一個國家的 CEO
[00:01:26.160 --> 00:01:28.160]  在他之上就是一個皇帝
[00:01:28.480 --> 00:01:31.680]  但是他也不是從頭到尾都這麼幸運
[00:01:31.680 --> 00:01:34.400]  他做過在監獄裡面的監等
[00:01:34.400 --> 00:01:35.840]  大家想一下
[00:01:35.840 --> 00:01:38.800]  到了這樣的位置有什麼好呢?
[00:01:38.800 --> 00:01:41.520]  但是他也可以在監獄裡面
[00:01:41.520 --> 00:01:45.920]  做到獄長也不會理會他發生什麼事
[00:01:45.920 --> 00:01:49.440]  就負責去看所有的囚犯
[00:01:49.440 --> 00:01:52.320]  是一個很奇怪的人
[00:01:52.320 --> 00:01:55.440]  無論是人生最有趣的時候
[00:01:55.440 --> 00:01:57.520]  或者是最差的時候
[00:01:57.520 --> 00:02:00.160]  我想你也不會差到要坐牢
[00:02:00.160 --> 00:02:02.560]  但是他就是一個這樣的環境
[00:02:02.560 --> 00:02:04.320]  而且是一個冤獄
[00:02:04.320 --> 00:02:07.120]  所以大家可以想像一下
[00:02:07.120 --> 00:02:10.160]  在人生的高處或者低處的時候
[00:02:10.160 --> 00:02:12.240]  但以理那種對於信仰
[00:02:12.240 --> 00:02:14.960]  對於神的所謂堅持
[00:02:14.960 --> 00:02:19.120]  讓他可以跨越了很多不同的人生的境界
[00:02:19.120 --> 00:02:21.760]  我相信也是給我們很多的挑戰
[00:02:21.760 --> 00:02:26.960]  因為我知道不是所有的弟兄姊妹在這裡
[00:02:26.960 --> 00:02:28.240]  都是參與職稱
[00:02:28.240 --> 00:02:31.840]  我就在這幾個月裡面
[00:02:31.840 --> 00:02:33.520]  給了職稱團體
[00:02:33.520 --> 00:02:37.760]  他們看一下接下來的聚會的編排
[00:02:37.760 --> 00:02:41.680]  在編排裡面我給了他們一句話
[00:02:41.680 --> 00:02:43.520]  是來自台灣的一本書
[00:02:43.520 --> 00:02:45.600]  叫做《職場新抉擇》
[00:02:45.600 --> 00:02:50.960]  裡面有一段我叫做職場的真言
[00:02:50.960 --> 00:02:54.640]  是講出了很多在做事裡面的人的一些心聲
[00:02:54.640 --> 00:02:58.080]  大家聽聽你會不會也有認同
[00:02:58.080 --> 00:02:59.840]  這個心聲是什麼呢?
