
[00:00:00.000 --> 00:00:03.760]  《士司記》第七章
[00:00:03.760 --> 00:00:05.840]  我們上一次講到基甸
[00:00:05.840 --> 00:00:07.560]  剛剛出現的時候
[00:00:07.560 --> 00:00:09.360]  她是完全沒有信心
[00:00:09.360 --> 00:00:10.720]  很害怕
[00:00:10.720 --> 00:00:14.480]  躲在酒炸裡打蜜紙
[00:00:14.480 --> 00:00:18.140]  神要她變成一個大能的勇士
[00:00:18.140 --> 00:00:19.800]  怎能夠改變她呢?
[00:00:19.800 --> 00:00:22.680]  我們上次說是透過兩個祭壇
[00:00:22.680 --> 00:00:25.480]  第一個祭壇是她自己和神
[00:00:25.480 --> 00:00:27.240]  個人的關係
[00:00:27.240 --> 00:00:29.520]  她首先要認識神
[00:00:29.520 --> 00:00:33.080]  要知道和她說話的真是神自己
[00:00:33.080 --> 00:00:35.120]  以致她能夠相信
[00:00:35.120 --> 00:00:39.040]  所以第一個壇就是要來印證神的話語
[00:00:39.040 --> 00:00:41.720]  讓她知道神是與她同在
[00:00:41.720 --> 00:00:44.240]  知道了神和她說話
[00:00:44.240 --> 00:00:46.040]  知道了神的話語
[00:00:46.040 --> 00:00:48.640]  她就要走出她的信心
[00:00:48.640 --> 00:00:50.360]  所以第二個祭壇
[00:00:50.360 --> 00:00:52.440]  不單止是她個人的祭壇
[00:00:52.440 --> 00:00:55.840]  也是要她來挑戰她家人的信心
[00:00:55.840 --> 00:00:58.600]  她是要拆毀巴力的祭壇
[00:00:58.600 --> 00:01:00.000]  另起爐灶
[00:01:00.000 --> 00:01:03.280]  另起一個壇來敬拜耶和華
[00:01:03.280 --> 00:01:05.640]  這個是非常艱難的
[00:01:05.640 --> 00:01:09.200]  她首先要在家人的面前活出她的信心
[00:01:09.200 --> 00:01:12.440]  她才能夠在以色列人的面前
[00:01:12.440 --> 00:01:14.800]  來活出她的信心
[00:01:14.800 --> 00:01:16.760]  其實我們看到
[00:01:16.760 --> 00:01:18.280]  是有三點
[00:01:18.280 --> 00:01:21.600]  上次是說了印證她的信心
[00:01:21.600 --> 00:01:23.600]  以及活出她的信心
[00:01:23.600 --> 00:01:27.520]  今天是要說測試她的信心
[00:01:27.520 --> 00:01:31.040]  神在她帶領以色列人之前
