
[00:00:00.000 --> 00:00:03.000]  今日我會和大家講《真言》
[00:00:03.000 --> 00:00:09.000]  《真言》用了很多章去寫天父的心聲
[00:00:09.000 --> 00:00:15.000]  《真言》裏面說 我現在要留心聽我的教誨
[00:00:15.000 --> 00:00:18.000]  的確 《真言》給我們去理解
[00:00:18.000 --> 00:00:20.000]  生活裏面很多的細節
[00:00:20.000 --> 00:00:25.000]  天父都想我們找到智慧的選擇
[00:00:25.000 --> 00:00:28.000]  我們進入經文之前 我們再祈禱
[00:00:28.000 --> 00:00:31.000]  父啊 我們謙卑來到你面前
[00:00:31.000 --> 00:00:33.000]  你很愛我們
[00:00:33.000 --> 00:00:39.000]  你要我們不是做好去換得你兒女的名份
[00:00:39.000 --> 00:00:41.000]  你卻是先接納了我們
[00:00:41.000 --> 00:00:43.000]  成為你的兒女
[00:00:43.000 --> 00:00:46.000]  讓我們在你的家裏面去學習
[00:00:46.000 --> 00:00:49.000]  你讓我們在生活裏面得到指引
[00:00:49.000 --> 00:00:54.000]  活出這一生是滿有你的榮光和智慧
[00:00:54.000 --> 00:00:57.000]  引領我們進入你的真理裏面
[00:00:57.000 --> 00:01:00.000]  聖靈啊 指教我們每一個
[00:01:00.000 --> 00:01:02.000]  多謝你 我們的祈禱是
[00:01:02.000 --> 00:01:05.000]  奉主耶穌基督 德性名字祈求
[00:01:05.000 --> 00:01:07.000]  Amen
[00:01:07.000 --> 00:01:09.000]  《真言》有一個特色
[00:01:09.000 --> 00:01:12.000]  就是你一讀就知道它講什麼
[00:01:12.000 --> 00:01:16.000]  好像這兩節 一起讀
[00:01:16.000 --> 00:01:20.000]  凱凱的手使人貧苦
[00:01:20.000 --> 00:01:23.000]  勤勞的手產生富足
[00:01:23.000 --> 00:01:26.000]  下跪積聚糧食的人名字
[00:01:26.000 --> 00:01:30.000]  收割慧節貪稅的人可恥
[00:01:30.000 --> 00:01:34.000]  不用牧師講 爸爸媽媽都跟你講過
[00:01:34.000 --> 00:01:37.000]  勤力做人 不要偷懶
[00:01:37.000 --> 00:01:39.000]  對不對
[00:01:39.000 --> 00:01:41.000]  我們讀《真言》
[00:01:41.000 --> 00:01:45.000]  是不是讀一些我們都知道的東西
[00:01:45.000 --> 00:01:47.000]  是的
[00:01:47.000 --> 00:01:49.000]  有時候我們知道
[00:01:49.000 --> 00:01:51.000]  但不做
[00:01:51.000 --> 00:01:55.000]  有時候我們會抗議
[00:01:55.000 --> 00:01:58.000]  世界不是這樣運作的
[00:01:58.000 --> 00:02:01.000]  現在還講勤力
[00:02:01.000 --> 00:02:04.000]  現在是叫做躺平世代
[00:02:04.000 --> 00:02:06.000]  你還跟我們講勤力
[00:02:06.000 --> 00:02:08.000]  尤其是年青的一輩
[00:02:08.000 --> 00:02:10.000]  你們很熟悉這個名字
[00:02:10.000 --> 00:02:13.000]  也都會說 我都要躺平
[00:02:13.000 --> 00:02:15.000]  可能你都這樣想過
[00:02:15.000 --> 00:02:17.000]  稍後我會自問自答
[00:02:17.000 --> 00:02:19.000]  跟你們講這個課題
[00:02:19.000 --> 00:02:20.000]  不過讀《真言》
[00:02:20.000 --> 00:02:23.000]  我們可以掌握一個技巧
[00:02:23.000 --> 00:02:26.000]  第一就是《真言》的確是要你
[00:02:26.000 --> 00:02:28.000]  在日常生活這些很小的事情上
[00:02:28.000 --> 00:02:31.000]  《真言》講了很多生活的細節
[00:02:31.000 --> 00:02:35.000]  在其中你去選擇
[00:02:35.000 --> 00:02:37.000]  人要選擇
[00:02:37.000 --> 00:02:38.000]  選擇做什麼
[00:02:38.000 --> 00:02:40.000]  你到底是做義人還是做惡人
[00:02:40.000 --> 00:02:42.000]  你是做一個智慧人
[00:02:42.000 --> 00:02:43.000]  還是做愚昧人
[00:02:43.000 --> 00:02:44.000]  在我們生活裡面
[00:02:44.000 --> 00:02:46.000]  我們看自己是一個富有人
[00:02:46.000 --> 00:02:48.000]  還是貧窮人
[00:02:48.000 --> 00:02:50.000]  通通你要選擇
[00:02:50.000 --> 00:02:52.000]  正如詩篇
[00:02:52.000 --> 00:02:54.000]  詩篇裡面 119篇105節
[00:02:54.000 --> 00:02:55.000]  你很熟悉
[00:02:55.000 --> 00:02:57.000]  神的話語是我們腳前的燈
[00:02:57.000 --> 00:03:01.000]  路上的光
[00:03:01.000 --> 00:03:02.000]  你會背
[00:03:02.000 --> 00:03:03.000]  不過你忘記了
[00:03:03.000 --> 00:03:05.000]  這是講一條正在走的路
[00:03:05.000 --> 00:03:08.000]  你讀了的經文請你走出來
[00:03:08.000 --> 00:03:10.000]  我很喜歡亞根堂
[00:03:10.000 --> 00:03:13.000]  上上就是聽柯教授說的
[00:03:13.000 --> 00:03:15.000]  Walk the talk
[00:03:15.000 --> 00:03:17.000]  聽過吧 好像沒有聽過
[00:03:17.000 --> 00:03:19.000]  有吧
[00:03:19.000 --> 00:03:22.000]  是的 正在走這條路
[00:03:22.000 --> 00:03:23.000]  所以《真言》裡面
[00:03:23.000 --> 00:03:25.000]  很多生活細節的選擇
[00:03:25.000 --> 00:03:26.000]  是告訴你
[00:03:26.000 --> 00:03:28.000]  走這條路有很多的方式
[00:03:28.000 --> 00:03:30.000]  向左 向右 向前
[00:03:30.000 --> 00:03:31.000]  是不是要退後
[00:03:31.000 --> 00:03:34.000]  《真言》讓神的話語照亮你的路
[00:03:34.000 --> 00:03:36.000]  以致你繼續走
[00:03:36.000 --> 00:03:38.000]  繼續選
[00:03:38.000 --> 00:03:40.000]  所以當人去選擇的時候
[00:03:40.000 --> 00:03:42.000]  這是第一個層面
[00:03:42.000 --> 00:03:43.000]  第二個層面就是
[00:03:43.000 --> 00:03:45.000]  神都在看著你
[00:03:45.000 --> 00:03:46.000]  祂看顧你
[00:03:46.000 --> 00:03:47.000]  祂監察你
[00:03:47.000 --> 00:03:48.000]  祂因應你的選擇
[00:03:48.000 --> 00:03:50.000]  一直引導你
[00:03:50.000 --> 00:03:52.000]  甚至是去教導你
[00:03:52.000 --> 00:03:55.000]  有時候是會管教你
[00:03:55.000 --> 00:03:57.000]  神監察
[00:03:57.000 --> 00:03:58.000]  人的選擇
[00:03:58.000 --> 00:04:01.000]  神是會監察
[00:04:01.000 --> 00:04:02.000]  所以《真言》我們可以嘗試
[00:04:02.000 --> 00:04:04.000]  用這兩個層面去理解
[00:04:04.000 --> 00:04:05.000]  今天我和你選的選段
[00:04:05.000 --> 00:04:08.000]  都是講勤力的問題
[00:04:08.000 --> 00:04:09.000]  先看第一段
[00:04:09.000 --> 00:04:13.000]  十章的一節五節
[00:04:13.000 --> 00:04:15.000]  這裡第一和第五節
[00:04:15.000 --> 00:04:16.000]  跨著了這一段
[00:04:16.000 --> 00:04:17.000]  所以是一段
[00:04:17.000 --> 00:04:18.000]  為什麼一頭一尾
[00:04:18.000 --> 00:04:19.000]  有「二子」這個字
[00:04:19.000 --> 00:04:21.000]  第一節有兩次重複
[00:04:21.000 --> 00:04:22.000]  「智慧的二子」
[00:04:22.000 --> 00:04:23.000]  「愚昧的二子」
[00:04:23.000 --> 00:04:26.000]  第五節中文版面的翻譯
[00:04:26.000 --> 00:04:27.000]  也沒有將「二子」翻出來
[00:04:27.000 --> 00:04:28.000]  其實原本的文字
[00:04:28.000 --> 00:04:30.000]  最底我給你看
[00:04:30.000 --> 00:04:33.000]  都是講「明智的二子」
[00:04:33.000 --> 00:04:34.000]  「可似的二子」
[00:04:34.000 --> 00:04:37.000]  一頭一尾重複了兩次「二子」
[00:04:37.000 --> 00:04:39.000]  這幅是一個什麼樣的圖畫
[00:04:39.000 --> 00:04:41.000]  我也打開給你看
[00:04:41.000 --> 00:04:43.000]  看到那幅圖畫是什麼嗎
[00:04:43.000 --> 00:04:46.000]  一家人吃飯
[00:04:46.000 --> 00:04:49.000]  這幅圖畫是家庭的圖畫
[00:04:49.000 --> 00:04:52.000]  一個兒子的選擇影響家庭
[00:04:52.000 --> 00:04:53.000]  在當時你明白
[00:04:53.000 --> 00:04:55.000]  舊有的社會 農業社會
[00:04:55.000 --> 00:04:59.000]  一家人是靠口田去養活
[00:04:59.000 --> 00:05:03.000]  一家是指幾代的人
[00:05:03.000 --> 00:05:05.000]  「二子」代表在工作中
[00:05:05.000 --> 00:05:08.000]  要供應家庭的男丁
