
[00:00:00.000 --> 00:00:03.420]  今天的講道是一個很大的挑戰
[00:00:03.420 --> 00:00:05.840]  因為這個題目
[00:00:05.840 --> 00:00:08.620]  你看到那些字眼都很熟悉
[00:00:08.620 --> 00:00:10.500]  如果信了一段時間
[00:00:10.500 --> 00:00:12.000]  我們都會聽過
[00:00:12.000 --> 00:00:14.300]  關乎我們信耶穌
[00:00:14.300 --> 00:00:15.900]  你是否得救
[00:00:15.900 --> 00:00:19.180]  你是否肯定祢是神的兒女
[00:00:19.180 --> 00:00:23.340]  是一些這樣的問題
[00:00:23.340 --> 00:00:27.020]  因為這個其實都是很重要的問題
[00:00:27.020 --> 00:00:28.160]  我們說信了耶穌
[00:00:28.160 --> 00:00:30.320]  即是怎樣呢
[00:00:30.320 --> 00:00:34.320]  今日嘗試去講一講
[00:00:34.320 --> 00:00:36.040]  信了耶穌之後
[00:00:36.040 --> 00:00:37.320]  其實會是怎樣呢
[00:00:37.320 --> 00:00:40.120]  又或者所謂信耶穌即是會怎樣呢
[00:00:40.120 --> 00:00:42.400]  是牽涉到得救的問題
[00:00:42.400 --> 00:00:45.040]  如果很簡單地去看這件事情
[00:00:45.040 --> 00:00:47.080]  就可以是很簡單的
[00:00:47.080 --> 00:00:50.920]  就是我們聽了別人講福音
[00:00:50.920 --> 00:00:52.320]  我們就
[00:00:52.320 --> 00:00:54.120]  啊 以前未知道福音
[00:00:54.120 --> 00:00:55.280]  知道了這個福音了
[00:00:55.600 --> 00:00:58.080]  那麼就簡單地講
[00:00:58.080 --> 00:00:59.320]  啊 我信啊
[00:00:59.320 --> 00:01:00.520]  我接受啊
[00:01:00.520 --> 00:01:02.440]  那麼你就信了耶穌
[00:01:02.440 --> 00:01:05.480]  那就是神的兒女了
[00:01:05.480 --> 00:01:07.280]  那麼簡單版就是這樣
[00:01:07.280 --> 00:01:11.480]  但是如果看細節一點
[00:01:11.480 --> 00:01:12.360]  就是說
[00:01:12.360 --> 00:01:13.880]  信耶穌
[00:01:13.880 --> 00:01:15.600]  什麼叫做信呢
[00:01:15.600 --> 00:01:19.040]  特別是聖經裡面有一句話
[00:01:19.040 --> 00:01:20.880]  就講到信字
[00:01:20.880 --> 00:01:25.200]  那麼他就很極端地講說
[00:01:25.840 --> 00:01:28.480]  魔鬼也信神的
[00:01:28.480 --> 00:01:32.040]  但是那個信是信有神而已
[00:01:32.040 --> 00:01:33.880]  信有神的存在
[00:01:33.880 --> 00:01:35.920]  信神的實在
[00:01:35.920 --> 00:01:39.360]  是實實在在有這個神去信
[00:01:39.360 --> 00:01:40.920]  是這樣的
[00:01:40.920 --> 00:01:43.040]  但是這個神和魔鬼
[00:01:43.040 --> 00:01:45.920]  是沒有一個親屬關係的
[00:01:45.920 --> 00:01:47.920]  他和神是敵對的
[00:01:47.920 --> 00:01:49.960]  我們成為了神的兒女
[00:01:49.960 --> 00:01:51.240]  我們的信呢
