
[00:00:00.000 --> 00:00:02.840]  大家知道我們現在說的是「真言」
[00:00:02.840 --> 00:00:06.080]  所以我今天想跟大家說一個題目
[00:00:06.080 --> 00:00:08.240]  就好像這張PowerPoint提醒我們
[00:00:08.240 --> 00:00:10.620]  一個「知易行難」
[00:00:10.620 --> 00:00:13.040]  蘇新曾經說過
[00:00:13.040 --> 00:00:14.940]  其實這個社會上
[00:00:14.940 --> 00:00:18.480]  對這個字 你將「易」和「難」字調轉
[00:00:18.480 --> 00:00:21.260]  怎樣調都好 有四個配搭
[00:00:21.260 --> 00:00:23.760]  不過我今天想說「知易行難」
[00:00:23.760 --> 00:00:26.320]  就因為在「真言」裏面
[00:00:26.320 --> 00:00:28.480]  講得很多清清楚楚
[00:00:28.480 --> 00:00:31.420]  所羅門王自己生命的見證
[00:00:31.420 --> 00:00:34.000]  他作為一個國家的皇帝
[00:00:34.000 --> 00:00:36.420]  有很多的妃嬪 有很多的兒子
[00:00:36.420 --> 00:00:39.500]  經歷過以色列最豐盛的時間
[00:00:39.500 --> 00:00:41.380]  他得到很多的經驗
[00:00:41.380 --> 00:00:44.780]  他捨下很多的經驗 就是「真言」
[00:00:44.780 --> 00:00:48.400]  所以「真言」是清清楚楚告訴人聽
[00:00:48.400 --> 00:00:50.640]  人生或者教導下一代
[00:00:50.640 --> 00:00:53.220]  教導自己 教導別人的時候
[00:00:53.220 --> 00:00:54.660]  或者怎樣處理的時候
[00:00:54.660 --> 00:00:56.360]  一些很正確的真理
[00:00:56.560 --> 00:00:58.560]  而且真是可以改變世界
[00:00:58.560 --> 00:01:02.140]  不過 由所羅門寫「真言」
[00:01:02.140 --> 00:01:04.640]  到以色列國被滅
[00:01:04.640 --> 00:01:07.820]  足足有八百多年至九百年
[00:01:07.820 --> 00:01:10.920]  即是說 這些說話基本上不是
[00:01:10.920 --> 00:01:13.200]  只聽就可以改變
[00:01:13.200 --> 00:01:18.700]  所以我覺得有一個題目就是「知易行難」
[00:01:18.700 --> 00:01:20.840]  你看完「真言」也好
[00:01:20.840 --> 00:01:25.880]  但你未必能夠很有努力去改變
[00:01:25.880 --> 00:01:28.240]  所以在「知易行難」的時候
[00:01:28.240 --> 00:01:31.200]  西方有一個譯法很想大家把握住
[00:01:31.200 --> 00:01:37.920]  就是「一小小的行動 盛似千噸的理論」
[00:01:37.920 --> 00:01:40.620]  「真言」我相信是千噸的理論
[00:01:40.620 --> 00:01:41.880]  一小小的行動
[00:01:41.880 --> 00:01:46.280]  今天我想用「真言」17章1到3節給大家看
[00:01:46.280 --> 00:01:48.540]  不過我想大家明白
[00:01:48.540 --> 00:01:51.960]  「真言」在裏面是很豐富的
[00:01:51.960 --> 00:01:54.160]  是一個警世的言語
[00:01:54.160 --> 00:01:57.720]  「真言」在我們今天基督教的聖經
[00:01:57.720 --> 00:01:59.720]  是屬於詩歌自慰書
[00:01:59.720 --> 00:02:01.320]  在基督教的聖經裏面
[00:02:01.320 --> 00:02:03.320]  詩歌自慰書是一些文學的題材
[00:02:03.320 --> 00:02:08.080]  有什麼呢 約伯用了42章講一個問題
[00:02:08.080 --> 00:02:10.360]  是什麼問題呢 苦難的問題
[00:02:10.360 --> 00:02:14.920]  然後詩篇用150篇講很多感性
[00:02:14.920 --> 00:02:19.280]  所以詩篇和真言有一個很不同的情況
[00:02:19.280 --> 00:02:21.560]  詩篇就是一個私人的感受
[00:02:21.560 --> 00:02:25.320]  譬如說「我心裡為何憂悶」
[00:02:25.320 --> 00:02:27.320]  你怎樣形容呢
[00:02:27.320 --> 00:02:28.560]  你認不認同
[00:02:28.560 --> 00:02:30.320]  你有沒有說過這個說話
[00:02:30.320 --> 00:02:32.320]  現在的心理狀況是這樣的
[00:02:32.320 --> 00:02:35.320]  「我心裡為何憂悶」
[00:02:35.320 --> 00:02:37.960]  這個是感受性的 無法形容的
[00:02:37.960 --> 00:02:40.560]  不過詩人就告訴你 向神有一個禱告
[00:02:40.560 --> 00:02:42.560]  所以詩篇是一個很好的禱告的言語
[00:02:42.560 --> 00:02:45.040]  「我心裡為何憂悶」是一個感受性
[00:02:45.040 --> 00:02:46.840]  是很單單節性的
[00:02:46.840 --> 00:02:48.840]  同樣「真言」有一個單節性
[00:02:48.840 --> 00:02:50.840]  不過它是要策勵我們
[00:02:50.840 --> 00:02:54.080]  譬如我們等一下會看到17章3節
[00:02:54.080 --> 00:02:58.120]  「頂為煉金 路為煉銀 惟有爺話煉人人心」
[00:02:58.120 --> 00:03:00.120]  那是什麼呢 等一下再說
[00:03:00.120 --> 00:03:02.120]  好 今天我們想給大家看看
[00:03:02.120 --> 00:03:05.720]  真言也有很多的主題
[00:03:05.720 --> 00:03:08.920]  所以大家看真言的時候會發覺很多主題
[00:03:08.920 --> 00:03:13.840]  第一個講陳志誠宣教主任講真言的主題就是責備
[00:03:13.840 --> 00:03:17.680]  接著陳牧師和施惠傳道都講什麼呢
[00:03:17.680 --> 00:03:19.480]  言語的情況
[00:03:19.480 --> 00:03:20.880]  接著還有很多
[00:03:20.880 --> 00:03:23.440]  今天如果大家看每天讀經識而講財務
[00:03:23.440 --> 00:03:26.280]  接著有貞潔 有公義 有憐憫
[00:03:26.280 --> 00:03:28.280]  我想講家庭
[00:03:28.280 --> 00:03:30.280]  告訴大家 我想講什麼
[00:03:30.280 --> 00:03:31.360]  家庭
[00:03:31.360 --> 00:03:34.080]  因為如果大家查家庭裡面
[00:03:34.080 --> 00:03:36.560]  有佔十五分之一的經文
[00:03:36.560 --> 00:03:38.560]  都是講家庭 什麼叫十五分之一呢
[00:03:38.560 --> 00:03:42.000]  父親 母親 女士 兒子
[00:03:42.000 --> 00:03:44.240]  這些都會牽涉到家庭
[00:03:44.240 --> 00:03:47.520]  所以我發覺其中一個很重要的題目
[00:03:47.520 --> 00:03:48.560]  就是家庭
[00:03:48.560 --> 00:03:50.200]  今天想跟大家講
[00:03:50.200 --> 00:03:54.880]  透過真言講家庭篇
[00:03:54.880 --> 00:03:57.120]  為什麼家庭是這麼重要
[00:03:57.120 --> 00:03:58.440]  不用去到這麼大
[00:03:58.440 --> 00:04:01.680]  這張先保持著 不要緊
[00:04:01.680 --> 00:04:05.320]  為什麼家庭是重要呢
[00:04:05.320 --> 00:04:09.160]  因為大家想一想
[00:04:09.160 --> 00:04:12.640]  如果耶穌今天是回來
[00:04:12.640 --> 00:04:14.520]  會不會啊
[00:04:14.520 --> 00:04:16.000]  會不會啊
[00:04:16.000 --> 00:04:17.760]  剛才我們的敬拜就是說
[00:04:17.760 --> 00:04:20.800]  當我們當天 耶穌會回來的時候
[00:04:20.800 --> 00:04:24.400]  你猜耶穌想看到這個世上是什麼呢
[00:04:24.400 --> 00:04:26.600]  看到這個世上一坨東西
[00:04:26.600 --> 00:04:28.280]  看到這個世上
[00:04:28.280 --> 00:04:29.400]  那些門徒
[00:04:29.400 --> 00:04:30.880]  即是你和我是吧
[00:04:30.880 --> 00:04:33.600]  對祂精忠
[00:04:33.600 --> 00:04:34.760]  所以中國的說話
[00:04:34.760 --> 00:04:38.000]  「講狗入窮巷 幾單咬返啖」
[00:04:38.000 --> 00:04:39.200]  是不是
[00:04:39.200 --> 00:04:40.560]  什麼意思呢
[00:04:40.560 --> 00:04:42.000]  當一個世界
[00:04:42.000 --> 00:04:43.760]  當耶穌第一次來到
[00:04:43.760 --> 00:04:45.600]  將一個萬子裂開
[00:04:45.600 --> 00:04:47.480]  人可以去到神的面前的時候
[00:04:47.480 --> 00:04:50.560]  他告訴我 耶穌會第二次回來
[00:04:50.560 --> 00:04:52.240]  經過二千年
[00:04:52.240 --> 00:04:53.160]  耶穌還沒有回來
[00:04:53.160 --> 00:04:54.440]  但我相信一件事
[00:04:54.440 --> 00:04:55.760]  現在是一個時代
[00:04:55.760 --> 00:04:57.200]  是末日的時代
[00:04:57.200 --> 00:04:58.400]  差不多耶穌會回來
[00:04:58.400 --> 00:05:00.280]  但沒有人知道那個時間
[00:05:00.280 --> 00:05:01.520]  當耶穌要回來的時候
[00:05:01.520 --> 00:05:02.640]  你想一想
[00:05:02.640 --> 00:05:04.320]  哪個的結局開始呢
[00:05:04.320 --> 00:05:05.880]  就是撒旦的結局
[00:05:05.880 --> 00:05:06.760]  撒旦也好
[00:05:06.760 --> 00:05:08.800]  這個雪荒者也好
[00:05:08.800 --> 00:05:10.600]  一個毀壞者也好
[00:05:10.600 --> 00:05:12.200]  他想做什麼呢
[00:05:12.200 --> 00:05:14.160]  正如楊洪寬這樣說
[00:05:14.160 --> 00:05:16.360]  十章十節
[00:05:16.360 --> 00:05:18.920]  盜賊來就要偷渡
[00:05:18.920 --> 00:05:21.920]  殺害和毀壞
[00:05:21.920 --> 00:05:23.160]  今天如果耶穌來
[00:05:23.160 --> 00:05:25.520]  要看到世界是怎樣的時候
[00:05:25.520 --> 00:05:27.720]  就是一個見證的世界
[00:05:27.720 --> 00:05:30.240]  但是惡者要偷什麼
[00:05:30.240 --> 00:05:31.360]  偷這個世界
[00:05:31.360 --> 00:05:33.120]  這個社會最重要的一個單元
[00:05:33.120 --> 00:05:33.760]  就是什麼呢
[00:05:33.760 --> 00:05:35.920]  是家庭
[00:05:35.920 --> 00:05:38.640]  因為當家庭一解體的時候
[00:05:38.640 --> 00:05:40.680]  所有跟著夫妻的關係
[00:05:40.680 --> 00:05:42.560]  兒女的關係都解體
[00:05:42.560 --> 00:05:44.560]  所以在末日的時候
[00:05:44.560 --> 00:05:47.640]  有一樣情況是很厲害的
[00:05:47.640 --> 00:05:51.000]  就是夫婦的關係解體得很厲害
[00:05:51.000 --> 00:05:53.680]  離婚是很厲害的
[00:05:53.680 --> 00:05:54.920]  如果大家上去Google
[00:05:54.920 --> 00:05:56.600]  我最近查一查
[00:05:56.600 --> 00:05:58.520]  Google的情況
[00:05:58.520 --> 00:06:00.080]  原來在中國
[00:06:00.080 --> 00:06:02.400]  是一個代表
[00:06:02.400 --> 00:06:04.440]  每一天大約有
[00:06:04.440 --> 00:06:05.720]  你知不知道有多少人離婚
[00:06:05.720 --> 00:06:08.240]  每一天
[00:06:08.240 --> 00:06:11.320]  4500對夫婦
[00:06:11.320 --> 00:06:13.040]  如果大家乘一乘
[00:06:13.040 --> 00:06:14.920]  一年之下有多少
[00:06:14.920 --> 00:06:16.600]  就是究竟過去有
[00:06:16.600 --> 00:06:24.840]  246萬對夫婦離婚
[00:06:24.840 --> 00:06:26.840]  這個數字代表什麼呢
[00:06:26.840 --> 00:06:28.240]  這個代表數字
[00:06:28.240 --> 00:06:30.160]  這個夫妻的關係
[00:06:30.160 --> 00:06:32.360]  離婚率很高
[00:06:32.360 --> 00:06:35.000]  其實離婚率高代表什麼
[00:06:35.000 --> 00:06:37.240]  代表夫婦自己增產
[00:06:37.240 --> 00:06:38.840]  因為要分家產
[00:06:38.840 --> 00:06:40.800]  子女的撫養權
[00:06:40.800 --> 00:06:42.640]  將來哪一個承接教導
[00:06:42.640 --> 00:06:44.400]  這些問題一直帶下來
[00:06:44.400 --> 00:06:46.000]  所以現在這個時代裏面
[00:06:46.000 --> 00:06:47.240]  有一個情況就是
[00:06:47.240 --> 00:06:50.760]  上一代和下一代有一個張力
[00:06:50.760 --> 00:06:52.000]  爸爸和兒子
[00:06:52.000 --> 00:06:52.920]  兒子和女兒
[00:06:52.920 --> 00:06:54.480]  女兒和爸爸
[00:06:54.480 --> 00:06:55.320]  都有一個張力
[00:06:55.320 --> 00:06:56.640]  因為什麼呢
[00:06:56.640 --> 00:06:59.360]  因為可能有些溝通的問題
[00:06:59.360 --> 00:07:02.240]  也可能牽涉一些單親的情況
[00:07:02.240 --> 00:07:04.920]  第一件事惡者會偷取
