
[00:00:00.000 --> 00:00:03.640]  持定信仰是堅持去信靠神
[00:00:03.640 --> 00:00:06.480]  去認識神的真理
[00:00:06.480 --> 00:00:08.280]  持定信仰
[00:00:08.280 --> 00:00:11.600]  也是按照真理去做事
[00:00:11.600 --> 00:00:15.080]  真理能夠開闊人的眼界
[00:00:15.080 --> 00:00:18.560]  令我們不只是想著自己想要的東西
[00:00:18.560 --> 00:00:22.080]  前一個星期我們已經說到
[00:00:22.080 --> 00:00:24.440]  建好城牆之後
[00:00:24.440 --> 00:00:27.480]  這一班的以色列人就去慶祝駐棚節
[00:00:27.480 --> 00:00:29.840]  在完成了駐棚節
[00:00:30.040 --> 00:00:31.200]  嚴肅會之後
[00:00:31.200 --> 00:00:33.280]  他們仍然逗留了在那裡幾天
[00:00:33.280 --> 00:00:33.920]  沒有散去
[00:00:33.920 --> 00:00:35.240]  沒有國歸國家
[00:00:35.240 --> 00:00:37.400]  因為當時以色列人
[00:00:37.400 --> 00:00:39.680]  他們就是完整地聽過神的律法
[00:00:39.680 --> 00:00:41.920]  聽過利明人的講解
[00:00:41.920 --> 00:00:44.880]  神的話語是捉實了他們的心
[00:00:44.880 --> 00:00:49.800]  他們在那個時候就去作出一個
[00:00:49.800 --> 00:00:52.440]  很誠心的悔罪的祈禱
[00:00:52.440 --> 00:00:55.480]  這個祈禱的罪會持續了一天
[00:00:56.760 --> 00:01:01.840]  也在這個禱告當中他們去數算過去神為他們做的大事
[00:01:01.840 --> 00:01:06.640]  他們自己的先祖和自己做的又是怎樣的回應
[00:01:06.640 --> 00:01:08.240]  怎樣去得罪神
[00:01:08.240 --> 00:01:10.520]  在這個禱告之後
[00:01:10.520 --> 00:01:12.920]  他們講了衙門之後
[00:01:12.920 --> 00:01:13.960]  他們有行動
[00:01:13.960 --> 00:01:17.880]  所以我聽到神的話語人就和神重新立約
[00:01:17.880 --> 00:01:19.440]  他們答應
[00:01:19.440 --> 00:01:23.040]  他們以後要去謹守遵行神的誓言
[00:01:23.040 --> 00:01:25.040]  他們在生活裡面要分別為聖
[00:01:25.720 --> 00:01:27.960]  他們讓神和自己的關係先擺
[00:01:27.960 --> 00:01:32.040]  不再局限在聖殿那一點
[00:01:32.040 --> 00:01:35.880]  是擴展到他們生命的每一個層次
[00:01:35.880 --> 00:01:40.280]  由安息日一直到每一天的生活
[00:01:40.280 --> 00:01:43.000]  而且在第三點
[00:01:43.000 --> 00:01:45.720]  今天我們特別會讀完這一點
[00:01:45.720 --> 00:01:47.320]  第一第二點上次已經講了
[00:01:47.320 --> 00:01:50.720]  進入到生命裡面一個核心
[00:01:50.720 --> 00:01:53.160]  你的財富
[00:01:53.160 --> 00:01:54.520]  你的錢財
[00:01:54.520 --> 00:01:55.800]  你所擁有的東西
[00:01:55.800 --> 00:02:00.200]  他們怎樣以奉獻去參與神的家
[00:02:00.200 --> 00:02:01.920]  的確
[00:02:01.920 --> 00:02:04.720]  我們會提到生活裡面最現實的一環
[00:02:04.720 --> 00:02:08.200]  從我們所得著的所擁有的東西當中
[00:02:08.200 --> 00:02:10.880]  我們會怎樣去作出奉獻
[00:02:10.880 --> 00:02:13.160]  這裡也都會提到
[00:02:13.160 --> 00:02:16.920]  他們會有怎樣去額外去參與獻祠的工作
[00:02:16.920 --> 00:02:19.280]  所以我們進入經文之前
[00:02:19.280 --> 00:02:21.840]  我們再一次交託這段時間給主
[00:02:24.640 --> 00:02:27.200]  神啊我們願你的話語繼續去觸實我們的心
