
[00:00:00.000 --> 00:00:02.520]  好,我們領受洗禮之前,我們先低頭祈禱
[00:00:02.520 --> 00:00:06.540]  天恩,求你自己來帶去使用孩子今天所講的信息
[00:00:06.540 --> 00:00:08.220]  讓我們不只是聽了堂道
[00:00:08.220 --> 00:00:09.340]  讓我們去實踐
[00:00:09.340 --> 00:00:10.900]  特別是為未信的人
[00:00:10.900 --> 00:00:12.480]  為迷失的人來禱告
[00:00:12.480 --> 00:00:13.700]  求神來眷顧
[00:00:13.700 --> 00:00:15.900]  聽下在你面前的禱告,賴奉主德聖的名
[00:00:15.900 --> 00:00:16.580]  阿們
[00:00:16.580 --> 00:00:20.120]  上次我們看到以德報怨的禱告
[00:00:20.120 --> 00:00:22.520]  就是摩西上山領受誡命
[00:00:22.520 --> 00:00:24.400]  但是因為那個時候
[00:00:24.400 --> 00:00:26.960]  摩西沒有說我幾天之後就會下來
[00:00:26.960 --> 00:00:29.640]  子民於是失去了領袖的擔心
[00:00:29.640 --> 00:00:31.560]  於是受著外族的影響
[00:00:31.560 --> 00:00:34.060]  他叫阿倫韋來做一隻金牛獨
[00:00:34.060 --> 00:00:36.240]  因為金牛是代表了神
[00:00:36.240 --> 00:00:37.900]  於是向祂來敬拜
[00:00:37.900 --> 00:00:40.140]  不僅是將神矮化
[00:00:40.140 --> 00:00:41.780]  他們敬拜的方式
[00:00:41.780 --> 00:00:44.180]  更加是放縱情慾
[00:00:44.180 --> 00:00:45.840]  神就跟摩西說
[00:00:45.840 --> 00:00:47.580]  我要來滅這一群人
[00:00:47.580 --> 00:00:49.120]  但是我們很清楚看到
[00:00:49.120 --> 00:00:50.980]  其實神是不想滅這群人的
[00:00:50.980 --> 00:00:54.160]  祂還很有禮貌地容許我這麼做
[00:00:54.160 --> 00:00:56.620]  其實祂給的路就是摩西上
[00:00:56.620 --> 00:00:58.520]  祂甚至跟摩西說
[00:00:58.520 --> 00:00:59.660]  我會祝福你
[00:00:59.660 --> 00:01:00.500]  我會滅殺這群人
[00:01:00.500 --> 00:01:02.660]  只給你一家人進去迦南地
[00:01:02.660 --> 00:01:04.660]  我們看到摩西很值得我們欣賞
[00:01:04.660 --> 00:01:06.160]  是以德報怨
[00:01:06.160 --> 00:01:08.700]  因為摩西一直帶領以色列人的時候
[00:01:08.700 --> 00:01:09.740]  吃力不討好
[00:01:09.740 --> 00:01:11.640]  經常被那群以色列人埋怨
[00:01:11.640 --> 00:01:12.900]  甚至當他們沒有水喝
[00:01:12.900 --> 00:01:14.980]  還要用石頭來扔摩西
[00:01:14.980 --> 00:01:17.280]  但是摩西在這一刻不是去感恩
[00:01:17.280 --> 00:01:19.580]  哈哈,終於我一家人可以進去了
[00:01:19.580 --> 00:01:23.520]  他就迫切地為子民來禱告
[00:01:23.520 --> 00:01:25.220]  他禱告的方法
[00:01:25.220 --> 00:01:27.220]  以及如何拿著神的應許
[00:01:27.220 --> 00:01:28.960]  來跟神說呢?
[00:01:28.960 --> 00:01:30.960]  鼓勵大家可以上網聽聽
[00:01:30.960 --> 00:01:32.360]  如果你沒有崇拜的話
[00:01:32.360 --> 00:01:33.200]  還有一些事情要說
[00:01:33.200 --> 00:01:34.700]  在下面大家可以拿回來
[00:01:34.700 --> 00:01:38.900]  終於神就因為摩西這個懇切的禱告
[00:01:38.900 --> 00:01:41.600]  就跟摩西說我不滅這群人了
[00:01:41.600 --> 00:01:43.040]  接著摩西下山
[00:01:43.040 --> 00:01:44.440]  善後工作
